科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"749,280,880.56","559,192,645.04","609,969,557.52","313,655,837.60","502,683,969.17","822,496,228.13","179,706,847.63","355,673,973.18","595,763,416.11","812,072,512.54","154,736,996.03"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"336,293.35","1,406,993.38","625,419.97",,"332,007.99","332,007.99",,"500,433.15","500,433.15","500,433.15","495,433.15"
支付其他与投资活动有关的现金,,,,,,,,"30,000,000.00","60,000,000.00",,"60,000,000.00"
收到其他与经营活动有关的现金,"68,183,245.40","61,148,876.56","83,527,336.18","57,508,605.54","102,096,366.58","130,552,962.38","25,947,276.53","71,609,971.78","92,001,345.37","141,435,220.13","8,420,352.83"
投资活动现金流出小计,"32,488,801.63","32,853,327.18","30,783,500.62","9,859,712.87","13,396,568.15","17,938,304.01","4,174,586.14","35,077,548.37","65,345,910.00","100,326,582.88","89,883,533.82"
经营活动现金流入小计,"817,800,419.31","621,748,514.98","694,122,313.67","371,164,443.14","605,112,343.74","953,381,198.50","205,654,124.16","427,784,378.11","688,265,194.63","954,008,165.82","163,652,782.01"
投资活动产生的现金流量净额,"-30,936,266.59","-32,771,785.98","-30,783,500.62","-9,835,032.87","-13,371,888.15","-17,913,624.01","-4,174,586.14","-35,077,548.37","-35,090,951.10","-9,642,089.73","-59,710,273.55"
购买商品、接受劳务支付的现金,"530,437,340.42","311,998,352.11","347,014,216.41","191,122,443.22","341,415,219.89","461,507,371.59","134,170,116.89","235,451,651.11","456,695,784.44","628,434,283.09","164,276,288.98"
吸收投资收到的现金,"4,250,000.00","33,875,000.00",,,,,"145,890,000.00","145,890,000.00","145,890,000.00","159,300,000.00",
支付给职工以及为职工支付的现金,"50,380,919.40","86,201,291.48","100,101,888.94","52,247,442.88","76,088,257.87","105,335,023.29","28,458,455.55","56,826,444.26","83,916,262.72","116,443,326.54","27,216,709.30"
取得借款收到的现金,"211,600,000.00","210,109,576.00","213,800,000.00","188,500,000.00","192,500,000.00","192,500,000.00","133,500,000.00","133,500,000.00","133,500,000.00","153,500,000.00","71,500,000.00"
支付的各项税费,"52,124,987.40","67,974,629.25","44,846,433.12","20,715,874.16","35,636,370.46","116,892,124.90","19,476,305.87","29,848,696.77","40,960,870.07","46,753,810.46","14,272,220.71"
收到其他与筹资活动有关的现金,"189,788,218.52","11,660,000.00",,,,,,,,"4,924,854.23",
支付其他与经营活动有关的现金,"127,614,037.19","113,085,055.10","116,581,838.67","127,103,995.43","168,038,260.12","208,105,624.81","77,722,377.20","133,085,392.87","159,045,763.02","174,947,350.32","37,972,802.11"
筹资活动现金流入小计,"405,638,218.52","255,644,576.00","213,800,000.00","188,500,000.00","192,500,000.00","192,500,000.00","279,390,000.00","279,390,000.00","279,390,000.00","317,724,854.23","71,500,000.00"
经营活动现金流出小计,"760,557,284.41","579,259,327.94","608,544,377.14","391,189,755.69","621,178,108.34","891,840,144.59","259,827,255.51","455,212,185.01","740,618,680.25","966,578,770.41","243,738,021.10"
偿还债务支付的现金,"184,712,201.00","191,400,000.00","188,800,000.00","188,800,000.00","192,800,000.00","202,800,000.00","203,500,000.00","203,500,000.00","203,500,000.00","223,500,000.00","43,500,000.00"
经营活动产生的现金流量净额,"57,243,134.90","42,489,187.04","85,577,936.53","-20,025,312.55","-16,065,764.60","61,541,053.91","-54,173,131.35","-27,427,806.90","-52,353,485.62","-12,570,604.59","-80,085,239.09"
