科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"373,346,938.03","436,085,925.69","641,662,312.10","143,656,897.41","315,415,468.45","458,383,707.60","735,376,996.13","166,132,477.07","289,061,356.07","610,268,419.64","110,465,358.98","227,688,607.30","317,798,146.88","460,092,065.74","158,738,601.70","284,291,403.39","396,285,420.58","541,424,353.22","398,509,129.50"
二、营业利润,"139,122,496.65","149,465,216.56","246,068,473.38","48,452,871.01","111,554,492.81","157,675,015.66","271,083,139.89","54,570,952.23","67,927,156.62","181,987,831.72","33,550,446.90","86,870,226.79","116,096,666.26","140,183,456.45","73,136,419.10","124,257,845.89","164,387,984.47","209,674,072.22","754,918,947.49"
减:营业成本,"154,926,093.21","178,743,891.85","233,713,076.37",,"113,796,815.60",,"272,429,003.86","64,953,314.11","107,730,289.49","221,395,513.11","46,123,590.91","96,719,805.77","134,391,958.72","191,006,297.06","68,412,364.83","120,077,169.06","164,011,614.98","211,489,017.28","138,242,341.15"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,800,457.12","5,266,473.88","8,066,663.76",,"3,516,074.09",,"9,216,170.96","2,189,914.21","2,933,595.90","9,055,363.28","1,539,588.28","2,886,742.48","3,883,423.37","6,235,606.71","2,614,550.91","4,957,622.05","6,539,683.62","9,270,046.23","10,326,574.14"
营业外收入,"14,219,414.65","24,225,239.80","26,440,665.81",,"20,327,389.85",,"37,101,225.73","860,630.20","14,279,960.81","33,886,161.00","13,200,803.01","21,626.16","40,638.16","3,221,296.20","26,350.00","28,501.00","28,501.00","622,417.60","3,150.00"
销售费用,"18,530,730.76","24,400,966.88","28,291,208.82",,"16,992,536.27",,"31,697,622.55","5,626,139.85","23,539,438.18","40,908,572.94","7,008,292.03","16,151,566.08","22,757,032.25","33,840,162.33","5,415,497.19","12,424,110.91","17,892,897.53","25,717,248.79","8,550,211.58"
减:营业外支出,"45,293.00","66,788.64","50,856.24",,"24,891.95",,"36,365.15",,"11,136.59","603,772.75",,"36,034.97","94,836.67","59,372.37","41,330.58","41,330.60","41,497.27","266,561.23","158,753.45"
管理费用,"52,939,169.22","71,790,342.63","125,359,515.41",,"72,524,549.01",,"152,908,442.65","45,969,410.06","100,337,237.10","180,456,504.91","37,201,559.32","73,010,254.73","101,386,855.21","159,264,851.80","33,348,014.88","72,714,217.98","44,359,398.98","79,473,535.98","20,104,178.73"
其中:非流动资产处置净损失,"36,768.14","32,872.35","21,728.98",,"24,891.95",,"32,540.73",,"11,136.59","489,403.04",,"32,646.88","41,429.60",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"81,578.89","-158,083.23","272,332.85",,"-2,452.51",,"-272,914.93","-3,133,837.80","-6,107,075.19","-9,949,646.65","-2,058,036.49","-4,507,020.69","-7,466,722.84","-9,031,167.60","-2,035,708.25","-2,787,010.86","-3,473,629.54","-4,817,134.11","-4,914,082.94"
三、利润总额,"153,296,618.30","173,623,667.72","272,458,282.95","49,879,251.89","131,856,990.71","184,827,006.58","308,148,000.47","55,431,582.43","82,195,980.84","215,270,219.97","46,751,249.91","86,855,817.98","116,042,467.75","143,345,380.28","73,121,438.52","124,245,016.29","164,374,988.20","210,029,928.59","754,763,344.04"
资产减值损失,"3,015,810.81","7,645,283.67","3,202,952.42",,"416,576.39",,"5,050,500.18","-3,402,807.32","-1,618,979.26","1,167,536.59","-2,432,418.71","-790,492.51","-1,887,139.77","-1,583,891.34","701,899.95","2,689,431.96","3,212,659.90","22,109,386.97","5,594,841.60"
减:所得税,"21,338,052.37","20,709,761.96","34,002,703.10",,"13,741,270.56",,"37,777,302.23","8,189,449.61","9,640,615.87","20,062,593.47","5,296,839.33","11,633,458.33","16,358,286.48","13,805,642.70","11,282,251.65","17,022,573.19","21,423,267.13","18,770,714.27","46,147,836.59"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,
投资收益,"69,398.63","1,068,166.55","3,311,910.91",,"3,383,123.21",,"6,734,969.03","640,608.27","5,680,306.77","14,753,256.26","10,467,663.26","19,302,826.27","26,225,152.58","35,948,502.93","14,254,526.25","29,338,750.33","40,510,012.23","73,320,267.74","562,365,585.09"
四、净利润,"131,958,565.93","152,913,905.76","238,455,579.85","41,680,458.46","118,115,720.15","164,746,126.52","270,370,698.24","47,242,132.82","72,555,364.97","195,207,626.50","41,454,410.58","75,222,359.65","99,684,181.27","129,539,737.58","61,839,186.87","107,222,443.10","142,951,721.07","191,259,214.32","708,615,507.45"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,"-106,840.88","-473,317.84","6,539,193.10","21,535,319.07",
归属于母公司所有者的净利润,"131,958,565.93","152,913,905.76","238,455,579.85","41,680,458.46","118,115,720.15","164,746,126.52","270,370,698.24","47,242,132.82","72,555,364.97","186,917,609.99","41,708,637.83","75,937,994.34","100,863,059.15","131,100,827.43","57,127,578.26","99,760,445.25","135,078,726.77","187,830,835.03","696,652,077.12"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,"8,290,016.51","-254,227.25","-715,634.69","-1,178,877.88","-1,561,089.85","4,711,608.61","7,461,997.85","7,872,994.30","3,428,379.29","11,963,430.33"
