科目,2004-09-30
货币资金,"96,261,594.50"
短期借款,"255,000,000.00"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,"30,829,999.00"
应付账款,"77,192,919.86"
预付款项,"1,256,052.12"
预收款项,"20,659,231.06"
其他应收款,"16,141,507.46"
应付职工薪酬,"5,037,981.21"
应收关联公司款,
应交税费,"8,286,107.48"
应收利息,
应付利息,
应收股利,"664,010.00"
应付股利,"14,592,060.84"
存货,"43,814,033.55"
其他应付款,"75,605,441.37"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,"16,128,790.00"
其他流动资产,"1,191,481.40"
其他流动负债,"4,259,084.55"
流动资产合计,"190,158,678.03"
流动负债合计,"476,761,616.37"
可供出售金融资产,
长期借款,
持有至到期投资,"3,912,400.00"
应付债券,
长期应收款,
长期应付款,"35,216,396.00"
长期股权投资,"646,650,687.22"
专项应付款,
投资性房地产,
预计负债,
固定资产,"851,066,919.03"
递延所得税负债,
在建工程,"330,580,182.82"
其他非流动负债,
工程物资,
非流动负债合计,"35,216,396.00"
固定资产清理,"-3,000.00"
负债合计,"511,978,012.37"
生产性生物资产,
实收资本(或股本),"422,599,861.00"
油气资产,
资本公积,"859,831,648.72"
无形资产,"275,573,922.13"
盈余公积,"216,859,899.86"
开发支出,
减:库存股,
商誉,
未分配利润,"189,118,123.56"
长期待摊费用,"1,382,549.28"
少数股东权益,"98,934,793.00"
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"2,109,163,660.48"
所有者权益(或股东权益)合计,"1,787,344,326.14"
资产总计,"2,299,322,338.51"
负债和所有者(或股东权益)合计,"2,299,322,338.51"
