科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"449,857,228.51","1,052,013,745.71","-177,585,233.56","-298,319,807.92","-321,223,563.87","-387,157,377.07","179,700,781.82","359,435,153.10","567,304,010.38","835,410,166.87","162,177,876.74","246,812,254.21","471,574,371.28","674,952,652.25","263,837,738.91","455,458,754.46","550,442,270.88","665,623,235.59","117,588,402.39","309,492,872.19","349,748,063.75","525,802,076.12","118,518,410.18","227,331,402.57","395,408,387.55","486,424,245.70","180,120,041.13","406,542,060.44","874,009,514.45","1,359,158,678.64","578,726,089.97","1,878,627,467.70","1,913,006,551.74","2,743,370,669.88","185,594,832.36","593,975,276.08","1,020,102,667.95","1,803,972,311.90","159,281,189.82","373,544,122.97","886,551,492.24","1,296,895,626.04","338,540,264.80","490,655,318.60","644,825,511.23","392,515,663.16","709,451,469.28"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"15,036,972.43","32,704,060.70","9,325,493.99","16,480,194.25","22,652,978.61","31,525,876.28","12,285,189.21","25,996,484.69","41,581,950.72","55,237,933.01","10,157,717.05","22,540,699.69","36,569,870.27","51,521,699.43","11,386,913.58","28,553,081.41","42,729,211.68","53,541,218.69","6,953,887.68","21,652,757.87","32,972,966.25","44,150,209.28","9,279,346.00","20,166,177.58","39,112,080.56","51,799,894.47","11,621,298.80","40,207,990.50","145,007,029.29","243,983,932.01","94,910,464.56","213,978,997.54","257,351,705.50","244,116,037.96","84,285,607.16","162,457,393.02","284,370,851.86","338,821,200.12","110,043,471.14","146,219,652.43","180,145,482.02","184,447,801.80","-26,206,269.47","-73,766,837.14","-77,132,494.52","-169,078,431.43","-110,029,567.51"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"737,774,721.38",,"1,409,316,390.45",,"600,610,158.27",,"1,049,052,728.45","163,295,964.46"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"591,555,068.95",,"1,224,868,588.65",,"674,376,995.41",,"1,218,131,159.88","273,325,531.97"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"217,545,895.17","464,618,051.43","134,458,916.71","229,382,516.19","289,426,161.53","361,189,866.29","107,517,955.60","253,921,386.65","448,117,586.09","623,174,108.57","119,904,433.44","281,001,125.02","442,610,222.50","622,726,590.83","161,389,076.23","301,714,781.76","393,929,030.69","470,147,615.86","82,586,776.73","173,457,819.91","263,959,443.15","339,334,596.25","72,434,833.32","159,762,720.57","249,783,779.71","333,916,024.30","85,777,082.39","191,091,895.02","321,139,921.52","542,764,623.84","216,577,550.02","691,043,183.65","958,860,277.19","1,218,821,315.23","144,885,338.76","334,578,845.59","498,485,107.93","901,642,401.25","138,934,458.28","269,080,010.38","445,275,284.27","707,753,341.90","155,310,989.60","323,020,145.08","459,040,255.05","620,915,992.83","153,746,067.78"
营业税金及附加,"26,409,874.65","52,303,855.66","8,322,834.33","13,232,212.19","15,840,603.92","20,246,096.36","6,042,136.07","14,389,031.52","25,311,039.02","35,025,048.02","9,072,303.69","19,628,665.26","28,139,229.81","40,594,287.57","12,892,878.24","28,755,784.97","35,951,748.55","39,523,125.27","7,607,025.16","15,076,525.75","24,293,279.34","30,881,081.46","6,539,205.64","14,406,352.87","22,040,456.71","28,686,541.05","9,847,109.24","22,288,935.82","40,622,794.14","71,771,525.44","35,647,105.30","120,523,210.67","151,587,294.50","191,869,178.84","24,062,085.44","36,609,732.07","40,694,059.42","47,804,495.18","1,336,193.47","4,275,465.49","7,461,887.30","13,088,119.20","2,804,546.62","7,970,656.69","11,279,470.34","15,554,147.75","3,385,139.01"
