科目,2012-12-31,2013-12-31,2014-03-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"87,240,538.18","151,512,727.23",,"269,952,445.08",,"609,238,015.57","280,982,088.07","188,779,927.73","262,657,566.50","140,393,642.83","382,633,112.79","348,702,094.76","179,113,306.75","199,634,987.14","130,631,888.95","1,167,066,006.66","415,799,402.97","436,619,094.06","427,133,303.00","474,564,960.30","1,209,010,209.57"
短期借款,"30,000,000.00",,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,
应收账款,"6,738,972.25","13,006,796.70",,"5,240,185.58",,"7,606,595.85","1,765,655.66","4,541,164.21","8,031,664.58","7,159,852.59","3,477,549.13","5,601,621.96","9,689,809.83","9,518,148.87","3,340,110.20","13,396,816.10","11,324,187.21","16,019,795.14","6,967,418.47","13,329,157.11","17,457,642.47"
应付账款,"11,661,514.44","18,445,973.41",,"29,592,840.76",,"40,109,396.26","51,454,716.38","79,452,366.97","63,666,594.01","63,680,714.26","81,551,813.15","113,082,531.70","107,533,264.97","107,549,341.24","122,978,199.25","124,332,991.58","120,220,965.77","122,418,324.39",,"160,802,030.34",
预付款项,"417,637.20","3,642,403.26",,"5,385,713.18",,"8,133,955.20","5,417,546.98","2,366,566.35","3,505,414.76","3,858,047.18","5,723,887.24","9,662,409.68","11,677,066.52","10,723,929.80","11,850,565.32","10,219,125.27","8,531,416.77","7,957,188.39","12,382,660.87","9,594,929.70","13,235,266.22"
预收款项,"238,000.00","381,833.00",,"2,085,117.25",,"513,653.00","1,235,818.80","1,907,216.25","1,521,756.70","1,248,391.75","4,060,427.85","2,233,191.52","1,712,874.22","1,659,475.38","7,514,493.00","1,951,977.65","1,925,761.65","1,644,688.65","7,688,342.15","2,313,743.88","2,796,499.95"
其他应收款,"5,244,635.95","5,166,715.69",,"5,270,660.16",,"5,530,370.49","5,751,687.49","5,403,661.46","6,161,297.90","6,802,588.58","6,571,620.73","6,711,233.81","7,810,290.71","2,436,089.71","2,251,129.36","2,133,489.25","2,456,610.12","3,166,352.27","8,985,564.41","11,657,716.54","10,526,320.68"
应付职工薪酬,"4,335,751.64","5,421,462.15",,"10,616,969.35",,"10,614,033.42","11,457,612.73","20,865,593.04","12,516,567.45","13,870,555.46","16,299,534.22","29,391,929.58","16,130,199.20","23,441,008.91","27,129,681.59","27,232,999.93","19,373,930.83","18,486,262.76","19,059,683.11","28,628,779.86","21,561,507.66"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,
应交税费,"552,108.11","646,334.30",,"534,061.44",,"2,118,401.00","644,587.37","857,307.77","853,121.60","686,547.18","773,167.40","779,296.14","887,298.05","1,019,923.17","778,149.71","3,864,518.98","133,715.65","1,100,776.11","902,973.73","2,136,245.61","432,736.55"
应收利息,,,,,,,,,,,,"1,246,202.75","1,637,457.53","949,854.79","4,219,260.28","1,279,972.59","7,246,934.25","5,517,652.02",,"4,238,364.39","3,246,058.40"
应付利息,,,,,,,,,,,,,,,,"181,479.45","877,345.90","2,006,230.98",,"272,160.35","1,632,864.49"
应收股利,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,"16,382,056.03",,,,"14,153,759.30",,,,,,,,
存货,"23,201,244.96","32,506,138.57",,"41,703,605.73",,"37,124,216.45","43,480,215.51","48,972,710.14","47,163,809.15","57,570,852.86","70,835,030.69","73,492,229.82","73,188,718.19","75,735,343.84","86,957,536.19","85,870,522.21","90,021,658.78","94,524,729.44","104,614,722.81","116,856,432.49","98,822,229.13"
其他应付款,"7,581,264.83","11,300,752.33",,"13,210,571.55",,"26,735,497.39","17,760,473.34","119,504,468.78","207,441,619.93","207,408,044.42","208,070,311.92","194,783,614.99","99,895,492.74","98,075,184.10","97,983,639.89","101,899,986.57","74,495,133.92","76,803,306.99","79,738,609.23","37,594,145.95","46,563,876.64"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,
