科目,2005-09-30
货币资金,"96,603,931.36"
短期借款,"442,780,000.00"
交易性金融资产,
交易性金融负债,
应收票据,"1,600,000.00"
应付票据,
应收账款,"207,591,180.49"
应付账款,"1,033,311,921.75"
预付款项,"47,831,761.89"
预收款项,"110,241,404.22"
其他应收款,"3,311,234.60"
应付职工薪酬,"39,740,738.54"
应收关联公司款,
应交税费,"-60,246,579.02"
应收利息,
应付利息,
应收股利,
应付股利,
存货,"989,806,081.31"
其他应付款,"47,178,547.58"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,
其他流动负债,"115,254,108.13"
流动资产合计,"1,346,744,189.65"
流动负债合计,"1,728,260,141.20"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,
专项应付款,
投资性房地产,
预计负债,
固定资产,"1,163,815,121.60"
递延所得税负债,
在建工程,"9,184,287.27"
其他非流动负债,
工程物资,
非流动负债合计,
固定资产清理,
负债合计,"1,728,260,141.20"
生产性生物资产,
实收资本(或股本),"787,500,000.00"
油气资产,
资本公积,"737,629,752.54"
无形资产,"1,401,506.33"
盈余公积,"51,515,519.36"
开发支出,
减:库存股,
商誉,
未分配利润,"-783,760,308.25"
长期待摊费用,
少数股东权益,
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"1,174,400,915.20"
所有者权益(或股东权益)合计,"792,884,963.65"
资产总计,"2,521,145,104.85"
负债和所有者(或股东权益)合计,"2,521,145,104.85"
