科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,,,,,,,,"571,247,210.16","1,244,528,192.93",,"3,131,572,384.83",,"470,402,800.00",,"183,330,000.00","183,330,000.00","85,689,413.62","833,543,642.02"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"477,720,410.76","963,922,296.93","1,070,541,292.60","557,329,110.01","1,083,457,417.64","1,231,102,942.95","1,429,316,821.31","183,203,379.77","610,308,841.56","1,000,757,867.60","1,432,894,025.21","277,396,472.54","413,945,533.49","605,113,142.77","1,219,438,367.90","234,772,352.11","549,395,029.87","822,681,474.76","1,384,385,291.17","99,970,191.17"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"40,459,199.97","2,179,570.90","244,004.28","4,925.18","36,864.25","1,839,830.65","1,959,939.13","6,177.30","10,759.12","38,056.82","74,810.34","5,952.51","2,341.42","10,575.24","778,260.52",,"234,179.00","234,179.00","83,330,000.00",
向其他金融机构拆入资金净增加额,,"346,000,000.00","2,091,000,000.00",,,,,,,,"200,000,000.00",,,,"2,340,000,000.00","3,840,000,000.00",,,,
投资活动现金流入小计,"518,179,610.73","966,101,867.83","1,070,785,296.88","557,334,035.19","1,083,494,281.89","1,232,942,773.60","1,431,276,760.44","183,209,557.07","610,319,600.68","1,572,043,134.58","2,677,497,028.48","277,402,425.05","3,545,520,259.74","605,123,718.01","1,690,619,428.42","234,772,352.11","732,959,208.87","1,006,245,653.76","1,555,523,690.35","933,515,716.19"
收取利息、手续费及佣金的现金,"1,270,050,705.11","1,575,426,478.98","2,466,076,216.20","1,013,032,613.59","2,921,283,377.13","4,544,083,858.38","6,087,460,661.06","972,265,490.48","1,953,366,310.93","2,736,240,521.72","3,907,573,761.56","822,759,306.55","1,736,639,292.39","2,826,132,317.42","4,204,621,702.37","867,653,200.00","2,210,250,499.93","3,145,867,391.25","4,474,160,784.43","1,223,812,798.30"
投资支付的现金,"5,053,952,953.01","575,840,135.52","2,893,545,533.37","1,112,628,972.64","4,795,107,465.60","10,166,285,705.00","12,610,560,053.40","242,204,144.44","1,337,961,867.79",,,"1,853,210,167.40",,"3,079,198,144.47","458,805,157.44","3,953,020,066.40",,,"924,115,408.54",
处置交易性金融资产净增加额,,,,,,,,,"2,649,060,450.79","3,070,466,983.91",,,,,,,,,,
质押贷款净增加额,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,"200,000,000.00",,,"1,150,000,000.00","2,340,000,000.00","3,840,000,000.00","3,970,000,000.00","4,550,000,000.00",,
购建固定资产、无形资产和其他长期资产支付的现金,"32,747,272.53","32,849,988.27","53,391,159.19","7,551,937.79","19,213,817.42","40,480,530.98","64,192,277.59","18,105,393.27","36,862,104.54","63,501,570.46","102,479,344.53","4,258,238.11","16,525,051.87","40,441,827.16","69,638,107.83","22,331,441.87","29,493,695.83","51,277,606.89","69,452,025.75","1,189,265.09"
回购业务资金净增加额,"1,008,731,524.20",,"6,148,424,881.55","2,002,783,401.62","4,494,875,154.84","889,985,532.11","2,416,336,923.34",,,,,"3,114,563,438.21","1,332,602,311.48","3,842,032,721.65","4,099,099,865.06","1,838,579,829.56",,,,"9,424,842,408.82"
支付其他与投资活动有关的现金,"42,000,000.00","490,000.00",,,,,,,,,,,,,"6,600,033,188.32",,"181,817,782.71","2,008,307,408.26","1,001,511,069.53","4,334,651,476.81"
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"5,128,700,225.54","609,180,123.79","2,946,936,692.56","1,120,180,910.43","4,814,321,283.02","10,206,766,235.98","12,674,752,330.99","260,309,537.71","1,374,823,972.33","63,501,570.46","102,479,344.53","1,857,468,405.51","16,525,051.87","3,119,639,971.63","7,128,476,453.59","3,975,351,508.27","211,311,478.54","2,059,585,015.15","1,995,078,503.82","4,335,840,741.90"
收到的税费返还,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-4,610,520,614.81","356,921,744.04","-1,876,151,395.68","-562,846,875.24","-3,730,827,001.13","-8,973,823,462.38","-11,243,475,570.55","-77,099,980.64","-764,504,371.65","1,508,541,564.12","2,575,017,683.95","-1,580,065,980.46","3,528,995,207.87","-2,514,516,253.62","-5,437,857,025.17","-3,740,579,156.16","521,647,730.33","-1,053,339,361.39","-439,554,813.47","-3,402,325,025.71"
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,,,"224,400.00","4,473,770,000.00","4,473,770,000.00","4,473,770,000.00","4,473,770,000.00",,,"4,742,505,295.50","4,739,589,792.89","3,000,000.00","3,000,000.00","3,000,000.00",,,,,,
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,,,,
发行债券收到的现金,,"2,280,000,000.00","7,140,000,000.00","2,500,000,000.00","18,800,000,000.00","18,800,000,000.00","18,800,000,000.00","2,800,000,000.00","5,500,000,000.00","9,503,348,970.00","9,560,440,658.51","3,000,000,000.00","5,381,886,792.45","5,381,886,792.45","10,114,070,823.90","491,134,000.00","6,843,114,000.00","11,128,756,000.00","12,212,094,641.51","4,516,006,603.77"
收到其他与经营活动有关的现金,"211,084,258.78","362,626,709.80","7,627,018,565.10","6,100,570,866.19","17,863,572,251.25","7,828,402,962.39","8,365,953,827.36","4,438,628,476.13","7,000,267,480.86","6,362,673,148.95","7,642,683,092.82","796,089,563.54","705,552,234.15","1,451,111,942.85","39,823,409.85","1,795,673,778.84","2,396,840,094.49","441,491,037.68","2,933,972,079.20","634,071,000.98"
取得借款收到的现金,"6,280,000,000.00","1,100,000,000.00","500,000,000.00",,"1,100,000,000.00","1,200,000,000.00","600,000,000.00",,,"430,500,000.00","1,069,250,000.00",,,"1,359,520,000.00","1,337,456,000.00","1,199,126,459.20","3,064,974,713.92","3,193,518,592.00","2,315,155,165.20","339,583,535.62"
经营活动现金流入小计,"2,489,866,488.09","2,284,053,188.78","18,332,519,662.85","9,116,386,881.40","25,279,730,783.22","13,262,472,352.88","16,869,751,411.76","5,410,893,966.61","11,602,694,242.58","12,169,380,654.58","11,750,256,854.38","4,733,412,308.30","3,774,793,838.02","8,119,276,981.92","10,683,544,977.28","8,341,906,808.40","8,577,090,594.42","9,944,087,631.29","9,533,611,333.21","16,613,861,368.38"
收到其他与筹资活动有关的现金,,,"409,430,000.00","400,000,000.00",,,,,,,,,,,,,,,,
客户贷款及垫款净增加额,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计,"6,280,000,000.00","3,380,000,000.00","8,049,654,400.00","7,373,770,000.00","24,373,770,000.00","24,473,770,000.00","23,873,770,000.00","2,800,000,000.00","5,500,000,000.00","14,676,354,265.50","15,369,280,451.40","3,003,000,000.00","5,384,886,792.45","6,744,406,792.45","11,451,526,823.90","1,690,260,459.20","9,908,088,713.92","14,322,274,592.00","14,527,249,806.71","4,855,590,139.39"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,,,,,,,,
偿还债务支付的现金,"1,050,000,000.00","2,600,000,000.00","6,420,000,000.00","1,000,000,000.00","4,409,430,000.00","6,821,707,966.00","8,691,707,966.00","400,000,000.00","5,430,000,000.00","8,130,000,000.00","9,790,000,000.00","2,255,531,766.84","3,708,198,034.00","4,405,448,034.00","6,174,778,670.29","144,659,000.00","7,267,486,000.00","8,392,495,000.00","11,453,351,617.35","2,811,003,065.79"
支付的手续费及佣金的现金,"276,174,437.38","263,429,574.27","613,155,035.45","328,920,511.73","771,120,522.07","1,314,933,907.09","1,800,480,245.47","260,332,982.43","732,759,084.27","862,921,809.99","1,112,122,598.80","216,312,212.63","531,649,483.19","740,458,763.56","997,692,852.72","286,252,137.84","457,798,485.54","734,666,170.82","1,253,815,535.53","273,767,678.24"
分配股利、利润或偿付利息支付的现金,"94,746,982.48","369,493,761.76","407,960,671.23","152,541,548.74","684,098,809.98","762,709,934.48","960,300,301.20","154,797,016.85","1,459,879,731.79","1,521,769,325.28","1,696,994,382.67","212,121,911.74","1,167,485,389.06","1,339,985,515.66","1,498,469,375.74","316,188,944.46","810,275,906.51","1,357,906,893.75","1,757,611,273.81","310,010,547.52"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,"80,860,000.00",,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金,,,,,,,,,,,,,,,,,,,,
