科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"342,878,892.05","418,740,946.43","396,491,608.81","183,588,150.89","288,641,362.82","460,830,629.91","101,523,847.62","269,452,144.36","430,586,132.42","520,906,708.74","122,192,990.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"254,642.22","305,198.14","600,363.75",,,,,"1,287,729.74","1,287,729.74","2,004,769.95",
支付其他与投资活动有关的现金,,,"5,000,000.00",,,,,,,,
收到其他与经营活动有关的现金,"5,942,125.25","9,303,127.74","4,463,210.73","4,148,610.63","5,785,028.94","5,671,462.41","3,353,652.32","8,355,034.28","12,132,985.51","12,378,871.17","8,875,141.33"
投资活动现金流出小计,"42,338,185.95","65,682,837.84","100,698,502.17","23,794,640.54","37,747,728.16","65,389,874.83","97,618,399.97","122,299,121.43","184,177,147.93","156,522,410.12","60,925,245.54"
经营活动现金流入小计,"349,075,659.52","428,349,272.31","401,555,183.29","187,736,761.52","294,426,391.76","466,502,092.32","104,877,499.94","279,094,908.38","444,006,847.67","535,290,349.86","131,068,131.73"
投资活动产生的现金流量净额,"-40,357,957.61","-60,386,440.49","-94,557,162.55","-18,199,224.90","-32,147,212.52","-57,924,433.21","-42,357,346.01","-66,023,587.47","-126,901,613.97","-142,686,332.35","-59,895,025.71"
购买商品、接受劳务支付的现金,"135,268,227.36","210,427,382.40","174,411,419.59","77,804,660.63","123,884,473.71","198,785,479.69","85,967,080.49","136,637,099.09","249,887,323.52","249,921,800.43","93,136,319.02"
吸收投资收到的现金,,,,,,"191,605,800.00",,,,,
支付给职工以及为职工支付的现金,"67,326,560.81","75,361,977.87","81,510,888.01","45,617,366.27","59,985,938.33","91,119,847.88","30,631,583.42","57,206,825.38","82,567,728.17","121,609,564.74","36,532,121.85"
取得借款收到的现金,"173,300,000.00","147,000,000.00","222,633,784.62","40,000,000.00","60,000,000.00","132,000,000.00","20,000,000.00","30,000,000.00","90,000,000.00","176,000,000.00","111,000,000.00"
支付的各项税费,"29,379,479.89","45,026,835.39","32,330,396.01","21,065,902.81","33,919,452.30","43,984,512.58","20,196,014.22","33,905,589.94","49,897,208.31","56,833,148.65","18,174,449.63"
收到其他与筹资活动有关的现金,,"36,000,000.00","63,400,000.00","41,300,000.00","41,300,000.00","57,350,000.00",,"34,500,000.00","37,738,000.00","15,500,000.00","1,173,600.00"
