科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"356,052,956.59","485,201,308.06","638,356,627.78","84,884,606.18","237,127,078.10","431,979,257.55","552,038,935.70","90,575,657.20","225,108,336.30","354,242,913.87","566,640,414.36","82,705,676.74"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,"189,648.75","452,547.53","733,067.53","299,931.09","492,815.31","492,815.31","492,815.31",
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"5,558,976.90","13,182,790.20","10,973,410.05","1,179,415.67","3,085,459.60","6,535,618.51","12,390,717.03","4,814,655.32","8,697,685.76","12,866,239.22","19,134,658.13","5,549,067.30"
投资活动现金流出小计,"4,124,922.39","13,980,779.42","9,775,542.15","497,696.95","4,563,575.25","5,982,426.37","19,620,891.32","514,245.56","2,030,869.91","2,947,847.01","636,418,881.23","171,655,240.64"
经营活动现金流入小计,"361,611,933.49","498,384,098.26","649,330,037.83","86,064,021.85","240,402,186.45","438,967,423.59","565,162,720.26","95,690,243.61","234,298,837.37","367,601,968.40","586,267,887.80","88,254,744.04"
投资活动产生的现金流量净额,"-4,124,922.39","-13,976,269.42","-9,775,342.15","-497,696.95","-4,350,055.22","9,700,048.32","-2,826,064.40","9,748,940.01","9,243,795.37","10,860,851.56","9,279,678.18","-91,416,419.24"
购买商品、接受劳务支付的现金,"305,169,865.32","385,295,703.20","531,269,117.33","100,130,555.03","192,460,930.32","356,259,890.41","464,371,910.70","72,297,197.80","180,618,960.93","258,949,888.88","414,579,298.62","83,282,576.61"
吸收投资收到的现金,"4,182,500.00",,,"179,495,000.00","179,495,000.00","179,495,000.00","194,356,290.00",,,"2,045,008.00","2,045,008.00",
支付给职工以及为职工支付的现金,"15,888,015.00","27,387,106.43","28,943,438.08","7,491,115.79","15,147,434.63","22,961,282.78","34,017,529.19","11,721,865.47","20,596,260.41","31,928,690.62","42,204,239.36","14,167,816.23"
取得借款收到的现金,"29,100,000.00","25,382,888.49","100,000.00","3,150,218.99","3,150,218.99","3,150,218.99","3,150,218.99",,,,,
支付的各项税费,"14,378,124.10","16,142,300.93","22,696,056.17","9,352,805.35","13,956,773.71","27,158,976.22","30,296,453.70","10,860,761.86","15,133,121.53","22,503,822.70","28,357,410.57","10,485,525.40"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"14,475,337.31","23,455,362.34","22,629,191.43","5,799,743.88","11,703,177.51","18,215,886.14","16,937,386.39","5,355,854.56","16,321,525.69","28,798,158.16","23,979,848.89","12,336,713.74"
筹资活动现金流入小计,"33,282,500.00","25,382,888.49","100,000.00","182,645,218.99","182,645,218.99","182,645,218.99","197,506,508.99",,,"2,045,008.00","2,045,008.00",
经营活动现金流出小计,"349,911,341.73","452,280,472.90","605,537,803.01","122,774,220.05","233,268,316.17","424,596,035.55","545,623,279.98","100,235,679.69","232,669,868.56","342,180,560.36","509,120,797.44","120,272,631.98"
偿还债务支付的现金,"10,000,000.00","36,600,000.00","16,382,888.49","100,000.00","100,000.00","2,473,718.99","2,473,718.99","776,500.00","776,500.00","776,500.00","776,500.00",
经营活动产生的现金流量净额,"11,700,591.76","46,103,625.36","43,792,234.82","-36,710,198.20","7,133,870.28","14,371,388.04","19,539,440.28","-4,545,436.08","1,628,968.81","25,421,408.04","77,147,090.36","-32,017,887.94"
分配股利、利润或偿还利息支付的现金,"2,776,419.56","13,086,552.81","8,317,742.69","17,552.24","9,185,457.38","9,031,561.84","9,926,568.56","9,753.33","9,753.33","15,901,369.33","17,077,577.33",
收回投资收到的现金,,,,,,"5,341,250.00","5,341,250.00",,,"1,033,500.00","640,775,000.00","80,000,000.00"
支付其他与筹资活动有关的现金,,,"750,000.00","7,249,033.65","9,381,013.65","9,381,013.65","9,350,969.52",,,,,
取得投资收益收到的现金,,,,,"213,520.03","9,934,028.11","11,046,380.34","261,185.57","1,272,665.28","2,773,048.57","4,921,409.41","238,821.40"
筹资活动现金流出小计,"12,776,419.56","49,686,552.81","25,450,631.18","7,366,585.89","18,666,471.03","20,886,294.48","21,751,257.07","786,253.33","786,253.33","16,677,869.33","17,854,077.33",
处置固定资产、无形资产和其他长期资产收回的现金净额,,"4,510.00",200.00,,,"407,196.58","407,196.58","2,000.00","2,000.00","2,150.00","2,150.00",
筹资活动产生的现金流量净额,"20,506,080.44","-24,303,664.32","-25,350,631.18","175,278,633.10","163,978,747.96","161,758,924.51","175,755,251.92","-786,253.33","-786,253.33","-14,632,861.33","-15,809,069.33",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"11,267.40","83,250.12","179,490.10","5,301.44","-6,163.52","-4,488.49","-6,035.28",,,,,
收到其他与投资活动有关的现金,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,,"4,510.00",200.00,,"213,520.03","15,682,474.69","16,794,826.92","10,263,185.57","11,274,665.28","13,808,698.57","645,698,559.41","80,238,821.40"
五、现金及现金等价物净增加额,"28,093,017.21","7,906,941.74","8,845,751.59","138,076,039.39","166,756,399.50","185,825,872.38","192,462,592.52","4,417,250.60","10,086,510.85","21,649,398.27","70,617,699.21","-123,434,307.18"
购建固定资产、无形资产和其他长期资产支付的现金,"4,124,922.39","8,639,529.42","9,775,542.15","497,696.95","4,563,575.25","5,982,426.37","8,645,891.32","514,245.56","2,030,869.91","2,947,847.01","6,618,881.23","1,655,240.64"
期初现金及现金等价物余额,"57,131,038.03","85,224,055.24","93,130,996.98","105,141,143.59","101,976,748.57","101,976,748.57","101,976,748.57","294,439,341.09","294,439,341.09","294,439,341.09","294,439,341.09","365,057,040.30"
投资支付的现金,,"5,341,250.00",,,,,"10,975,000.00",,,,"629,800,000.00","170,000,000.00"
期末现金及现金等价物余额,"85,224,055.24","93,130,996.98","101,976,748.57","243,217,182.98","268,733,148.07","287,802,620.95","294,439,341.09","298,856,591.69","304,525,851.94","316,088,739.36","365,057,040.30","241,622,733.12"
