科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"414,149,672.90","410,838,273.31","447,933,841.26","102,027,700.00","220,053,973.66","329,565,682.99","471,425,182.55","132,473,266.30","289,433,068.31","430,444,007.18"
二、营业利润,"35,151,880.68","21,859,768.60","44,528,176.88","9,850,500.00","24,232,299.48","32,546,186.19","49,205,426.60","10,753,357.18","26,329,836.08","39,495,062.35"
减:营业成本,"330,099,499.70","333,392,705.83","350,537,178.17",,"169,300,896.61","255,295,670.95","363,605,430.53","103,979,185.55","228,323,565.52","339,611,639.26"
加:补贴收入,,,,,,,,,,
营业税金及附加,"1,404,145.26","1,135,334.18","1,549,705.88",,"740,086.38","981,025.02","1,372,817.48","140,265.54","316,382.80","596,081.24"
营业外收入,"7,693,461.15","2,693,512.06","1,011,321.72",,"981,567.69","1,070,465.36","1,381,507.78","187,408.86","71,890.69","793,054.77"
销售费用,"12,688,171.98","15,744,421.76","14,335,338.87",,"7,536,730.87","11,308,076.20","16,282,671.03","4,847,498.71","9,384,793.96","14,491,036.61"
减:营业外支出,"121,543.13","108,277.39","236,983.10",,"47,163.63","58,774.55","286,566.68","194,269.38","249,386.19","306,401.06"
管理费用,"32,625,742.60","35,357,698.24","33,311,810.90",,"16,734,164.06","27,464,997.96","38,356,923.75","13,551,612.28","25,810,088.55","37,028,207.26"
其中:非流动资产处置净损失,"20,743.13","93,877.39","177,583.10",,,"18,353.81","246,566.68","79,269.38","124,227.19","131,242.06"
堪探费用,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,
财务费用,"1,985,744.91","3,018,449.55","3,206,336.26",,"1,086,696.82","1,538,025.61","1,455,752.50","183,773.85","580,722.10","1,265,670.66"
三、利润总额,"42,723,798.70","24,445,003.27","45,302,515.50","9,915,200.00","25,166,703.54","33,557,877.00","50,300,367.70","10,746,496.66","26,152,340.58","39,981,716.06"
资产减值损失,"194,487.77","329,895.15","465,294.30",,"423,099.44","431,701.06","1,146,160.66","-475,796.67","-87,094.68","-476,502.83"
减:所得税,"6,135,687.20","3,326,969.92","7,073,796.27",,"4,520,861.01","6,309,710.63","8,835,946.04","2,279,842.03","5,302,379.66","7,992,995.04"
加:公允价值变动净收益,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,
投资收益,,,,,,,,"506,630.14","966,443.84","1,178,268.28"
四、净利润,"36,588,111.50","21,118,033.35","38,228,719.23","8,117,900.00","20,645,842.53","27,248,166.37","41,464,421.66","8,466,654.63","20,849,960.92","31,988,721.02"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,
归属于母公司所有者的净利润,"36,588,111.50","21,118,033.35","38,228,719.23","8,117,900.00","20,645,842.53","27,248,166.37","41,464,421.66","8,466,654.63","20,849,960.92","31,988,721.02"
影响营业利润的其他科目,,,,,,,,,,
少数股东损益,,,,,,,,,,
