科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,,,,"10,914,861,624.32",,,,,,,,,,,,"2,000,000.00",,"3,000,000.00","12,800,000.00","17,700,000.00",,"11,101,736,135.93","11,101,736,135.93","11,149,187,004.00","8,115,000.00","8,115,000.00","9,615,000.00","12,905,000.00",,,,"9,208,320,043.03","9,000,000,000.00","15,004,500,000.00","15,004,500,000.00","15,004,500,000.00",,,,,
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发行债券收到的现金,,,,,,,,,,,,,,"4,000,000,000.00","6,600,000,000.00","12,600,000,000.00","16,000,000,000.00","21,600,000,000.00","30,900,000,000.00","38,700,000,000.00","9,300,000,000.00","14,700,000,000.00","23,100,000,000.00","37,463,147,014.00","46,108,840,000.00","95,093,080,000.00","98,922,937,800.00","103,848,690,000.00",,"30,000,000.00","1,713,380,000.00","20,995,710,000.00","19,843,950,000.00","28,886,730,000.00","54,251,520,000.00","92,849,580,000.00","19,727,320,000.00","40,376,260,000.00","60,676,040,000.00","78,935,720,000.00","21,866,800,000.00"
收到其他与经营活动有关的现金,"2,124,885,244.30","2,893,026,526.57","296,125,717.70","30,779,682,145.14","7,600,945,304.73","67,906,387.20","30,437,941.80","445,374,975.37","4,039,871.30","43,581,457.91","195,804,597.35","175,172,818.80","3,008,669,429.49","44,480,956.15","621,530,808.22","273,841,823.47","5,798,044,394.03","2,558,965,589.32","3,060,900,774.65","1,107,568,278.63","2,683,067,324.99","4,696,395,578.07","14,595,325,377.54","39,597,011,918.92","21,319,200,701.42","77,686,363,759.33","44,489,061,957.28","32,384,058,982.03","27,591,015,294.01","19,301,208,537.94","14,956,974,935.95","28,848,907,779.37","839,003,386.44","2,938,141,799.14","9,293,371,700.08","2,397,480,533.19","12,311,909,715.64","13,315,799,805.08","1,771,204,485.80","1,922,853,066.31","1,487,898,050.39"
取得借款收到的现金,"48,573,273,731.50","6,292,040,520.00","1,110,727,800.00","158,204,400.00","298,482,720.00",,"1,537,895,665.00","208,634,905.00","85,943,930.00","86,971,270.00","139,376,880.00","213,519,455.00","115,119,400.00","70,816,600.00","87,121,000.00","78,612,600.00",,"251,809,244.00","736,431,993.10","820,193,408.07","548,131,611.96","613,878,948.96","596,420,532.05","1,565,790,547.41","1,383,268,860.00","1,573,952,407.66","138,575,927.85","396,693,418.12","117,256,150.79","103,330,726.65","2,247,862,789.21","8,401,631.71","1,583,119,524.88","2,237,090,102.97","4,055,425,957.44","4,844,977,370.05","22,613,186.87","42,551,250.89","42,551,250.89","299,367,750.89","1,009,093,541.86"
经营活动现金流入小计,"66,200,805,109.20","10,407,796,936.12","11,285,019,255.75","41,473,459,794.18","9,575,713,284.01","4,757,052,381.12","7,595,129,916.86","12,381,853,669.05","8,650,086,464.07","5,721,554,710.27","10,867,334,831.58","7,641,128,365.12","6,056,958,449.33","5,996,284,990.20","5,135,647,884.43","9,670,409,555.08","7,077,785,006.39","5,127,367,671.13","18,636,110,245.87","16,804,475,554.94","7,573,822,706.08","16,168,143,664.70","40,122,430,966.84","90,458,919,092.61","26,303,159,548.72","97,246,794,784.26","66,676,318,184.93","60,969,808,979.57","31,710,850,657.26","42,159,094,640.12","46,662,296,965.03","45,106,549,734.80","4,257,406,971.40","15,186,638,472.13","20,967,354,590.90","18,158,057,739.62","28,637,745,782.94","31,995,750,973.96","48,892,684,870.01","66,948,416,638.65","36,807,358,604.49"
收到其他与筹资活动有关的现金,,"4,000,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客户贷款及垫款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
