科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"153,540,640.80","153,433,751.64","205,780,669.69","104,421,622.19","160,411,483.70","213,426,025.86","46,205,018.48","103,727,051.98","169,595,295.85","233,623,372.88","73,002,803.31","142,996,884.09","319,942,896.00","90,229,584.99","216,825,708.23","412,811,076.95","639,744,458.59","221,545,002.67","552,477,534.10"
二、营业利润,"35,929,881.28","23,204,572.51","30,150,464.28","22,194,613.01","33,347,907.70","39,111,577.02","3,519,159.60","11,628,122.75","26,561,815.48","35,559,421.60","19,908,597.76","33,982,899.83","73,244,032.01","20,215,900.71","49,127,115.66","90,946,130.74","131,142,039.99","37,013,452.25","85,530,693.21"
减:营业成本,"94,259,291.70","103,750,659.18","135,854,301.77","61,148,851.82","94,907,838.87","127,636,772.48","30,418,217.43","66,046,086.08","108,450,328.61","148,460,668.08","40,878,453.77","78,614,350.19","180,359,063.88","52,403,175.25","127,260,768.61","250,489,586.77","411,329,994.31","149,058,092.77","374,681,431.87"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"547,240.65","853,365.28","1,849,510.78","648,860.45","1,132,850.32","1,646,352.23","350,206.54","872,379.73","1,489,278.02","1,731,082.47","306,810.21","752,276.05","2,921,749.54","408,915.94","2,379,081.84","3,635,367.38","7,742,684.45","1,137,275.11","3,579,198.03"
营业外收入,"2,497,425.00","1,866,574.74","1,837,008.50","809,758.74","2,076,212.59","2,693,354.77","462,410.96","6,176,329.74","10,932,378.15","22,492,354.76","1,571,928.65","3,428,490.85","22,822,628.32","1,076,132.93","3,273,804.06","259,539.35","1,329,465.76","341,140.94","1,487,395.50"
销售费用,"6,882,386.11","9,816,430.45","13,497,164.71","8,178,733.30","12,097,508.36","17,775,472.79","4,410,779.53","9,416,647.93","14,790,518.56","22,130,362.72","6,566,045.04","15,071,870.44","31,908,165.89","9,461,680.00","21,614,380.75","40,372,862.56","60,773,437.13","15,128,967.84","38,273,443.43"
减:营业外支出,"107,705.39","8,682,932.66","281,567.88","95,088.12","95,088.12","745,450.62","116,548.14","216,548.14","220,784.43","242,247.30","70,355.27","201,966.72","1,015,305.26",313.00,"12,566.98","16,919.85","655,541.10","41,259.11","1,134,014.10"
管理费用,"15,134,350.51","13,971,987.65","19,277,132.37","9,242,954.77","15,453,324.20","22,999,594.78","7,493,589.88","15,505,521.46","19,190,036.59","25,644,398.30","4,329,702.63","12,700,419.81","32,438,770.60","6,994,180.36","16,183,315.51","31,793,368.31","55,435,375.82","17,949,219.35","41,810,776.98"
其中:非流动资产处置净损失,"107,358.33","5,442,546.60","260,727.16",,,"650,362.50","114,548.14","114,548.14","118,784.43","118,784.43","60,355.27","191,525.87","980,187.68",,"4,597.77","4,597.77",,,
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"439,240.32","826,848.56","3,016,538.02","817,616.38","1,511,388.53","2,143,214.26","13,065.50","-226,684.17","-1,371,659.61","-1,420,683.68","736,390.90","-497,138.85","-1,206,394.50","1,824,830.98","4,704,126.48","6,650,352.24","8,688,494.05","3,745,361.19","5,321,611.09"
