科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,904,704,249.88","2,075,717,438.78","2,648,496,653.44","839,047,275.25","1,375,004,197.13",,"2,998,163,922.83","719,696,775.28","1,312,881,370.92","2,144,288,384.97","2,710,589,780.15","964,525,062.29","1,599,997,497.00","2,754,741,117.49"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"9,055,560.19"
收到的税费返还,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,358,140.41","6,878,277.24","7,025,667.61","6,050,703.50","10,713,496.54",,"8,233,970.80","3,709,787.31","10,526,285.78","13,514,649.39","14,822,415.17","16,509,678.73","13,977,291.35","14,987,515.62"
投资活动现金流出小计,"32,430,271.13","4,857,945.46","6,275,026.50","2,176,606.17","3,345,555.55",,"4,971,635.05","1,034,901.04","4,516,364.93","50,938,476.94","104,441,094.07","24,456,513.69","81,386,370.74","113,800,468.30"
经营活动现金流入小计,"1,908,062,390.29","2,082,595,716.02","2,655,522,321.05","845,097,978.75","1,385,717,693.67",,"3,006,397,893.63","723,406,562.59","1,323,407,656.70","2,157,803,034.36","2,725,412,195.32","981,034,741.02","1,613,974,788.35","2,769,728,633.11"
投资活动产生的现金流量净额,"-32,430,271.13","-4,857,945.46","-6,238,157.74","-2,176,606.17","-3,345,555.55","-4,880,500.00","-4,971,635.05","-1,034,901.04","-4,516,364.93","-50,856,576.94","-104,259,194.07","-24,176,513.69","-80,427,206.75","-66,858,874.54"
购买商品、接受劳务支付的现金,"1,601,520,957.97","1,777,021,063.09","2,467,694,234.86","849,117,537.46","1,436,349,130.78",,"2,819,308,731.24","931,840,022.41","1,705,895,548.54","2,535,374,637.90","2,908,398,495.94","1,073,778,816.85","1,637,921,758.94","2,593,557,136.00"
吸收投资收到的现金,,,,,,,"544,350,000.00",,,,,"12,857,100.00","28,557,100.00","28,557,100.00"
支付给职工以及为职工支付的现金,"54,984,505.44","76,087,318.17","90,648,447.60","26,130,747.73","50,643,768.44",,"98,089,300.83","27,863,372.46","52,040,459.80","75,953,612.41","104,354,494.04","31,098,226.07","57,232,133.75","92,973,233.23"
取得借款收到的现金,"298,000,000.00","540,000,000.00","922,780,000.00","300,000,000.00","610,000,000.00",,"1,210,000,000.00","200,000,000.00","760,000,000.00","1,097,581,765.00","1,369,331,765.00","550,000,000.00","620,000,000.00","1,148,000,000.00"
支付的各项税费,"115,760,435.25","145,934,722.00","168,345,707.48","36,122,603.14","93,277,944.52",,"169,820,153.78","27,901,854.39","109,272,392.51","142,529,610.70","153,488,420.02","26,683,061.75","66,971,037.17","100,664,410.77"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"55,114,325.67","75,621,705.37","46,195,777.59","8,941,667.55","33,922,758.40",,"62,320,754.64","27,118,105.18","42,747,194.13","61,354,257.12","82,468,421.62","22,848,175.23","39,155,928.08","53,450,218.66"
