科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,212,291,797.62","1,465,701,125.06","1,333,507,882.42","678,039,979.69","1,101,236,868.57","1,593,266,603.49","380,021,980.89","869,609,730.64","1,388,567,925.31","1,821,592,072.40","322,007,019.52","733,312,520.77","1,140,431,832.28","1,741,587,912.29","360,547,445.38","1,009,574,739.49","1,599,080,318.25","2,061,968,019.66","580,900,132.74","1,386,965,493.52","2,189,081,170.15","3,024,221,686.15","605,573,877.51"
二、营业利润,"84,154,424.80","73,586,271.50","64,406,993.06","21,866,242.77","34,619,428.08","65,081,539.14","8,421,817.54","25,201,993.60","34,435,593.77","48,926,412.80","7,909,272.76","21,033,032.74","24,820,089.63","38,003,447.94","7,655,755.42","31,660,930.38","42,021,596.56","55,715,838.71","24,368,256.05","64,160,763.05","133,570,558.92","197,671,215.11","60,728,330.09"
减:营业成本,"1,022,903,668.86","1,261,996,626.24","1,133,925,668.98","590,116,355.27","955,996,060.14","1,385,771,491.15","336,564,957.63","764,676,531.35","1,227,658,129.63","1,620,653,208.77","278,035,391.52","624,732,289.78","970,060,405.17","1,527,165,875.28","311,741,805.31","878,807,060.29","1,389,039,770.45","1,795,064,034.36","482,517,118.41","1,176,576,494.46","1,843,400,057.81","2,523,796,953.19","461,651,148.06"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,460,424.00","3,434,836.57","3,182,327.48","2,018,913.82","2,395,699.86","4,652,344.80","725,907.55","1,372,934.61","3,099,477.14","4,259,426.31","855,628.76","2,054,004.20","3,041,136.37","8,044,356.77","155,233.25","3,837,615.62","6,006,102.04","9,809,058.59","508,396.22","2,483,503.51","3,397,907.28","10,680,078.42","1,755,418.62"
营业外收入,"14,090,946.47","17,005,975.11","10,696,467.03","8,470,625.33","10,059,899.86","13,924,415.86","471,919.14","1,320,085.11","2,007,588.10","11,329,908.34","440,500.00","3,423,112.14","4,928,530.80","24,116,423.33","1,380,305.38","390,173.05","408,347.26","29,865.74","50,000.03","51,497.29","72,639.89","52,245.74","24,700.00"
销售费用,"33,044,287.29","45,203,045.24","42,067,655.27","20,785,328.31","34,474,440.05","49,994,731.63","13,606,884.39","29,730,754.24","44,861,506.97","58,998,775.71","10,848,392.02","26,198,146.17","42,229,259.52","65,358,436.62","13,328,092.34","34,719,770.24","55,670,535.63","73,611,681.73","17,106,190.94","33,107,803.79","68,709,860.83","108,701,985.36","18,354,086.62"
减:营业外支出,"483,066.36","345,416.42","3,403,887.25","312,996.65","368,591.27","464,235.29","214,638.82","223,468.14","228,099.15","254,397.79","310,368.85","570,119.52","672,349.02","1,182,004.12","11,481.04","92,974.12","169,131.29","187,346.99","1,002,851.19","1,239,592.87","1,547,468.93","1,571,163.14","3,123,000.00"
管理费用,"43,785,781.79","54,931,458.60","60,481,113.49","27,148,842.29","43,448,907.82","54,836,238.54","13,546,037.81","29,291,203.51","45,928,798.11","65,797,333.64","16,377,434.18","45,131,654.05","79,194,997.63","82,951,803.67","19,085,697.44","42,567,077.00","67,771,469.40","103,047,845.46","33,096,516.53","70,119,006.35","32,725,564.48","47,618,133.88","16,520,949.35"
其中:非流动资产处置净损失,809.23,"2,470.92","204,216.62",,,"24,755.88",,"7,296.00","7,296.00","7,296.00",,,"143,636.65","185,008.26",,"6,493.08","15,578.67",,,,,,
