科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"2,152,125,399.07","3,311,926,284.23","3,087,703,429.84","966,345,224.80","1,299,054,439.72","1,709,033,850.41","566,332,691.23","1,204,293,464.13","1,731,713,036.64","2,331,624,078.16","762,892,675.19","1,434,656,909.99","2,384,530,886.78","3,441,541,413.44","928,208,878.06","1,922,188,138.05","3,601,865,753.67","4,899,699,230.06","1,839,842,528.18","5,618,779,550.64","7,991,607,035.78","10,914,989,706.62","1,924,948,432.15","4,487,622,273.03","6,237,062,108.79","7,759,896,839.14","1,324,523,839.27","2,968,175,041.05","4,703,153,749.74","5,952,987,244.81"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"237,922,348.31","280,452,783.35","315,353,994.20","169,986,798.08","314,021,182.71","534,120,396.27","171,747,007.32","315,904,744.88","449,197,686.29","583,214,021.58","174,540,207.41","345,125,781.12","551,185,266.27","762,168,238.96","244,335,126.76","417,098,594.90","724,216,125.06","860,718,135.50","322,708,923.44","731,910,429.89","907,437,627.40","806,812,027.93","21,646,747.73","22,904,222.95","136,166,401.39","81,725,773.39","250,266,530.16","314,902,943.74","868,459,146.44","607,442,983.45"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,"237,922,348.31","280,452,783.35","315,353,994.20",,,,,,,,,,,,,,,,,,,,,"1,841,611,169.69",,"3,503,580,694.89",,,,"3,500,654,911.29"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,"1,818,706,946.74",,"3,421,854,921.50",,,,"2,893,211,927.84"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"1,937,676,999.80","2,840,434,444.19","2,269,463,834.67","770,288,276.68","1,140,422,714.88","1,433,543,495.78","297,955,047.91","611,891,464.53","930,843,528.13","1,276,870,687.03","399,546,530.39","812,913,881.11","1,314,362,313.00","1,918,922,750.97","456,264,949.42","879,206,099.22","1,786,997,348.05","2,751,636,373.99","1,167,511,546.21","3,802,039,235.14","5,498,157,697.94","7,515,649,593.57","1,097,319,495.98","2,265,623,184.43","3,297,947,962.87","4,551,146,729.83","802,513,831.15","1,736,323,532.26","2,823,790,384.14","3,691,082,836.30"
营业税金及附加,"110,063,907.99","166,527,896.49","137,810,263.70","50,497,229.69","74,151,100.76","83,702,312.62","20,090,817.37","41,989,219.99","64,329,898.85","85,013,624.37","31,393,717.23","65,368,865.79","101,670,488.18","143,784,252.37","38,364,933.42","76,530,160.27","156,160,081.26","228,735,288.07","110,724,270.12","340,092,751.00","480,163,041.79","668,243,039.97","123,551,878.75","169,190,057.51","182,396,001.70","198,577,629.08","10,401,797.90","22,911,545.24","37,382,599.08","49,415,319.26"
