科目,2007-03-31
货币资金,"21,646,766.17"
短期借款,"363,609,275.00"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,"51,911,115.39"
应付账款,"36,129,935.04"
预付款项,"4,341,482.88"
预收款项,"7,796,458.03"
其他应收款,"343,618,145.24"
应付职工薪酬,"15,990,087.07"
应收关联公司款,
应交税费,"-4,842,383.58"
应收利息,
应付利息,"101,033,850.22"
应收股利,"146,198.94"
应付股利,"79,186.27"
存货,"54,292,050.46"
其他应付款,"73,460,013.06"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,"334,074,171.06"
其他流动资产,"24,953.26"
其他流动负债,
流动资产合计,"475,980,712.34"
流动负债合计,"927,330,592.17"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,"1,452,201.10"
长期股权投资,"25,105,543.51"
专项应付款,"8,104,176.16"
投资性房地产,
预计负债,
固定资产,"93,771,134.41"
递延所得税负债,
在建工程,"68,546,794.24"
其他非流动负债,
工程物资,
非流动负债合计,"9,556,377.26"
固定资产清理,
负债合计,"936,886,969.43"
生产性生物资产,
实收资本(或股本),"348,136,224.00"
油气资产,
资本公积,"438,840,368.78"
无形资产,"52,157,291.49"
盈余公积,"47,045,490.40"
开发支出,
减:库存股,
商誉,
未分配利润,"-1,066,698,045.66"
长期待摊费用,
少数股东权益,"11,350,469.04"
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"239,580,763.65"
所有者权益(或股东权益)合计,"-221,325,493.44"
资产总计,"715,561,475.99"
负债和所有者(或股东权益)合计,"715,561,475.99"
