科目,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"2,051,227,251.69","2,548,110,160.87","382,015,195.10","714,108,734.60","860,425,653.65","1,116,090,283.86","405,543,867.21","950,215,925.12","1,370,346,000.53","1,993,074,402.96","454,124,713.17","510,386,517.42","1,052,099,898.09","1,699,940,255.38","374,589,339.97","577,894,071.94","677,592,524.50","809,643,896.26","262,302,769.45","609,809,077.80","867,299,201.78","1,200,272,711.34","523,540,854.42","942,910,593.47","1,392,391,601.11","1,767,040,160.70","566,697,923.96","1,082,820,354.90","1,846,617,833.57","3,090,984,262.41","1,210,132,183.22","4,021,557,653.76","5,009,469,869.28","6,745,760,224.97","941,937,603.81","1,751,777,986.92","3,098,792,339.00","4,481,628,728.45","1,065,593,378.18","2,114,401,719.76","3,559,863,779.97","4,926,111,998.63","945,476,451.54","2,056,700,776.11","4,137,173,805.98","6,780,105,834.67","2,275,771,875.87"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"51,586,792.34","73,379,331.92","24,958,448.52","49,283,941.24","69,150,791.56","95,318,011.57","21,144,754.72","45,863,712.59","70,172,996.37","101,564,553.81","23,814,598.75","50,178,162.79","76,459,521.74","100,323,538.18","21,108,290.80","44,066,912.68","73,549,607.02","99,195,548.00","27,765,804.62","57,125,406.71","94,846,295.17","134,664,912.39","32,184,445.39","64,974,788.68","129,320,128.04","166,870,824.48","64,895,394.54","161,100,536.63","252,072,895.93","367,102,328.74","74,739,610.96","269,670,718.01","295,104,873.66","306,945,178.15","-40,759,473.69","-73,605,727.32","-136,466,991.92","-194,775,996.29","43,737.36","-52,807,998.17","-91,174,838.90","-127,385,705.57","34,393,432.94","31,212,809.33","16,044,766.35","78,300,570.72","-44,028,411.14"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,407,282.04"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"284,435,693.18"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"1,379,755,440.41","1,663,863,101.99","322,617,611.16","589,020,561.58","763,437,015.53","931,441,046.68","272,487,369.11","619,835,894.05","1,045,928,777.89","1,445,582,141.21","346,476,928.20","598,316,040.79","914,712,105.06","1,387,097,266.32","273,885,075.04","496,243,612.51","685,926,686.35","845,086,776.03","216,102,926.70","465,803,776.31","617,153,474.20","808,418,924.12","253,333,513.68","493,805,471.72","783,752,091.93","1,089,200,577.15","307,760,263.42","531,968,041.37","945,669,091.31","1,603,234,237.90","647,207,835.66","1,990,256,145.09","2,727,608,355.93","3,709,178,866.41","568,482,666.08","1,133,463,614.04","1,777,119,940.79","2,455,891,777.14","406,690,382.16","776,717,023.04","1,229,422,445.65","1,650,568,226.47","348,515,334.08","660,652,414.71","973,660,401.26","1,320,757,381.40","366,127,285.48"
营业税金及附加,"99,282,420.19","125,284,798.94","19,019,604.74","38,024,067.44","45,660,271.04","58,510,427.22","15,306,826.56","38,627,981.64","65,606,741.91","92,798,852.36","24,386,251.90","34,410,813.53","51,345,366.87","86,175,917.75","17,587,902.50","31,528,124.63","39,075,488.37","48,394,785.76","12,475,606.15","29,546,095.76","39,459,463.29","51,466,317.32","25,543,251.06","48,380,325.24","73,035,645.59","105,535,363.67","31,764,127.88","61,902,202.93","104,075,503.57","178,810,879.64","83,634,115.35","240,304,417.12","322,581,897.79","431,641,558.17","70,679,521.41","105,665,783.07","112,826,485.69","132,822,994.51","6,706,493.25","13,642,524.98","23,400,803.04","26,891,746.34","5,685,199.80","11,537,599.14","20,288,600.61","27,836,518.97","7,382,405.87"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
业务及管理费,"396,133,213.01","706,993,429.06","131,727,501.56","257,699,394.19","379,165,341.66","538,927,685.75","112,713,231.88","285,592,065.73","480,981,400.80","694,704,184.85","169,695,155.90","348,800,901.51","582,944,837.19","917,011,624.18","220,807,515.44","438,674,481.48","678,720,835.93","932,392,351.81","195,586,043.26","452,253,559.23","680,903,149.58","993,380,722.50","282,896,361.84","524,200,914.70","778,111,688.73","1,062,899,476.41","297,733,438.07","581,307,994.48","937,976,606.59","1,528,989,788.86","397,808,717.60","1,411,480,099.72","1,775,461,014.01","2,770,247,982.13","376,573,488.90","893,312,178.41","1,519,465,307.48","2,352,892,145.28","383,365,783.04","835,947,640.84","1,399,215,160.60","2,084,689,579.53","447,976,068.66","889,068,538.51","1,402,977,283.56","2,099,924,593.28","666,267,362.07"
其中：代理买卖证券业务净收入,"1,371,635,440.41","1,627,419,118.05","312,617,611.16","541,844,138.45","685,334,311.38","838,196,991.49","271,022,898.21","608,372,954.04","1,018,784,112.02","1,401,780,753.11","263,333,879.54","494,355,694.41","724,085,330.94","1,109,946,723.35","236,827,829.71","418,703,333.93","577,169,937.65","688,064,018.14","138,638,649.69","272,626,521.94","382,405,814.88","492,514,403.28","173,806,443.89","328,541,084.17","537,516,253.40","783,149,412.19","178,986,608.15","332,829,113.06","608,800,552.21","1,052,197,413.96","483,484,097.16","1,465,439,334.73","1,965,985,639.24","2,400,078,216.02","231,286,801.66","479,422,453.83","712,495,091.63","938,036,127.45","187,505,248.66","365,265,514.13","587,235,363.87","753,804,757.74","183,202,886.34","362,145,448.85","534,824,454.90","674,919,683.29","233,908,687.71"
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,"8,120,000.00","29,428,009.02","10,000,000.00","40,710,000.00","77,406,000.00","81,826,000.00",,,"2,445,183.41","13,403,111.41","70,252,450.00","71,641,150.00","126,408,427.13","145,058,427.13","4,858,000.00","19,290,694.00","24,300,694.00","41,736,937.89","47,762,000.00","136,807,000.00","153,085,750.00","198,270,950.00","33,210,150.00","47,091,950.00","67,041,950.00","120,629,112.31","70,425,000.00","103,395,000.00","178,037,131.17","227,746,568.76","69,517,654.00","230,162,308.00","297,412,295.89","537,854,044.09","182,521,530.33","299,003,168.23","488,652,805.59","668,292,898.18","54,736,943.69","116,945,049.51","215,394,990.46","320,033,091.06","59,129,206.67","90,371,496.39","141,888,459.25","226,568,661.11","41,781,335.10"
资产减值损失,"56,165,731.56","37,075,428.86","42,967.49","-118,056.95","-2,438,616.04","1,842,560.93",,"9,672,420.87","9,672,420.87","15,281,073.29",,"-73,865.70","-587,007.80","12,744,671.50","-17,210.18","-19,154.42","37,603.59","4,850,729.17","-3,586,885.60","-3,584,790.63","-3,378,093.61","-3,139,525.31","385,217.21","3,694,124.29","5,239,917.98","31,159,863.70","875,885.53","8,847,794.18","-5,029,106.71","767,786.66","231,951.38","413,726.18","29,720,628.56","145,587,568.08","-9,988,754.55","11,558,069.40","31,411,889.25","120,018,459.62","-17,672,625.46","-11,593,688.75","14,431,538.84","231,045,482.53","26,978,136.26","50,939,942.01","115,450,569.85","681,125,085.08","-17,777,493.74"
委托客户管理资产业务净收入,,,,,,,,,"3,731,873.03","2,103,304.57","4,286,431.74","9,031,612.62","19,025,375.78","60,214,187.20","13,288,023.76","23,933,437.23","34,492,614.77","46,536,195.93","8,227,205.37","16,368,212.63","25,777,904.79","34,553,607.28","29,033,004.09","81,819,529.16","121,998,893.42","54,166,838.71","9,661,307.70","19,807,918.04","34,237,891.74","115,530,429.66","17,976,849.43","54,789,053.22","77,628,421.84","186,897,243.07","66,284,118.72","114,349,937.13","196,987,317.56","347,667,384.97","56,619,593.88","100,047,720.33","146,515,177.10","208,102,386.88","40,163,575.05","79,523,333.13","109,625,269.68","168,736,236.47","24,215,584.87"
其他业务成本,"374,691.64",,"67,443.05",,,,,,,,,,,,,,,"2,363,397.02","759,656.40","1,667,390.68","2,451,220.88","3,168,730.77","743,830.20",,,"569,723.16","142,430.79","285,793.58","16,721,990.65","697,575.46","142,430.79","286,875.88","437,830.37","819,742.48","150,842.80","368,444.61","5,231,346.88","276,495,290.26","446,109,790.57","903,803,006.19","1,341,983,681.36","1,828,576,991.39","300,029,799.68","810,045,247.98","2,279,498,384.98","3,722,109,845.34","856,045,265.01"
已赚保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、营业利润,"1,499,271,195.29","1,678,756,504.01","231,157,678.26","418,503,329.92","438,038,656.99","516,809,609.96","277,523,808.77","616,323,456.88","814,085,436.95","1,190,290,292.46","260,043,305.37","127,248,668.08","418,396,701.83","684,008,041.95","136,211,132.21","107,710,620.25","-40,241,403.39","-178,357,367.50","57,068,349.24","129,926,822.76","147,863,461.64","155,396,466.06","213,972,194.11","366,635,229.24","536,004,348.81","566,875,733.76","236,182,041.69","430,476,569.73","792,872,839.47","1,381,718,231.79","728,314,968.10","2,369,072,534.86","2,881,268,498.55","3,397,463,374.11","504,522,505.25","740,873,511.43","1,429,857,309.70","1,599,399,838.78","247,083,936.78","372,602,236.50","780,832,596.13","754,908,198.84","164,807,247.14","295,109,448.47","318,958,966.98","249,109,792.00","763,854,336.66"
保险业务收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,"6,157,761.53","9,180,740.17","774,938.53","1,790,300.73","1,883,958.48","2,159,438.15","27,239.93","168,712.95","1,209,023.46","1,881,338.97","548,617.56","8,265,340.39","9,346,190.17","10,579,519.57","51,579.58","6,288,123.08","7,160,829.04","19,098,216.05","5,569,750.91","12,485,654.88","15,685,189.79","24,860,247.19","486,302.43","2,067,945.81","11,373,754.83","12,848,285.31","3,017,246.97","8,927,344.97","14,697,703.91","15,344,571.73","247,637.47","9,768,972.15","15,648,711.75","21,412,340.76","4,752,181.59","33,449,083.14","43,126,117.54","57,040,707.87","6,935,958.59","14,947,067.19","23,500,542.70","32,122,506.98","9,764,167.96","22,646,442.94","25,861,746.20","57,584,883.22","1,287,494.44"
减：分出保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：营业外支出,"3,017,055.10","3,247,930.49","482,751.37","973,841.31","3,089,473.72","4,793,684.80","89,539.03","703,244.65","1,571,119.14","1,957,010.00","243,815.79","1,107,158.01","7,416,460.95","8,714,879.74","58,660.74","4,653,369.09","4,891,169.11","8,742,270.86","159,629.46","323,396.42","403,532.27","607,103.80","66,933.29","260,337.42","620,921.24","1,985,628.75","254,133.86","400,748.73","3,373,152.06","6,155,524.96","423,899.96","1,118,832.54","1,841,423.59","4,428,275.87","82,513.00","4,096,715.47","4,674,165.58","3,543,914.16","370,660.43","969,829.57","3,229,609.76","6,458,135.16","1,535,573.91","3,069,081.45","3,943,718.84","7,391,615.48","515,383.36"
提取未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
