科目,2006-12-31
货币资金,"440,007,580.98"
短期借款,"682,000,000.00"
交易性金融资产,
交易性金融负债,
应收票据,"304,109,822.64"
应付票据,
应收账款,"98,160,783.29"
应付账款,"185,063,600.91"
预付款项,"34,023,776.61"
预收款项,"70,306,973.17"
其他应收款,"257,570,119.13"
应付职工薪酬,"41,511,424.19"
应收关联公司款,
应交税费,"44,342,400.79"
应收利息,
应付利息,
应收股利,
应付股利,
存货,"692,881,059.50"
其他应付款,"195,301,532.02"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,"14,969,200.00"
其他流动资产,"11,846,637.06"
其他流动负债,"13,849,687.86"
流动资产合计,"1,838,599,779.21"
流动负债合计,"1,247,344,818.94"
可供出售金融资产,
长期借款,"1,982,692,400.00"
持有至到期投资,
应付债券,
长期应收款,
长期应付款,"50,000,000.00"
长期股权投资,"5,000,000.00"
专项应付款,"90,150,000.00"
投资性房地产,
预计负债,
固定资产,"1,991,160,845.76"
递延所得税负债,
在建工程,"1,692,580,201.83"
其他非流动负债,
工程物资,"1,416,824,977.40"
非流动负债合计,"2,122,842,400.00"
固定资产清理,
负债合计,"3,370,187,218.94"
生产性生物资产,
实收资本(或股本),"542,326,578.00"
油气资产,
资本公积,"1,705,643,312.72"
无形资产,
盈余公积,"248,768,979.63"
开发支出,
减:库存股,
商誉,
未分配利润,"677,101,748.06"
长期待摊费用,"12,924.00"
少数股东权益,"400,150,890.85"
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"5,105,578,948.99"
所有者权益(或股东权益)合计,"3,573,991,509.26"
资产总计,"6,944,178,728.20"
负债和所有者(或股东权益)合计,"6,944,178,728.20"
