科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,426,020,008.69","2,812,977,082.00","3,248,151,130.89","949,845,743.10","1,726,697,531.04","2,731,966,361.03","3,913,955,067.39","1,100,380,144.55","1,962,155,056.71","3,109,697,003.82"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,"2,712,151.17","2,870,209.35","2,406,113.48","199,704.79","1,006,668.42","1,565,142.46","1,959,046.10","691,345.54","1,628,879.29","2,152,684.63"
支付其他与投资活动有关的现金,,,,,,,,,,
收到其他与经营活动有关的现金,"21,438,422.13","25,664,322.93","28,567,949.72","5,634,772.50","10,375,943.73","19,270,198.45","24,155,446.84","9,788,297.06","45,873,787.76","56,573,640.16"
投资活动现金流出小计,"786,644,822.22","2,172,878,182.83","2,471,338,998.79","704,204,204.01","1,718,965,872.08","2,535,708,035.46","4,085,705,178.73","1,172,688,049.70","2,519,280,703.70","3,755,020,998.70"
经营活动现金流入小计,"2,450,170,581.99","2,841,511,614.28","3,279,125,194.09","955,680,220.39","1,738,080,143.19","2,752,801,701.94","3,940,069,560.33","1,110,859,787.15","2,009,657,723.76","3,168,423,328.61"
投资活动产生的现金流量净额,"-105,331,300.20","-332,478,334.18","-432,994,934.66","-75,021,143.83","-202,213,532.67","-94,047,106.98","-323,400,017.37","-211,829,066.81","-80,559,347.66","-341,210,652.93"
购买商品、接受劳务支付的现金,"1,645,237,594.28","1,583,761,778.56","2,100,822,658.79","564,912,828.03","958,268,681.41","1,599,200,489.41","2,180,843,629.27","619,342,445.64","1,207,634,307.56","1,834,765,069.57"
吸收投资收到的现金,,,,,"727,726,600.00","727,726,600.00","741,108,000.00",,,
支付给职工以及为职工支付的现金,"159,049,413.34","146,136,096.65","171,077,586.58","56,665,380.46","103,506,303.15","152,668,025.15","206,105,903.13","76,371,340.88","128,147,993.82","175,989,684.97"
取得借款收到的现金,,,,,,,,,,
支付的各项税费,"199,276,682.63","260,711,550.32","308,347,370.94","138,837,812.47","228,157,051.03","293,943,568.90","433,409,331.18","158,427,460.57","279,520,048.75","379,305,174.40"
收到其他与筹资活动有关的现金,"12,300,000.00","151,600.00","6,000.00","6,000,000.00","25,681,400.00","25,681,400.00","12,650,500.00","5,928,600.00","5,928,600.00","5,928,600.00"
支付其他与经营活动有关的现金,"265,644,513.90","310,078,522.30","273,865,951.56","66,929,033.83","166,213,612.17","236,354,160.55","319,859,969.25","55,550,696.41","111,496,174.67","169,460,067.80"
筹资活动现金流入小计,"12,300,000.00","151,600.00","6,000.00","6,000,000.00","753,408,000.00","753,408,000.00","753,758,500.00","5,928,600.00","5,928,600.00","5,928,600.00"
经营活动现金流出小计,"2,269,208,204.15","2,300,687,947.83","2,854,113,567.87","827,345,054.79","1,456,145,647.76","2,282,166,244.01","3,140,218,832.83","909,691,943.50","1,726,798,524.80","2,559,519,996.74"
偿还债务支付的现金,,,,,,,,,,
经营活动产生的现金流量净额,"180,962,377.84","540,823,666.45","425,011,626.22","128,335,165.60","281,934,495.43","470,635,457.93","799,850,727.50","201,167,843.65","282,859,198.96","608,903,331.87"
分配股利、利润或偿还利息支付的现金,,"232,050,000.00","219,520,000.00",,,"431,680,000.00","435,600,000.00",,"435,600,000.00","435,600,000.00"
收回投资收到的现金,"652,100,000.00","1,834,500,000.00","2,031,200,000.00","626,500,700.00","1,511,400,700.00","2,432,400,700.00","3,748,400,000.00","957,000,000.00","2,429,000,000.00","3,400,000,000.00"
支付其他与筹资活动有关的现金,,,,,"13,381,400.00","13,381,400.00","13,381,400.00",,,
取得投资收益收到的现金,"3,931,726.97","5,601,268.65","6,002,999.74","2,678,230.67","5,197,388.16","9,105,977.23","13,742,260.84","3,858,423.59","9,720,716.74","13,609,556.47"
筹资活动现金流出小计,,"232,050,000.00","219,520,000.00",,"13,381,400.00","445,061,400.00","448,981,400.00",,"435,600,000.00","435,600,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"4,681,795.05","298,580.00","1,141,064.39","4,129.51","154,251.25","154,251.25","162,900.52",559.30,639.30,"200,789.30"
筹资活动产生的现金流量净额,"12,300,000.00","-231,898,400.00","-219,514,000.00","6,000,000.00","740,026,600.00","308,346,600.00","304,777,100.00","5,928,600.00","-429,671,400.00","-429,671,400.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-153,529.05","-56,461.35","400,194.33","-70,002.91","242,825.87","350,266.24","1,197,763.35","-283,619.89","-859,979.21","-1,709,534.96"
收到其他与投资活动有关的现金,"20,600,000.00",,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"681,313,522.02","1,840,399,848.65","2,038,344,064.13","629,183,060.18","1,516,752,339.41","2,441,660,928.48","3,762,305,161.36","960,858,982.89","2,438,721,356.04","3,413,810,345.77"
五、现金及现金等价物净增加额,"87,777,548.59","-23,609,529.08","-227,097,114.11","59,244,018.86","819,990,388.63","685,285,217.19","782,425,573.48","-5,016,243.05","-228,231,527.91","-163,688,256.02"
购建固定资产、无形资产和其他长期资产支付的现金,"134,544,822.22","218,378,182.83","170,138,998.79","17,804,204.01","28,565,872.08","41,308,035.46","84,305,178.73","26,688,049.70","123,280,703.70","156,020,998.70"
