科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"462,976,487.27","416,460,086.88","989,036,708.84","2,202,617,028.41","2,493,133,618.20","293,870,479.80","619,725,691.44","1,011,901,988.37"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"16,924,095.00"
收到的税费返还,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,
收到其他与经营活动有关的现金,"9,985,562.06","12,461,529.50","20,831,546.31","13,198,360.99","22,929,624.98","5,624,002.27","9,878,320.95","24,504,636.79"
投资活动现金流出小计,"9,265,467.66","2,594,257.54","16,307,837.34","15,018,216.09","15,372,073.22","380,752,661.15","662,728,106.40","895,271,501.58"
经营活动现金流入小计,"472,962,049.33","428,921,616.38","1,009,868,255.15","2,215,815,389.40","2,516,063,243.18","299,494,482.07","629,604,012.39","1,036,406,625.16"
投资活动产生的现金流量净额,"-9,207,790.76","-2,574,257.54","-16,303,987.34","11,059,630.10","10,775,772.97","-203,567,528.27","-193,010,240.65","-243,734,281.85"
购买商品、接受劳务支付的现金,"434,086,297.02","429,384,745.88","778,282,836.62","1,786,384,990.94","2,030,471,709.56","427,225,713.12","712,256,112.39","1,040,632,528.85"
吸收投资收到的现金,,,,,"226,298,400.00",,,
支付给职工以及为职工支付的现金,"25,380,643.05","30,654,269.48","42,345,316.39","42,577,062.89","57,987,770.00","25,514,909.31","40,105,130.60","56,221,176.88"
取得借款收到的现金,,,,,,,,
支付的各项税费,"15,679,313.05","25,526,843.38","37,177,774.51","95,253,887.81","109,528,090.58","2,953,463.06","16,112,588.72","2,519,399.41"
收到其他与筹资活动有关的现金,,,,,,,,
支付其他与经营活动有关的现金,"18,485,922.70","23,470,446.72","29,391,946.16","31,590,667.28","42,073,498.08","25,982,463.57","34,726,478.05","60,412,688.57"
筹资活动现金流入小计,,,,,"226,298,400.00",,,
经营活动现金流出小计,"493,632,175.82","509,036,305.46","887,197,873.68","1,955,806,608.92","2,240,061,068.22","481,676,549.06","803,200,309.76","1,159,785,793.71"
偿还债务支付的现金,,,,,,,,
经营活动产生的现金流量净额,"-20,670,126.49","-80,114,689.08","122,670,381.47","260,008,780.48","276,002,174.96","-182,182,066.99","-173,596,297.37","-123,379,168.55"
分配股利、利润或偿还利息支付的现金,"20,000,000.00","16,000,000.00","16,000,000.00","32,000,000.00","32,000,000.00",,"34,137,600.00","34,137,600.00"
收回投资收到的现金,,,,"26,000,000.00","26,000,000.00","176,500,000.00","467,500,000.00","648,190,000.00"
支付其他与筹资活动有关的现金,,"400,000.00","380,000.00","400,000.00","10,265,185.10",,"3,750,000.00","3,750,000.00"
取得投资收益收到的现金,,,,"77,846.19","77,846.19","685,132.88","2,217,865.75","3,252,219.73"
筹资活动现金流出小计,"20,000,000.00","16,400,000.00","16,380,000.00","32,400,000.00","42,265,185.10",,"37,887,600.00","37,887,600.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"57,676.90","20,000.00","3,850.00",,"70,000.00",,,"95,000.00"
筹资活动产生的现金流量净额,"-20,000,000.00","-16,400,000.00","-16,380,000.00","-32,400,000.00","184,033,214.90",,"-37,887,600.00","-37,887,600.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,
四、汇率变动对现金的影响,"-68,153.10","26,337.77","553,811.23","385,403.19","903,997.52","-90,432.14","-390,033.58","-720,012.33"
收到其他与投资活动有关的现金,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,
投资活动现金流入小计,"57,676.90","20,000.00","3,850.00","26,077,846.19","26,147,846.19","177,185,132.88","469,717,865.75","651,537,219.73"
五、现金及现金等价物净增加额,"-49,946,070.35","-99,062,608.85","90,540,205.36","239,053,813.77","471,715,160.35","-385,840,027.40","-404,884,171.60","-405,721,062.73"
购建固定资产、无形资产和其他长期资产支付的现金,"9,265,467.66","2,594,257.54","3,307,837.34","2,018,216.09","2,372,073.22","3,252,661.15","4,228,106.40","4,977,406.58"
期初现金及现金等价物余额,"298,804,457.23","248,858,386.88","149,795,778.03","240,335,983.39","240,335,983.39","712,566,026.52","712,060,161.84","712,060,161.84"
投资支付的现金,,,"13,000,000.00","13,000,000.00","13,000,000.00","377,500,000.00","658,500,000.00","873,370,000.00"
期末现金及现金等价物余额,"248,858,386.88","149,795,778.03","240,335,983.39","479,389,797.16","712,051,143.74","326,725,999.12","307,175,990.24","306,339,099.11"
