科目,2007年1-3月,2007年1-6月,2007年1-9月
销售商品、提供劳务收到的现金,"1,883,333,319.44","3,939,825,910.16","6,719,639,038.20"
取得子公司及其他营业单位支付的现金净额,,,
收到的税费返还,"415,031.80","1,867,445.29","2,606,185.95"
支付其他与投资活动有关的现金,,,
收到其他与经营活动有关的现金,"8,024,757.24","20,626,657.80","36,155,697.21"
投资活动现金流出小计,"15,226,138.65","25,698,880.97","232,252,717.32"
经营活动现金流入小计,"1,891,773,108.48","3,962,320,013.25","6,758,400,921.36"
投资活动产生的现金流量净额,"-14,499,750.19","-24,822,908.51","-230,846,646.56"
购买商品、接受劳务支付的现金,"1,903,360,582.93","3,895,460,564.40","6,339,633,940.58"
吸收投资收到的现金,,,
支付给职工以及为职工支付的现金,"81,677,817.55","154,800,846.57","249,762,168.20"
取得借款收到的现金,,"446,416,000.00","860,944,000.00"
支付的各项税费,"94,770,770.13","437,526,528.48","527,892,659.20"
收到其他与筹资活动有关的现金,,,
支付其他与经营活动有关的现金,"36,847,074.67","65,090,136.06","103,255,106.82"
筹资活动现金流入小计,,"446,416,000.00","860,944,000.00"
经营活动现金流出小计,"2,116,656,245.28","4,552,878,075.51","7,220,543,874.80"
偿还债务支付的现金,,"211,680,000.00","211,680,000.00"
经营活动产生的现金流量净额,"-224,883,136.80","-590,558,062.26","-462,142,953.44"
分配股利、利润或偿还利息支付的现金,,"30,772,941.57","87,628,773.80"
收回投资收到的现金,"320,332.46","320,332.46","320,332.46"
支付其他与筹资活动有关的现金,,,
取得投资收益收到的现金,,,
筹资活动现金流出小计,,"242,452,941.57","299,308,773.80"
处置固定资产、无形资产和其他长期资产收回的现金净额,"406,056.00","555,640.00","1,085,738.30"
筹资活动产生的现金流量净额,,"203,963,058.43","561,635,226.20"
处置子公司及其他营业单位收到的现金净额,,,
四、汇率变动对现金的影响,"-46,357.22","-41,502.88","-41,163.30"
收到其他与投资活动有关的现金,,,
四(2)、其他原因对现金的影响,,,
投资活动现金流入小计,"726,388.46","875,972.46","1,406,070.76"
五、现金及现金等价物净增加额,"-239,429,244.21","-411,459,415.22","-131,395,537.10"
购建固定资产、无形资产和其他长期资产支付的现金,"15,226,138.65","25,698,880.97","58,053,017.32"
期初现金及现金等价物余额,"1,846,555,634.79","1,846,555,634.79","1,846,555,634.79"
投资支付的现金,,,"174,199,700.00"
期末现金及现金等价物余额,"1,607,126,390.58","1,435,096,219.57","1,715,160,097.69"
