科目,2006-03-31
货币资金,"700,289,863.09"
短期借款,
交易性金融资产,"800,000,000.00"
交易性金融负债,
应收票据,"324,217,874.79"
应付票据,
应收账款,"372,768,942.96"
应付账款,"367,551,952.04"
预付款项,"87,275,851.53"
预收款项,"8,165,789.61"
其他应收款,"5,302,130.54"
应付职工薪酬,"21,693,526.84"
应收关联公司款,
应交税费,"70,063,315.68"
应收利息,
应付利息,
应收股利,
应付股利,
存货,"53,162,470.76"
其他应付款,"35,599,167.40"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,"53,133.20"
其他流动负债,"132,000.00"
流动资产合计,"2,343,070,266.87"
流动负债合计,"503,205,751.57"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,"41,875,915.26"
专项应付款,"14,022,616.79"
投资性房地产,
预计负债,
固定资产,"3,360,658,225.27"
递延所得税负债,
在建工程,"233,243,963.24"
其他非流动负债,
工程物资,
非流动负债合计,"14,022,616.79"
固定资产清理,
负债合计,"517,228,368.36"
生产性生物资产,
实收资本(或股本),"874,650,000.00"
油气资产,
资本公积,"1,406,703,473.44"
无形资产,"1,033,750.32"
盈余公积,"812,663,857.88"
开发支出,
减:库存股,
商誉,
未分配利润,"2,375,545,586.22"
长期待摊费用,
少数股东权益,"10,602,670.30"
递延所得税资产,"17,511,835.24"
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"3,654,323,689.33"
所有者权益(或股东权益)合计,"5,480,165,587.84"
资产总计,"5,997,393,956.20"
负债和所有者(或股东权益)合计,"5,997,393,956.20"
