科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,527,556,501.83","1,757,829,628.93","2,058,033,806.68","504,070,100.00","1,135,699,561.85","1,843,766,970.24","2,563,330,459.14","662,040,344.40","1,459,698,895.48","2,377,194,300.59","3,305,480,010.00","820,164,696.08","1,815,759,674.48","2,955,324,232.73","4,079,709,861.92","988,899,071.86","2,166,657,075.00","3,524,423,220.31","4,833,227,645.58","1,142,347,222.47"
二、营业利润,"282,207,868.20","328,081,425.18","347,092,177.03","73,388,200.00","186,116,320.65","320,060,142.50","438,752,634.68","105,786,009.80","237,152,698.48","401,316,909.20","539,745,912.63","85,423,166.56","230,047,200.54","453,959,201.19","651,370,426.17","136,889,194.36","333,952,118.33","590,257,885.42","824,062,517.20","152,149,468.62"
减:营业成本,"977,761,577.51","1,146,318,869.09","1,374,330,149.60",,"749,999,761.65","1,201,086,406.21","1,668,973,707.79","428,991,213.14","939,560,099.68","1,515,297,244.96","2,111,207,878.98","535,866,770.13","1,171,898,996.71","1,851,954,691.49","2,541,615,855.62","605,041,442.05","1,315,255,975.86","2,138,019,417.40","2,915,595,229.85","693,545,363.70"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"15,351,113.66","17,745,589.83","20,477,967.69",,"11,558,610.61","18,328,703.98","25,100,821.66","6,677,237.07","14,866,484.26","23,524,596.74","40,404,393.86","11,204,394.66","23,917,363.54","39,583,105.92","54,164,842.30","13,902,633.86","29,025,962.34","45,982,414.48","63,528,451.75","15,623,817.45"
营业外收入,"8,040,219.91","7,459,289.40","6,173,375.43",,"2,687,138.94","4,892,362.51","11,219,588.67","1,044,403.89","6,954,470.59","19,593,373.52","25,867,265.80","5,277,664.38","4,353,091.43","6,917,337.80","9,203,529.15","2,210,913.77","4,661,596.14","7,574,232.70","10,048,290.43","2,850,607.61"
销售费用,"199,859,702.13","212,875,358.40","259,543,374.25",,"152,998,371.77","250,739,531.11","359,833,032.37","103,182,578.19","233,790,824.47","380,460,402.97","548,892,077.15","161,210,984.55","349,742,914.03","549,481,876.70","756,654,603.26","214,513,937.93","457,601,793.03","720,778,342.86","998,761,073.00","262,621,046.58"
减:营业外支出,"1,768,912.33","1,047,153.30","1,395,275.42",,"1,994,304.28","2,344,200.99","2,608,474.03","121,839.23","1,043,607.59","1,661,555.49","6,044,872.97","469,904.88","1,350,495.79","1,967,134.40","2,335,185.63","381,382.43","880,555.82","1,754,162.94","9,666,645.19","389,216.94"
管理费用,"47,830,741.20","52,052,294.21","56,798,480.97",,"32,315,036.80","47,871,285.53","65,624,237.18","19,144,932.37","36,579,974.37","56,639,815.99","67,601,815.22","25,479,178.87","44,239,067.62","61,669,705.66","82,046,754.03","29,256,571.37","48,803,973.82","65,757,882.72","88,759,740.52","31,354,735.29"
其中:非流动资产处置净损失,"462,776.13","313,401.47",,,,"966,666.98","1,029,001.32","44,198.74","160,364.37","425,796.51","2,858,006.22","11,817.59","669,827.18","979,229.63",,,,,,
