科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"162,413,513.84","193,469,325.78","322,093,543.47","82,486,362.05","176,323,096.37","303,693,406.12","413,803,019.39","128,851,490.21","242,920,012.18"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"1,296,039.96"
收到的税费返还,"11,892,346.61","5,399,614.24","4,822,378.54","801,739.67","4,496,753.25","5,048,267.21","7,886,168.33","148,215.14","210,132.02"
支付其他与投资活动有关的现金,,,,,,,,,
收到其他与经营活动有关的现金,"5,117,347.21","4,864,960.01","7,579,351.01","352,883.63","8,976,559.75","11,285,632.03","18,031,301.43","9,995,245.36","16,441,265.51"
投资活动现金流出小计,"6,773,632.62","7,566,209.12","11,738,973.17","4,897,472.77","65,074,632.73","212,437,506.34","221,704,597.23","237,761,326.50","336,328,851.59"
经营活动现金流入小计,"179,423,207.66","203,733,900.03","334,495,273.02","83,640,985.35","189,796,409.37","320,027,305.36","439,720,489.15","138,994,950.71","259,571,409.71"
投资活动产生的现金流量净额,"-6,770,732.62","-6,657,704.79","-11,738,973.17","-4,897,472.77","-65,074,632.73","-151,918,259.77","-220,709,657.51","-237,225,299.10","-333,061,426.93"
购买商品、接受劳务支付的现金,"98,381,357.88","102,398,855.24","182,429,832.78","55,673,891.18","136,259,483.49","215,284,818.90","273,489,067.54","56,674,558.46","127,238,099.15"
吸收投资收到的现金,"9,999,900.00",,,"567,007,428.21","567,007,428.21","567,007,428.21","644,840,213.21",,
支付给职工以及为职工支付的现金,"23,886,284.41","31,608,182.87","40,644,456.57","23,228,442.33","32,651,353.25","44,043,445.67","56,996,460.87","29,002,311.00","40,372,031.35"
取得借款收到的现金,,,,,,,,,
支付的各项税费,"9,869,116.18","9,250,046.03","11,852,301.19","4,833.98","9,760,383.91","10,058,481.00","12,955,700.95","3,841,046.97","6,808,244.18"
收到其他与筹资活动有关的现金,,,,"9,350,580.89","9,350,580.89","9,350,580.89","9,350,580.89",,
支付其他与经营活动有关的现金,"15,628,079.25","18,574,853.82","14,831,286.32","4,803,891.47","9,941,844.02","15,093,762.97","25,426,826.14","7,492,823.55","10,132,022.06"
筹资活动现金流入小计,"9,999,900.00",,,"576,358,009.10","576,358,009.10","576,358,009.10","654,190,794.10",,
经营活动现金流出小计,"147,764,837.72","161,831,937.96","249,757,876.86","83,711,058.96","188,613,064.67","284,480,508.54","368,868,055.50","97,010,739.98","184,550,396.74"
偿还债务支付的现金,,,,,,,,,
经营活动产生的现金流量净额,"31,658,369.94","41,901,962.07","84,737,396.16","-70,073.61","1,183,344.70","35,546,796.82","70,852,433.65","41,984,210.73","75,021,012.97"
分配股利、利润或偿还利息支付的现金,"6,000,000.00",,,,"11,200,089.44","11,200,089.44","11,200,089.44",,"10,376,189.53"
收回投资收到的现金,,,,,,"60,000,000.00",,,
支付其他与筹资活动有关的现金,,,,"8,147,750.67","6,638,222.40","6,638,222.40","6,638,222.40",,
取得投资收益收到的现金,,,,,,"519,246.57","994,939.72","536,027.40","3,267,424.66"
筹资活动现金流出小计,"6,000,000.00",,,"8,147,750.67","17,838,311.84","17,838,311.84","17,838,311.84",,"10,376,189.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,900.00",720.00,,,,,,,
筹资活动产生的现金流量净额,"3,999,900.00",,,"568,210,258.43","558,519,697.26","558,519,697.26","636,352,482.26",,"-10,376,189.53"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"58,075.24","2,187,056.93","8,913,466.32","-976,296.79","-4,859,391.70","-9,338,752.29","-12,858,273.85","-9,045,820.72","2,387,580.88"
收到其他与投资活动有关的现金,,"907,784.33",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"2,900.00","908,504.33",,,,"60,519,246.57","994,939.72","536,027.40","3,267,424.66"
五、现金及现金等价物净增加额,"28,945,612.56","37,431,314.21","81,911,889.31","562,266,415.26","489,769,017.53","432,809,482.02","473,636,984.55","-204,286,909.09","-266,029,022.61"
购建固定资产、无形资产和其他长期资产支付的现金,"6,773,632.62","7,566,209.12","11,738,973.17","4,897,472.77","5,074,632.73","107,437,506.34","121,704,597.23","77,761,326.50","88,032,811.63"
期初现金及现金等价物余额,"43,806,715.54","72,752,328.10","110,183,642.31","192,095,531.62","192,095,531.62","192,095,531.62","192,095,531.62","665,732,516.17","665,732,516.17"
投资支付的现金,,,,,"60,000,000.00","105,000,000.00","100,000,000.00","160,000,000.00","247,000,000.00"
期末现金及现金等价物余额,"72,752,328.10","110,183,642.31","192,095,531.62","754,361,946.88","681,864,549.15","624,905,013.64","665,732,516.17","461,445,607.08","399,703,493.56"
