科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,744,383,208.00","789,818,237.00","1,511,786,650.00","598,151,016.00","919,400,752.00","1,495,801,869.00","271,968,213.00","543,928,671.00","764,146,400.00","1,098,085,408.00","251,344,613.00","490,204,852.00","773,358,931.00","1,048,016,031.00","319,203,214.00","577,120,232.00","882,420,331.00","1,316,025,102.00","436,357,124.00","873,086,506.00","1,352,884,539.00","1,959,188,535.00","973,536,787.00","2,433,478,944.00","2,852,488,074.00","3,838,500,324.00","373,114,797.00","933,462,990.00","1,591,088,989.00","2,345,625,119.00","840,113,940.00","2,099,005,483.00","3,400,544,538.00","4,392,996,390.00","1,328,759,707.00","2,980,446,092.00"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"61,792,674.00","83,386,756.00","113,726,883.00","58,297,165.00","90,440,300.00","133,739,634.00","64,807,634.00","131,404,306.00","216,485,645.00","303,611,835.00","87,001,120.00","159,182,393.00","222,102,245.00","289,524,076.00","59,908,987.00","139,084,877.00","240,484,663.00","364,796,577.00","122,064,526.00","234,960,934.00","373,336,857.00","483,205,048.00","140,267,009.00","281,816,343.00","289,504,752.00","350,430,941.00","76,506,352.00","135,842,726.00","207,726,249.00","266,197,158.00","25,648,034.00","46,217,115.00","48,339,809.00","56,429,917.00","-6,214,972.00","-49,507,463.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"1,087,052,615.00","665,869,286.00","1,314,818,378.00","505,302,388.00","717,871,265.00","1,216,992,024.00","209,867,757.00","417,295,821.00","566,518,468.00","800,930,817.00","164,065,815.00","286,231,827.00","482,612,137.00","666,141,931.00","222,712,449.00","387,502,345.00","560,008,882.00","838,263,831.00","201,521,828.00","438,447,172.00","750,733,004.00","1,173,817,766.00","445,975,424.00","1,500,171,253.00","1,996,746,655.00","2,607,719,787.00","320,223,060.00","725,317,949.00","983,070,654.00","1,483,565,623.00","318,955,026.00","593,194,303.00","879,755,653.00","1,168,177,951.00","178,993,883.00","382,903,247.00"
营业税金及附加,"84,246,651.00","48,569,031.00","76,466,309.00","30,117,453.00","46,259,844.00","76,456,843.00","11,629,370.00","23,945,939.00","31,941,520.00","47,337,992.00","9,685,159.00","19,357,678.00","33,064,572.00","45,860,767.00","16,754,993.00","30,797,640.00","47,849,732.00","71,324,376.00","23,181,494.00","47,623,191.00","74,569,067.00","109,682,756.00","52,521,291.00","148,071,912.00","181,668,055.00","237,141,260.00","26,006,727.00","47,040,299.00","50,685,440.00","61,814,600.00","5,851,253.00","12,274,655.00","17,635,606.00","24,271,574.00","3,885,678.00","8,751,369.00"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
