科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"350,835,666.02","324,039,846.64","294,273,169.76","162,690,469.60","221,866,598.96","43,508,744.91","99,648,508.00","138,041,176.45"
取得子公司及其他营业单位支付的现金净额,,,,,,,,
收到的税费返还,,"189,546.31","557,102.45","1,259,056.82","1,259,056.82","548,583.18","548,583.18","605,422.12"
支付其他与投资活动有关的现金,,,,,,,,
收到其他与经营活动有关的现金,"10,353,849.11","9,059,185.62","14,529,671.09","4,121,712.76","8,808,495.31","2,735,892.51","5,801,335.26","16,649,124.13"
投资活动现金流出小计,"31,840,918.83","26,713,864.97","24,808,485.53","8,027,866.31","9,259,036.48","2,755,165.00","3,073,228.77","6,519,517.37"
经营活动现金流入小计,"361,189,515.13","333,288,578.57","309,359,943.30","168,071,239.18","231,934,151.09","46,793,220.60","105,998,426.44","155,295,722.70"
投资活动产生的现金流量净额,"-30,293,456.30","-24,990,017.30","-14,163,657.08","-2,387,351.46","-7,027,929.25","-2,755,165.00","-3,043,812.77","-6,490,101.37"
购买商品、接受劳务支付的现金,"118,550,464.19","159,264,310.56","111,658,694.50","77,471,842.88","103,628,794.43","21,913,441.64","45,354,481.19","70,683,557.56"
吸收投资收到的现金,,,"2,100,000.00",,"317,745,600.00",,,
支付给职工以及为职工支付的现金,"49,739,274.21","54,597,529.45","53,748,969.44","33,757,773.30","42,487,222.89","12,428,441.94","21,906,359.36","32,417,084.44"
取得借款收到的现金,,,,,,,,
支付的各项税费,"46,901,038.36","39,536,120.15","36,237,599.52","17,788,503.29","26,426,957.36","2,690,769.78","7,715,649.39","13,652,787.67"
收到其他与筹资活动有关的现金,,,,,,,,
支付其他与经营活动有关的现金,"41,514,289.98","40,020,863.82","29,867,620.33","20,955,724.09","28,150,117.86","8,801,173.19","14,289,699.41","18,871,997.43"
筹资活动现金流入小计,,,"2,100,000.00",,"317,745,600.00",,,
经营活动现金流出小计,"256,705,066.74","293,418,823.98","231,512,883.79","149,973,843.56","200,693,092.54","45,833,826.55","89,266,189.35","135,625,427.10"
偿还债务支付的现金,,,,,,,,
经营活动产生的现金流量净额,"104,484,448.39","39,869,754.59","77,847,059.51","18,097,395.62","31,241,058.55","959,394.05","16,732,237.09","19,670,295.60"
分配股利、利润或偿还利息支付的现金,"17,943,762.57",,"13,726,800.00","10,676,400.00","10,676,400.00",,"20,336,000.00","24,503,751.83"
收回投资收到的现金,,,,,,,,
支付其他与筹资活动有关的现金,"2,617,788.06","188,679.25","518,867.92","2,113,207.55","9,812,974.36","5,300,000.00","5,300,000.00","13,356,289.63"
取得投资收益收到的现金,,,,,,,,
筹资活动现金流出小计,"20,561,550.63","188,679.25","14,245,667.92","12,789,607.55","20,489,374.36","5,300,000.00","25,636,000.00","37,860,041.46"
处置固定资产、无形资产和其他长期资产收回的现金净额,"152,803.84","81,106.84","13,666.02","231,107.23","231,107.23",,"29,416.00","29,416.00"
筹资活动产生的现金流量净额,"-20,561,550.63","-188,679.25","-12,145,667.92","-12,789,607.55","297,256,225.64","-5,300,000.00","-25,636,000.00","-37,860,041.46"
处置子公司及其他营业单位收到的现金净额,,,,,,,,
四、汇率变动对现金的影响,"-1,263,255.13","53,899.87","1,766,275.81","1,151,116.15","3,586,795.96","-264,355.54","-1,982,004.91","-3,138,960.43"
收到其他与投资活动有关的现金,"1,394,658.69","1,642,740.83","10,631,162.43","5,409,407.62","2,000,000.00",,,
四(2)、其他原因对现金的影响,,,,,,,,
投资活动现金流入小计,"1,547,462.53","1,723,847.67","10,644,828.45","5,640,514.85","2,231,107.23",,"29,416.00","29,416.00"
五、现金及现金等价物净增加额,"52,366,186.33","14,744,957.91","53,304,010.32","4,071,552.76","325,056,150.90","-7,360,126.49","-13,929,580.59","-27,818,807.66"
购建固定资产、无形资产和其他长期资产支付的现金,"31,840,918.83","26,713,864.97","24,808,485.53","8,027,866.31","9,259,036.48","2,755,165.00","3,073,228.77","6,519,517.37"
期初现金及现金等价物余额,"134,095,255.23","186,461,441.56","201,206,399.47","254,510,409.79","254,510,409.79","579,566,560.69","579,566,560.69","579,566,560.69"
投资支付的现金,,,,,,,,
期末现金及现金等价物余额,"186,461,441.56","201,206,399.47","254,510,409.79","258,581,962.55","579,566,560.69","572,206,434.20","565,636,980.10","551,747,753.03"
