科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"506,560,991.88","608,379,888.56","627,669,848.93","306,228,269.16",,"611,204,565.41","175,925,187.54","388,155,282.03","632,738,789.95","829,258,173.02","174,370,867.95","404,520,764.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"47,246,350.97","60,955,429.07","61,117,246.90","32,889,266.57",,"65,099,042.24","19,668,538.69","45,438,005.71","70,037,265.99","88,087,005.00","24,947,602.15","49,789,417.36"
支付其他与投资活动有关的现金,,,,,,,"180,000,000.00","250,000,000.00","450,000,000.00","540,000,000.00","160,000,000.00","310,000,000.00"
收到其他与经营活动有关的现金,"20,503,911.76","29,635,035.46","56,048,583.33","35,417,888.07",,"38,272,952.44","45,383,403.21","50,599,061.82","51,318,110.00","54,230,785.52","48,414,536.52","48,921,703.51"
投资活动现金流出小计,"10,880,468.34","21,140,446.21","8,090,793.78","4,251,980.52",,"17,833,443.18","195,956,428.96","284,997,618.11","509,572,886.12","615,828,331.61","178,502,271.47","342,780,999.73"
经营活动现金流入小计,"574,311,254.61","698,970,353.09","744,835,679.16","374,535,423.80",,"714,576,560.09","240,977,129.44","484,192,349.56","754,094,165.94","971,575,963.54","247,733,006.62","503,231,885.26"
投资活动产生的现金流量净额,"-2,735,900.23","-19,494,860.18","-7,353,380.91","-3,784,417.62","-8,685,551.26","-17,361,716.13","-195,956,298.96","-233,734,102.39","-245,814,678.19","-251,269,276.18","3,974,315.85","2,464,664.99"
购买商品、接受劳务支付的现金,"334,550,052.68","429,473,777.39","473,458,211.75","220,084,257.19",,"427,577,361.51","143,124,707.74","290,045,737.90","457,260,409.65","621,510,220.72","207,814,824.33","374,714,915.55"
吸收投资收到的现金,,,,,,,"277,172,100.00","277,172,100.00","277,172,100.00","277,172,100.00",,
支付给职工以及为职工支付的现金,"62,984,846.98","87,963,068.46","86,996,396.85","48,671,774.13",,"103,564,574.80","32,730,363.56","63,174,865.99","94,396,736.10","122,245,289.19","34,600,674.86","66,656,086.06"
取得借款收到的现金,"94,356,623.87","10,100,000.00","200,000.00","100,000.00",,"5,100,000.00",,,,,,
支付的各项税费,"18,972,109.94","23,816,708.61","23,259,080.95","21,426,595.28",,"33,688,223.90","10,149,392.90","19,419,619.78","25,562,322.40","31,010,361.69","5,822,845.00","8,875,954.64"
收到其他与筹资活动有关的现金,"1,000,000.00",,,,,,,,,,,
支付其他与经营活动有关的现金,"55,688,746.57","81,768,588.98","70,380,053.73","50,714,408.32",,"80,417,460.23","60,608,834.57","70,766,694.73","90,206,246.05","94,914,177.11","59,250,304.14","71,819,120.20"
筹资活动现金流入小计,"95,356,623.87","10,100,000.00","200,000.00","100,000.00",,"5,100,000.00","277,172,100.00","277,172,100.00","277,172,100.00","277,172,100.00",,
经营活动现金流出小计,"472,195,756.17","623,022,143.44","654,093,743.28","340,897,034.92",,"645,247,620.44","246,613,298.77","443,406,918.40","667,425,714.20","869,680,048.71","307,488,648.33","522,066,076.45"
偿还债务支付的现金,"164,495,576.98","30,000,000.00","200,000.00","100,000.00",,"5,100,000.00",,,,"100,000.00",,
经营活动产生的现金流量净额,"102,115,498.44","75,948,209.65","90,741,935.88","33,638,388.88","68,842,917.09","69,328,939.65","-5,636,169.33","40,785,431.16","86,668,451.74","101,895,914.83","-59,755,641.71","-18,834,191.19"
分配股利、利润或偿还利息支付的现金,"29,434,879.01","32,680,070.17","36,005,129.83","36,002,299.99",,"36,003,639.85","1,087.49","32,003,199.15","32,004,310.81","32,005,084.14",,"31,253,980.80"
收回投资收到的现金,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"1,000,000.00",,,"5,000,000.00",,"5,000,000.00","14,605,700.00","14,605,700.00","14,605,700.00","14,605,700.00",,
取得投资收益收到的现金,"2,307,507.90",,"308,000.00","338,800.00",,"338,800.00",,"873,709.59","2,763,190.93","3,730,793.68","2,441,587.32","4,634,934.72"
筹资活动现金流出小计,"194,930,455.99","62,680,070.17","36,205,129.83","41,102,299.99",,"46,103,639.85","14,606,787.49","46,608,899.15","46,610,010.81","46,710,784.14",,"31,253,980.80"
处置固定资产、无形资产和其他长期资产收回的现金净额,"497,060.21","1,645,586.03","429,412.87","128,762.90",,"132,927.05",130.00,"389,806.13","995,017.00","828,261.75","35,000.00","610,730.00"
筹资活动产生的现金流量净额,"-99,573,832.12","-52,580,070.17","-36,005,129.83","-41,002,299.99","-41,103,386.10","-41,003,639.85","262,565,312.51","230,563,200.85","230,562,089.19","230,461,315.86",,"-31,253,980.80"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-4,209,884.43","-30,767.44","7,258,210.56","2,006,292.72",,"3,613,596.50","-366,484.56","-392,743.34","-1,983,356.56","-2,311,832.21","-1,222,167.80","-819,809.11"
收到其他与投资活动有关的现金,"5,340,000.00",,,,,,,"50,000,000.00","260,000,000.00","360,000,000.00","180,000,000.00","340,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"8,144,568.11","1,645,586.03","737,412.87","467,562.90",,"471,727.05",130.00,"51,263,515.72","263,758,207.93","364,559,055.43","182,476,587.32","345,245,664.72"
五、现金及现金等价物净增加额,"-4,404,118.34","3,842,511.86","54,641,635.70","-9,142,036.01","21,799,368.44","14,577,180.17","60,606,359.66","37,221,786.28","69,432,506.18","78,776,122.30","-57,003,493.66","-48,443,316.11"
购建固定资产、无形资产和其他长期资产支付的现金,"10,880,468.34","20,650,699.71","7,739,153.78","4,251,980.52",,"17,833,443.18","15,956,428.96","34,997,618.11","59,572,886.12","75,828,331.61","18,502,271.47","32,780,999.73"
期初现金及现金等价物余额,"58,969,176.81","54,565,058.47","58,407,570.33","113,049,206.03",,"113,049,206.03","127,626,386.20","127,626,386.20","127,626,386.20","127,626,386.20","206,402,508.50","206,402,508.50"
投资支付的现金,,"489,746.50","351,640.00",,,,,,,,,
期末现金及现金等价物余额,"54,565,058.47","58,407,570.33","113,049,206.03","103,907,170.02",,"127,626,386.20","188,232,745.86","164,848,172.48","197,058,892.38","206,402,508.50","149,399,014.84","157,959,192.39"
