科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"259,286,567.57","324,088,058.25","361,461,756.74","156,237,552.42","282,232,400.00","415,503,474.14","65,162,808.27","187,731,675.60","289,775,908.80","422,970,533.82","55,313,022.98","167,104,278.01","285,898,564.04","469,352,293.20","81,118,780.40"
二、营业利润,"21,785,271.10","26,281,799.63","26,626,179.98","6,364,556.57","17,118,600.00","33,077,157.10","1,319,798.53","7,089,594.26","13,682,064.82","39,732,724.39","-2,418,725.38","8,165,087.38","16,651,231.93","37,321,598.77","1,446,960.39"
减:营业成本,"201,946,654.36","252,330,002.02","281,882,103.11","124,555,872.75","226,421,200.00","326,947,551.16","50,505,930.60","149,097,634.24","227,731,455.87","325,173,797.87","48,124,395.35","132,830,564.89","229,554,363.82","375,170,264.45","62,482,422.58"
加:补贴收入,,,,,,,,,,,,,,,
营业税金及附加,"3,987,267.80","665,427.43","2,862,918.21","183,395.49",,"1,366,312.89","558,122.18","1,311,534.12","2,122,377.50","2,848,762.17","296,238.06","1,366,899.52","1,931,310.16","2,783,169.06","700,110.78"
营业外收入,"3,695,382.21","8,127,418.64","10,299,722.99","2,096,633.26",,"9,505,557.70","2,321,092.07","10,754,796.12","11,113,138.47","3,401,591.92","475,528.56","483,396.19","577,011.38","605,933.50","82,019.98"
销售费用,"10,420,987.18","13,595,007.95","13,611,433.04","6,146,715.37",,"13,507,901.54","2,585,836.72","6,010,883.36","8,642,560.29","13,006,234.28","1,828,476.74","4,110,927.90","7,355,839.35","11,975,862.27","3,545,699.31"
减:营业外支出,"341,617.21","585,431.63","310,533.37","582,224.24",,"764,192.90","46,691.76","177,374.57","185,972.30","2,442,457.07","129,148.85","156,570.27","250,397.68","1,493,477.45","19,058.95"
管理费用,"22,565,585.48","27,862,395.08","31,105,293.85","15,559,702.02",,"33,487,879.26","9,258,249.33","20,200,302.41","33,157,642.31","41,629,936.47","10,556,414.91","21,865,846.72","24,451,978.70","33,303,881.63","8,912,794.94"
其中:非流动资产处置净损失,"93,087.09","120,312.96","29,162.94",,,"23,706.83",,621.79,621.79,,,"4,799.63",,,
堪探费用,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,
财务费用,"-1,062,944.52","2,304,658.96","3,549,633.42","2,588,040.62",,"6,399,189.70","636,093.59","765,805.08","1,470,094.06","3,195,343.41","1,274,072.02","1,538,392.17","2,629,695.87","3,527,466.46","819,408.32"
三、利润总额,"25,139,036.10","33,823,786.64","36,615,369.60","7,878,965.59","22,172,500.00","41,818,521.90","3,594,198.84","17,667,015.81","24,609,230.99","40,691,859.24","-2,072,345.67","8,491,913.30","16,977,845.63","36,434,054.82","1,509,921.42"
资产减值损失,"-356,253.83","1,048,767.18","1,890,184.34","913,529.88",,"562,980.66","213,284.65","2,789,715.82","3,180,501.47","8,355,453.03",,"-3,513,236.26","-4,020,881.49","-3,990,789.21","707,179.23"
减:所得税,"3,845,236.78","4,596,907.05","4,153,987.44","-221,829.24",,"4,975,325.84","517,120.44","2,068,088.58","3,109,420.86","5,683,314.99","-310,851.86","1,074,720.27","2,381,454.27","5,303,084.70","226,488.21"
加:公允价值变动净收益,,,,,,,,,,,,"-1,200,000.00","-2,310,000.00","-2,960,000.00","510,000.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,
投资收益,,,"65,989.21","74,260.28",,"-154,501.83","-85,492.67","-466,206.31","-629,212.48","133,402.21","-1,035,981.42","-978,909.75","-1,536,103.64","837,609.17","-172,748.44"
四、净利润,"21,293,799.32","29,226,879.59","32,461,382.16","8,100,794.83","20,216,900.00","36,843,196.06","3,077,078.40","15,598,927.23","21,499,810.13","35,008,544.25","-1,761,493.81","7,417,193.03","14,596,391.36","31,130,970.12","1,283,433.21"
其中:对联营企业和合营企业的投资权益,,,,,,"-228,762.11","-85,492.67","-466,206.31","-629,212.48","133,402.21","-1,035,981.42","-978,909.75","-1,536,103.64",,"-172,748.44"
归属于母公司所有者的净利润,"21,293,799.32","29,226,879.59","32,461,382.16","8,100,794.83","20,216,900.00","36,843,196.06","3,077,078.40","15,598,927.23","21,499,810.13","35,008,544.25","-1,761,493.81","7,417,193.03","14,596,391.36","31,130,970.12","1,283,433.21"
影响营业利润的其他科目,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,
