科目,2007年1-3月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,612,314,000.00","5,254,866,000.00","7,641,862,000.00","2,891,067,000.00","5,716,255,000.00","8,951,202,000.00","12,304,055,000.00","2,651,212,000.00","5,591,166,000.00","8,585,881,000.00","11,894,105,000.00","3,559,396,000.00","7,376,365,000.00","11,477,824,000.00","15,635,226,000.00","4,652,872,000.00","9,746,808,000.00","15,008,708,000.00","20,727,734,000.00","6,302,155,000.00","13,307,297,000.00","20,361,718,000.00","27,816,860,000.00","7,955,960,000.00","15,733,923,000.00","23,171,982,000.00","30,665,154,000.00","8,830,434,000.00","18,220,000,000.00","27,800,000,000.00","36,878,000,000.00","10,625,000,000.00","21,518,000,000.00","32,974,000,000.00","44,081,000,000.00","12,702,000,000.00","24,655,000,000.00","36,296,000,000.00","47,456,000,000.00","13,606,000,000.00","26,498,000,000.00","38,814,000,000.00","50,353,000,000.00","13,716,000,000.00"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"1,520,086,000.00","4,809,472,000.00","7,200,378,000.00","2,634,041,000.00","5,302,726,000.00","8,219,352,000.00","11,088,501,000.00","2,534,419,000.00","5,117,729,000.00","7,951,230,000.00","10,953,922,000.00","3,231,188,000.00","6,725,315,000.00","10,412,983,000.00","14,478,886,000.00","4,153,405,000.00","8,669,627,000.00","13,514,221,000.00","18,771,982,000.00","5,526,473,000.00","11,730,308,000.00","18,114,363,000.00","24,622,790,000.00","6,396,609,000.00","12,982,780,000.00","19,535,566,000.00","26,285,154,000.00","6,705,738,000.00","14,564,000,000.00","22,871,000,000.00","31,285,000,000.00","8,242,000,000.00","16,887,000,000.00","26,132,000,000.00","35,785,000,000.00","9,375,000,000.00","18,249,000,000.00","27,662,000,000.00","37,525,000,000.00","9,440,000,000.00","19,049,000,000.00","29,037,000,000.00","39,376,000,000.00","10,362,000,000.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,"2,581,410,000.00","8,553,708,000.00","12,452,962,000.00","4,281,654,000.00","8,964,312,000.00","13,909,400,000.00","18,578,031,000.00","4,148,822,000.00","8,308,966,000.00","12,783,846,000.00","17,429,597,000.00","5,061,769,000.00","10,609,862,000.00","16,752,427,000.00","23,540,141,000.00","7,699,254,000.00","16,238,791,000.00","26,183,238,000.00","37,765,697,000.00","12,906,467,000.00","26,336,753,000.00","40,146,392,000.00","53,922,242,000.00","13,348,294,000.00","27,131,628,000.00","41,627,634,000.00","57,881,022,000.00","17,557,556,000.00","35,895,000,000.00","54,512,000,000.00","73,255,000,000.00","19,081,000,000.00","38,772,000,000.00","58,195,000,000.00","79,112,000,000.00","18,850,000,000.00","37,653,000,000.00","56,512,000,000.00","76,446,000,000.00","20,529,000,000.00","42,697,000,000.00","66,078,000,000.00","90,209,000,000.00","25,162,000,000.00"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,"1,061,324,000.00","3,744,236,000.00","5,252,584,000.00","1,647,613,000.00","3,661,586,000.00","5,690,048,000.00","7,489,530,000.00","1,614,403,000.00","3,191,237,000.00","4,832,616,000.00","6,475,675,000.00","1,830,581,000.00","3,884,547,000.00","6,339,444,000.00","9,061,255,000.00","3,545,849,000.00","7,569,164,000.00","12,669,017,000.00","18,993,715,000.00","7,379,994,000.00","14,606,445,000.00","22,032,029,000.00","29,299,452,000.00","6,951,685,000.00","14,148,848,000.00","22,092,068,000.00","31,595,868,000.00","10,851,818,000.00","21,331,000,000.00","31,641,000,000.00","41,970,000,000.00","10,839,000,000.00","21,885,000,000.00","32,063,000,000.00","43,327,000,000.00","9,475,000,000.00","19,404,000,000.00","28,850,000,000.00","38,921,000,000.00","11,089,000,000.00","23,648,000,000.00","37,041,000,000.00","50,833,000,000.00","14,800,000,000.00"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"46,461,000.00","216,357,000.00","296,289,000.00","111,751,000.00","249,137,000.00","374,301,000.00","488,965,000.00","138,392,000.00","322,993,000.00","490,753,000.00","650,104,000.00","223,721,000.00","473,864,000.00","749,823,000.00","964,217,000.00","427,011,000.00","893,648,000.00","1,262,281,000.00","1,612,730,000.00","617,907,000.00","1,246,634,000.00","1,841,772,000.00","2,672,491,000.00","1,346,225,000.00","2,437,511,000.00","3,303,518,000.00","3,951,468,000.00","1,731,746,000.00","3,116,000,000.00","4,218,000,000.00","4,780,000,000.00","2,030,000,000.00","3,986,000,000.00","5,775,000,000.00","7,120,000,000.00","3,071,000,000.00","5,996,000,000.00","8,082,000,000.00","9,599,000,000.00","4,032,000,000.00","7,218,000,000.00","9,465,000,000.00","10,579,000,000.00","3,065,000,000.00"
营业税金及附加,"98,831,000.00","338,352,000.00","477,150,000.00","165,043,000.00","350,513,000.00","545,539,000.00","729,123,000.00","165,937,000.00","454,038,000.00","665,130,000.00","925,992,000.00","224,298,000.00","490,095,000.00","767,332,000.00","1,087,645,000.00","315,724,000.00","676,332,000.00","1,064,726,000.00","1,479,276,000.00","459,670,000.00","947,429,000.00","1,428,864,000.00","1,951,633,000.00","553,255,000.00","1,096,698,000.00","1,649,463,000.00","2,219,290,000.00","642,109,000.00","1,306,000,000.00","1,979,000,000.00","2,635,000,000.00","729,000,000.00","1,443,000,000.00","2,140,000,000.00","2,806,000,000.00","741,000,000.00","1,064,000,000.00","1,145,000,000.00","1,309,000,000.00","142,000,000.00","323,000,000.00","490,000,000.00","520,000,000.00","154,000,000.00"
