科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"630,395,342.89","484,478,749.99","620,848,067.11","102,568,597.39","246,738,508.21","447,620,419.59","579,280,390.96","189,037,938.14","429,847,252.33","560,638,549.70","686,220,549.56","236,023,160.96"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"8,177,186.52","7,247,167.65","7,910,826.49","3,168,719.26","5,188,906.43","6,264,635.23","18,855,195.33","666,732.31","14,503,831.82","49,778,564.30","76,886,436.97","22,262,986.61"
投资活动现金流出小计,"62,875,851.59","44,411,284.97","53,926,625.86","12,392,198.90","649,824,089.06","1,283,130,409.31","1,952,684,217.52","827,612,839.13","1,429,645,089.71","1,971,734,000.93","2,513,381,520.41","412,661,720.20"
经营活动现金流入小计,"638,572,529.41","491,725,917.64","628,758,893.60","105,737,316.65","251,927,414.64","453,885,054.82","598,135,586.29","189,704,670.45","444,351,084.15","610,417,114.00","763,106,986.53","258,286,147.57"
投资活动产生的现金流量净额,"-60,893,237.33","-42,175,411.87","-53,209,884.12","-12,331,584.11","-488,142,947.15","-513,708,522.81","-175,024,830.67","-636,598,247.06","-485,502,955.45","-637,979,330.50","-236,335,796.33","-376,945,222.33"
购买商品、接受劳务支付的现金,"130,208,657.97","107,663,255.55","230,665,716.52","63,690,675.89","131,671,975.28","193,379,722.08","199,632,849.21","62,445,725.90","161,974,392.58","277,721,627.60","368,594,101.37","193,626,834.32"
吸收投资收到的现金,,,,"796,027,200.00","796,027,200.00","796,027,200.00","796,027,200.00",,,,,
支付给职工以及为职工支付的现金,"191,759,440.47","164,491,945.68","207,731,958.10","66,289,992.39","136,206,099.27","184,383,076.99","262,966,997.51","62,220,307.37","137,308,621.25","196,758,515.55","262,487,586.26","72,142,840.43"
取得借款收到的现金,"583,329,548.67","586,800,000.00","543,000,000.00","59,000,000.00","108,000,000.00","198,000,000.00","439,000,000.00","62,900,000.00","252,900,000.00","417,900,000.00","658,900,000.00","149,400,000.00"
支付的各项税费,"106,025,211.45","95,747,004.71","105,917,815.26","32,861,139.86","64,765,725.67","94,127,662.17","112,658,910.24","34,585,965.02","72,127,871.34","92,190,268.27","108,424,040.54","29,862,947.47"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"24,182,423.22","21,514,638.99","29,930,896.02","6,700,207.48","18,242,498.67","29,657,600.46","30,615,449.32","11,902,449.34","18,583,629.13","46,024,674.91","39,240,404.15","7,429,736.02"
筹资活动现金流入小计,"583,329,548.67","586,800,000.00","543,000,000.00","855,027,200.00","904,027,200.00","994,027,200.00","1,235,027,200.00","62,900,000.00","252,900,000.00","417,900,000.00","658,900,000.00","149,400,000.00"
经营活动现金流出小计,"452,175,733.11","389,416,844.93","574,246,385.90","169,542,015.62","350,886,298.89","501,548,061.70","605,874,206.28","171,154,447.63","389,994,514.30","612,695,086.33","778,746,132.32","303,062,358.24"
偿还债务支付的现金,"663,329,548.67","562,900,000.00","561,900,000.00","49,000,000.00","144,000,000.00","216,500,000.00","444,000,000.00","10,000,000.00","129,000,000.00","244,000,000.00","418,000,000.00","64,900,000.00"
经营活动产生的现金流量净额,"186,396,796.30","102,309,072.71","54,512,507.70","-63,804,698.97","-98,958,884.25","-47,663,006.88","-7,738,619.99","18,550,222.82","54,356,569.85","-2,277,972.33","-15,639,145.79","-44,776,210.67"
分配股利、利润或偿还利息支付的现金,"53,902,369.88","24,363,997.63","19,175,484.31","5,322,156.10","8,954,514.86","13,039,783.52","17,552,561.12","4,320,545.17","46,373,951.49","55,189,354.33","62,724,778.80","8,058,196.15"
收回投资收到的现金,,,,,"160,000,000.00","760,000,000.00","1,760,000,000.00","190,000,000.00","935,000,000.00","1,320,000,000.00","2,255,000,000.00","35,000,000.00"
支付其他与筹资活动有关的现金,"480,000.00","138,528.00","62,500.00","6,614,000.00","10,364,117.00","10,364,000.00","14,540,000.00",,"41,500.00","92,500.00","117,700.00","79,899.96"
取得投资收益收到的现金,,,,,"1,025,589.02","6,915,643.75","16,130,739.56","865,397.16","8,411,835.52","12,704,369.77","20,456,136.90","297,452.05"
筹资活动现金流出小计,"717,711,918.55","587,402,525.63","581,137,984.31","60,936,156.10","163,318,631.86","239,903,783.52","476,092,561.12","14,320,545.17","175,415,451.49","299,281,854.33","480,842,478.80","73,038,096.11"
处置固定资产、无形资产和其他长期资产收回的现金净额,"56,550.00","182,755.00","395,600.00",,"123,400.00","1,586,405.43","431,307.00",,"178,692.00","150,000.00","150,000.00",
筹资活动产生的现金流量净额,"-134,382,369.88","-602,525.63","-38,137,984.31","794,091,043.90","740,708,568.14","754,123,416.48","758,934,638.88","48,579,454.83","77,484,548.51","118,618,145.67","178,057,521.20","76,361,903.89"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,"1,926,064.26","2,053,118.10","321,141.74","60,614.79","532,152.89","919,837.32","1,097,340.29","149,194.91","551,606.74","900,300.66","1,439,587.18","419,045.82"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"1,982,614.26","2,235,873.10","716,741.74","60,614.79","161,681,141.91","769,421,886.50","1,777,659,386.85","191,014,592.07","944,142,134.26","1,333,754,670.43","2,277,045,724.08","35,716,497.87"
五、现金及现金等价物净增加额,"-8,878,810.91","59,531,135.21","-36,835,360.73","717,954,760.82","153,606,736.74","192,751,886.79","576,171,188.22","-569,468,569.41","-353,661,837.09","-521,639,157.16","-73,917,420.92","-345,359,529.11"
购建固定资产、无形资产和其他长期资产支付的现金,"62,875,851.59","44,411,284.97","53,926,625.86","12,392,198.90","19,824,089.06","53,130,409.31","127,684,217.52","107,612,839.13","174,645,089.71","201,734,000.93","288,381,520.41","62,661,720.20"
期初现金及现金等价物余额,"14,365,655.90","5,486,844.99","65,017,980.20","28,182,619.47","28,182,619.47","28,182,619.47","28,182,619.47","604,353,807.69","604,353,807.69","604,353,807.69","604,353,807.69","530,436,386.77"
投资支付的现金,,,,,"630,000,000.00","1,230,000,000.00","1,825,000,000.00","720,000,000.00","1,255,000,000.00","1,770,000,000.00","2,225,000,000.00","350,000,000.00"
期末现金及现金等价物余额,"5,486,844.99","65,017,980.20","28,182,619.47","746,137,380.29","181,789,356.21","220,934,506.26","604,353,807.69","34,885,238.28","250,691,970.60","82,714,650.53","530,436,386.77","185,076,857.66"
