科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"420,468,117.20","443,349,466.76","448,284,301.44","121,109,329.22","232,589,065.81","344,712,729.06","454,057,839.19","108,415,026.20","235,653,857.21","375,273,085.06","500,484,643.95","119,174,235.83","261,315,270.00","388,170,898.24","556,488,724.80","155,670,803.71"
二、营业利润,"40,631,704.50","43,113,169.64","52,809,928.11","19,700,769.04","28,475,316.51","38,464,879.62","57,866,706.84","12,626,233.78","23,534,151.44","37,231,785.03","64,611,126.38","12,795,350.18","23,734,467.25","37,964,835.38","48,951,031.95","15,749,363.60"
减:营业成本,"266,381,841.66","274,631,830.14","274,136,911.36","78,240,331.12","147,191,963.44","221,354,548.57","283,830,041.26","71,621,222.60","158,562,960.87","244,723,665.41","311,796,108.19","79,606,039.94","180,264,368.42","250,082,279.68","357,988,016.42","103,468,659.59"
加:补贴收入,,,,,,,,,,,,,,,,
营业税金及附加,"1,759,916.91","2,291,838.82","5,196,822.34","652,999.97","1,507,622.67","1,791,250.22","4,098,992.04","1,394,051.12","2,524,979.48","3,322,835.57","6,391,373.94","1,358,517.18","2,100,691.77","3,234,245.65","4,917,141.59","176,199.26"
营业外收入,"5,935,318.00","7,625,239.70","3,872,042.55","1,478,975.00","2,415,348.56","6,299,825.97","10,644,342.98","1,268,417.59","877,995.99","2,471,494.59","3,554,266.58","552,547.95","2,829,398.27","6,064,396.69","1,879,738.87",
销售费用,"42,879,450.68","48,184,403.00","37,702,631.52","10,237,033.34","19,092,211.06","27,205,432.30","38,153,385.50","9,438,951.01","19,957,493.78","37,541,313.70","49,694,018.30","11,740,900.24","22,944,048.26","37,860,655.26","57,360,905.05","15,336,111.28"
减:营业外支出,,"60,000.00","14,148.83",,,,"90,000.00",,"5,000.00","15,000.00","18,839.05","13,454.40","13,454.40","44,763.51","130,183.64","177,856.34"
管理费用,"63,075,609.39","69,055,670.81","68,269,573.99","14,139,964.84","34,842,752.73","55,798,530.59","67,324,521.45","16,691,451.29","28,417,530.40","45,010,989.40","63,345,643.96","17,360,232.31","32,449,279.92","28,664,771.55","53,799,178.21","11,295,139.79"
其中:非流动资产处置净损失,,,"14,148.83",,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,
财务费用,"-985,318.80","-1,861,727.63","-2,663,908.24","-194,139.08","-867,915.38","-1,395,583.67","-2,812,031.71","-539,683.26","647,896.82","2,701,466.20","2,395,579.37","-1,057,213.36","-18,908.86","308,733.91","-99,466.71","213,242.25"
三、利润总额,"46,567,022.50","50,678,409.34","56,667,821.83","21,179,744.04","30,890,665.07","44,764,705.59","68,421,049.82","13,894,651.37","24,407,147.43","39,688,279.62","68,146,553.91","13,334,443.73","26,550,411.12","43,984,468.56","50,700,587.18","15,571,507.26"
资产减值损失,"6,724,912.86","7,934,281.98","12,832,342.36","-1,667,630.01","2,347,114.78","3,101,954.55","9,757,243.74","-1,978,712.58","3,628,282.18","6,750,942.51","10,226,066.57","-1,270,430.30","3,799,915.79","9,753,881.83","11,660,083.95","1,937,432.58"
减:所得税,"6,162,444.35","6,467,909.40","7,159,660.14","2,638,407.90","3,777,936.09","6,625,466.60","8,829,404.43","2,021,337.92","2,538,193.68","4,790,568.93","8,852,894.51","1,479,942.85","3,071,859.82","6,086,996.66","4,102,356.74","1,249,957.47"
加:公允价值变动净收益,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,
投资收益,,,,,,"1,608,283.12","4,161,019.93","838,487.76","838,487.76","838,487.76","838,487.76",,"-5,420.13","494,977.51",,
四、净利润,"40,404,578.15","44,210,499.94","49,508,161.69","18,541,336.14","27,112,728.98","38,139,238.99","59,591,645.39","11,873,313.45","21,868,953.75","34,897,710.69","59,293,659.40","11,854,500.88","23,478,551.30","37,897,471.90","46,598,230.44","14,321,549.79"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"40,404,578.15","44,210,499.94","49,508,161.69","18,541,336.14","27,112,728.98","38,139,238.99","59,591,645.39","11,873,313.45","21,868,953.75","34,897,710.69","59,293,626.32","11,855,414.22","23,546,476.39","36,534,854.75","43,070,554.64","12,774,147.67"
影响营业利润的其他科目,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,33.08,-913.34,"-67,925.09","1,362,617.15","3,527,675.80","1,547,402.12"
