科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"155,884,498.01","184,518,083.32","202,622,026.10","40,326,800.00","86,057,397.82","129,159,277.48","203,162,962.04","51,773,362.22","97,710,130.80","135,141,062.07","211,334,454.72","29,234,298.92","58,103,235.66","100,508,672.32"
二、营业利润,"51,423,463.63","66,822,082.09","71,335,169.20","15,878,800.00","34,759,432.31","50,506,627.63","77,921,084.59","24,077,184.68","40,434,763.43","53,903,847.54","77,281,995.17","11,641,556.13","19,510,727.62","37,968,356.67"
减:营业成本,"74,071,348.18","82,650,917.93","88,437,211.19",,"36,327,171.38","54,260,590.70","85,700,860.99","21,863,833.95","42,903,964.36","59,940,322.94","92,556,343.20","12,671,133.91","26,867,877.43","46,124,411.95"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"1,817,457.04","1,920,115.60","2,341,968.74",,"1,109,792.43","1,633,156.63","2,483,170.11","700,374.48","1,107,549.89","1,453,710.38","2,597,382.46","376,198.33","719,280.24","1,258,673.44"
营业外收入,"9,931,333.51","14,443,303.86","24,156,695.24",,"323,850.00","9,914,042.60","12,898,432.24","5,788,799.46","5,913,799.46","19,553,868.32","29,404,378.47","2,832,137.56","4,905,282.24","398,280.57"
销售费用,"8,248,460.58","11,524,643.07","13,044,880.35",,"5,237,302.83","9,592,461.40","15,539,790.39","2,484,377.05","6,801,055.47","11,071,725.49","19,174,169.45","3,195,115.07","6,221,124.21","10,649,955.79"
减:营业外支出,"52,000.04",,615.63,,,,,,,,500.00,"13,444.21","14,754.89","54,011.10"
管理费用,"21,267,509.29","22,763,574.43","25,137,683.08",,"10,003,036.32","15,495,211.36","25,707,392.12","4,264,339.07","9,364,223.01","14,065,383.19","24,717,747.98","5,117,794.86","10,590,018.24","17,059,223.12"
其中:非流动资产处置净损失,,,,,,,,,,,,,"14,754.89",
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"-269,292.47","-495,012.26","-242,616.50",,"132,264.87","16,568.89","-141,964.33","-200,149.80","-269,784.94","-281,579.97","-912,301.66","10,630.75","-744,146.87","-1,732,460.47"
三、利润总额,"61,302,797.10","81,265,385.95","95,491,248.81","16,202,300.00","35,083,282.31","60,420,670.23","90,819,516.83","29,865,984.14","46,348,562.89","73,457,715.86","106,685,873.64","14,460,249.48","24,401,254.97","38,312,626.14"
资产减值损失,"1,598,915.63","1,578,091.14","4,014,724.55",,"-1,431,192.45","-2,055,504.60","832,394.20","170,909.43","336,546.77","-350,768.38","1,546,284.07","-1,738,669.85","-2,302,366.21","-982,571.51"
减:所得税,"-97,581.84","10,351,493.06","10,987,980.89",,"4,346,216.61","7,539,136.76","10,839,181.84","4,430,007.90","6,999,051.19","11,083,064.83","16,002,083.82","2,465,475.44","3,059,159.96","5,156,753.65"
加:公允价值变动净收益,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,"2,273,363.87","2,246,328.68","1,446,994.51",,"80,409.87","289,834.53","4,879,766.03","1,587,506.64","2,968,187.19","4,661,579.12","5,627,165.95","2,039,460.28","2,759,279.00","2,884,998.64"
四、净利润,"61,400,378.94","70,913,892.89","84,503,267.92","14,197,400.00","30,737,065.70","52,881,533.47","79,980,334.99","25,435,976.24","39,349,511.70","62,374,651.03","90,683,789.82","11,994,774.04","21,342,095.01","33,155,872.49"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"61,400,378.94","70,913,892.89","84,503,267.92","14,197,400.00","30,737,065.70","52,881,533.47","79,980,334.99","25,435,976.24","39,349,511.70","62,374,651.03","90,683,789.82","11,994,774.04","21,342,095.01","33,155,872.49"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,
