科目,2010年度,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"3,090,478,809.62","2,381,290,231.79","3,243,936,742.44","5,499,603,011.02","4,120,946,800.53","11,001,494,452.86","11,882,065,349.88","15,434,705,061.27","1,380,998,457.49","2,892,900,928.61","4,767,963,024.99","6,876,939,042.20","2,128,887,867.14","4,627,930,434.68","7,058,993,363.16","10,531,511,324.13"
提取保险责任准备金,,,,,,,,,,,,,,,,
利息净收入,"125,078,730.44","-169,057,098.22","-654,494,316.78","-763,651,610.24","-148,349,817.58","-3,181,740.45","-51,268,914.77","-258,795,800.69","-208,863,590.71","-361,625,539.23","-545,475,646.08","-846,733,518.77","-360,013,792.66","-787,278,556.55","-1,323,476,208.11","-2,010,459,386.73"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,"4,271,636,040.32",,"1,953,133,085.90",,"3,930,852,063.05"
保单红利支出,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,"5,118,369,559.09",,"2,740,411,642.45",,"5,941,311,449.78"
分保费用,,,,,,,,,,,,,,,,
手续费及佣金净收入,"1,890,283,243.72","1,199,692,395.66","1,620,174,933.71","2,199,598,330.15","1,133,221,518.40","3,271,152,469.68","4,606,627,795.66","5,829,928,253.43","1,222,721,636.46","2,061,735,540.32","3,060,001,472.53","4,193,702,269.46","1,083,909,107.28","2,130,584,800.02","3,345,939,035.97","5,006,479,805.03"
营业税金及附加,"147,764,397.33","83,079,387.96","144,287,200.05","262,542,051.81","164,875,840.61","550,669,030.46","708,263,989.64","818,247,122.56","129,679,772.87","158,367,133.63","173,862,993.44","199,058,641.88","15,106,785.08","28,501,121.95","41,921,873.13","65,922,827.59"
手续费及佣金收入,,,,,,,,,,,,"4,620,339,778.87",,"2,304,131,458.42",,"5,377,802,997.58"
手续费及佣金支出2,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,"426,637,509.41",,"173,546,658.40",,"371,323,192.55"
业务及管理费,"1,317,212,419.45","1,735,255,492.69","1,932,234,877.49","2,342,185,593.76","1,436,590,446.20","2,831,569,495.81","3,454,835,553.33","5,222,382,327.94","686,259,608.97","1,391,560,847.74","2,366,886,152.17","3,786,160,699.15","1,267,250,795.71","2,597,230,668.12","3,838,751,893.55","5,502,605,209.76"
其中：代理买卖证券业务净收入,"1,522,663,615.75","871,799,170.87","1,148,996,261.02","1,422,774,879.65","604,455,457.70","1,892,505,371.61","2,746,284,134.38","3,465,294,666.26","446,870,893.46","842,989,290.02","1,226,283,708.14",,,,,
减：摊回分保费用,,,,,,,,,,,,,,,,
证券承销业务净收入,"308,619,308.50","214,680,643.35","228,147,795.45","447,634,307.98","275,429,997.68","502,571,142.89","642,514,810.17","894,782,894.13","410,152,469.77","700,202,315.62","959,406,498.64",,,,,
资产减值损失,"64,506.35","385,193.96","71,828,342.85","4,953,464.58","-885,339.66","3,117,061.94","4,377,987.93","-372,596.43","-430,543.85","-1,427,128.15","122,293,343.47","288,256,994.41","4,452,403.08","34,541,531.71","56,689,179.76","434,175,961.36"
委托客户管理资产业务净收入,"59,000,319.47","98,407,719.50","214,398,123.60","281,706,517.14","223,764,676.91","836,940,039.83","1,154,497,667.94","1,395,984,675.82","224,902,197.42","415,555,359.50","668,317,698.24",,,,,
其他业务成本,,,,,,,,,,,,"32,881.23","24,355,416.28","84,216,484.36","209,569,962.75","423,969,520.41"
已赚保费,,,,,,,,,,,,,,,,
三、营业利润,"1,625,437,486.49","562,570,157.18","1,095,586,322.05","2,889,921,900.87","2,520,365,853.38","7,616,138,864.65","7,714,587,818.98","9,394,448,207.20","565,489,619.50","1,344,400,075.39","2,104,920,535.91","2,603,429,825.53","817,722,466.99","1,883,440,628.54","2,912,060,453.97","4,104,837,805.01"
保险业务收入,,,,,,,,,,,,,,,,
