科目,2005-09-30
货币资金,"6,102,674.11"
短期借款,"268,360,000.00"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,
应付账款,"18,565,000.17"
预付款项,"119,051.03"
预收款项,
其他应收款,"1,082,109.14"
应付职工薪酬,"52,473,359.54"
应收关联公司款,
应交税费,"40,942,328.37"
应收利息,56.90
应付利息,
应收股利,"21,912,500.00"
应付股利,"2,314,051.08"
存货,
其他应付款,"465,325.18"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,
其他流动负债,"174,474,796.95"
流动资产合计,"29,216,391.18"
流动负债合计,"557,594,861.29"
可供出售金融资产,
长期借款,
持有至到期投资,"4,150,000.00"
应付债券,
长期应收款,
长期应付款,"1,461,252.84"
长期股权投资,
专项应付款,
投资性房地产,
预计负债,
固定资产,"502,527.85"
递延所得税负债,
在建工程,
其他非流动负债,
工程物资,
非流动负债合计,"1,461,252.84"
固定资产清理,
负债合计,"559,306,114.13"
生产性生物资产,
实收资本(或股本),"389,844,000.00"
油气资产,
资本公积,"192,593,071.36"
无形资产,"59,593,065.70"
盈余公积,"60,974,592.09"
开发支出,
减:库存股,
商誉,
未分配利润,"-1,109,577,915.25"
长期待摊费用,
少数股东权益,"322,122.40"
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"64,245,593.55"
所有者权益(或股东权益)合计,"-465,844,129.40"
资产总计,"93,461,984.73"
负债和所有者(或股东权益)合计,"93,461,984.73"
