科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,422,957,847.28","1,269,633,736.81","1,769,849,948.85","378,442,264.18","742,876,597.65","1,341,050,208.93","1,926,579,965.83","657,843,798.30","1,155,161,850.43","1,775,672,970.78","2,307,948,477.20","558,743,532.97"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"26,840,551.72","26,840,551.72","26,840,551.72",
收到的税费返还,,,,,,,,,,,,
支付其他与投资活动有关的现金,,"70,000,000.00",,,,,"150,000,000.00","85,000,000.00","85,000,000.00","135,000,000.00","135,000,000.00",
收到其他与经营活动有关的现金,"89,855,248.24","70,241,403.58","85,462,119.63","21,718,678.83","37,152,577.69","43,616,352.46","91,022,066.86","21,641,165.54","65,181,500.39","98,661,635.12","177,646,457.64","52,767,279.11"
投资活动现金流出小计,"12,322,244.12","71,989,887.86","13,289,860.93","2,051,943.00","78,038,276.39","177,737,531.46","198,015,523.04","212,988,557.62","150,722,485.98","209,396,811.88","219,774,532.49","6,917,790.22"
经营活动现金流入小计,"1,512,813,095.52","1,339,875,140.39","1,855,312,068.48","400,160,943.01","780,029,175.34","1,384,666,561.39","2,017,602,032.69","679,484,963.84","1,220,343,350.82","1,874,334,605.90","2,485,594,934.84","611,510,812.08"
投资活动产生的现金流量净额,"-9,745,046.97","-1,968,408.41","18,201,475.81","-2,051,943.00","-78,038,276.39","-107,259,630.64","-117,377,164.69","-141,514,760.24","-79,243,834.23","-86,781,679.21","-76,507,249.80","59,727,735.95"
购买商品、接受劳务支付的现金,"1,405,100,461.76","1,168,013,999.37","1,557,741,216.64","460,623,970.39","856,048,378.96","1,408,648,658.70","1,830,378,457.33","575,821,247.58","990,557,836.78","1,546,153,733.61","2,003,570,040.53","623,000,804.74"
吸收投资收到的现金,,"70,000,000.00",,"266,400,000.00","266,400,000.00","266,400,000.00","297,432,640.00",,,"1,470,000.00","4,170,500.00","-1,627,810.93"
支付给职工以及为职工支付的现金,"35,245,166.08","35,348,514.66","37,176,062.42","13,224,033.82","27,127,824.70","44,569,112.96","56,436,515.69","19,670,830.43","38,077,680.93","60,213,677.07","83,876,607.82","24,911,173.35"
取得借款收到的现金,"215,000,000.00","216,309,727.57","300,500,000.00","188,800,000.00","364,362,873.49","394,362,873.49","403,362,873.49","80,000,000.00","418,446,448.00","468,446,448.00","468,446,448.00","140,000,000.00"
支付的各项税费,"87,845,355.91","80,258,332.70","84,473,591.46","19,212,510.95","34,487,944.53","64,270,985.13","85,535,789.94","22,453,008.02","57,882,127.46","78,970,115.83","103,257,159.37","18,554,312.55"
收到其他与筹资活动有关的现金,,"50,000,000.00","5,000,000.00",,,,,,,,"13,629,204.22","4,375,451.57"
支付其他与经营活动有关的现金,"129,840,852.48","140,769,570.11","92,446,729.04","26,949,788.31","61,590,007.33","96,807,519.35","134,709,600.62","32,329,141.41","104,396,516.54","158,831,555.04","232,187,841.68","71,215,295.19"
筹资活动现金流入小计,"215,000,000.00","336,309,727.57","305,500,000.00","455,200,000.00","630,762,873.49","660,762,873.49","700,795,513.49","80,000,000.00","418,446,448.00","469,916,448.00","486,246,152.22","142,747,640.64"
经营活动现金流出小计,"1,658,031,836.23","1,424,390,416.84","1,771,837,599.56","520,010,303.47","979,254,155.52","1,614,296,276.14","2,107,060,363.58","650,274,227.44","1,190,914,161.71","1,844,169,081.55","2,422,891,649.40","737,681,585.83"
