科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"10,007,973,667.35","4,917,053,383.51","3,289,023,853.44","8,679,951,925.00","1,602,328,373.46","2,767,029,641.30","4,175,204,189.28","6,486,468,308.63","1,665,232,717.27","3,245,185,615.62","4,245,004,306.60","5,225,155,713.69","1,250,986,560.19","2,567,243,841.59","3,586,082,967.67","4,665,719,304.64","1,543,801,894.70","2,904,248,459.57","4,436,098,076.74","6,086,564,755.78","1,780,293,383.21","3,601,492,962.37","6,572,256,066.71","11,002,468,274.67","5,713,580,318.13","15,863,491,420.23","19,155,188,480.54","25,291,794,057.95","2,402,100,453.04","5,197,797,181.63","8,564,049,928.34","11,695,453,558.82","2,824,640,336.41","5,859,242,248.15","9,524,489,003.64","13,353,213,641.86","2,622,191,987.09","4,786,159,748.17"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"336,950,709.75","206,433,858.43","64,117,123.51","246,549,203.70","102,855,172.55","239,215,879.79","357,425,392.13","497,600,837.53","160,793,531.19","327,517,156.85","508,882,415.62","689,330,047.34","122,566,944.43","266,594,206.08","411,412,871.13","565,242,210.57","102,638,956.46","214,240,201.28","503,062,400.37","835,963,886.73","344,091,170.29","763,068,284.97","1,277,381,524.30","1,910,309,804.73","718,095,277.16","1,937,657,350.06","2,375,947,582.22","2,620,791,348.68","118,467,017.70","278,636,244.79","559,175,316.92","895,302,929.46","449,224,963.46","956,735,499.28","1,432,037,627.65","1,796,485,752.54","301,814,238.75","526,699,864.08"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,470,405,822.24",,"3,197,798,778.22",,"6,718,349,037.77",,"3,767,750,182.54"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,575,102,892.78",,"2,241,063,278.94",,"4,921,863,285.23",,"3,241,050,318.46"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"6,381,732,254.08","4,102,905,869.00","2,991,250,282.82","7,326,253,288.56","1,318,343,633.19","2,469,632,606.40","3,363,857,813.93","5,110,457,473.40","1,136,879,894.20","2,236,073,639.62","3,077,922,313.93","3,603,672,100.04","701,351,433.48","1,320,660,743.47","1,937,449,857.54","2,442,376,311.68","810,904,274.05","1,534,976,864.32","2,543,497,965.73","3,680,045,058.94","1,056,528,628.31","1,873,930,956.41","3,475,103,836.88","6,181,489,570.41","2,759,231,612.97","8,870,243,889.98","12,685,780,007.13","16,448,731,355.55","2,166,771,742.37","4,183,979,029.45","6,315,862,649.26","8,473,462,272.89","1,664,161,607.41","3,642,260,942.62","5,755,988,616.01","7,937,133,217.41","1,790,848,007.38","3,323,117,061.38"
营业税金及附加,"407,125,625.63","287,198,651.73","167,009,587.60","406,445,269.60","70,697,371.88","133,021,738.24","184,181,225.90","297,011,089.17","86,300,640.78","172,954,684.26","231,650,496.79","271,666,080.96","61,085,539.64","123,923,226.11","190,416,610.43","249,486,208.47","78,254,475.14","161,624,899.85","261,146,762.82","354,047,403.65","103,580,939.34","208,498,799.98","343,467,453.34","588,459,180.08","212,264,639.43","957,297,639.85","1,281,620,324.96","1,663,828,670.26","264,111,081.17","357,128,525.38","382,212,246.36","412,338,461.90","23,372,196.30","46,101,298.58","73,105,457.95","96,489,680.82","25,463,441.02","49,386,463.87"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,302,651,709.55",,"4,522,870,037.95",,"9,750,400,550.09",,"4,059,578,653.00"
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,829,189,436.66",,"880,609,095.33",,"1,813,267,332.68",,"736,461,591.62"
业务及管理费,"3,131,743,589.84","2,055,696,399.46","1,340,391,024.82","3,260,145,299.26","549,846,689.57","1,022,154,379.42","1,545,443,350.24","2,285,791,395.28","558,769,511.04","1,166,683,206.14","1,649,116,901.12","2,389,969,631.75","521,645,065.43","1,273,799,805.70","1,930,767,709.58","2,545,249,612.78","709,605,609.71","1,428,775,791.09","2,223,011,873.65","3,070,713,217.98","788,396,995.72","1,708,539,989.99","3,050,754,567.67","4,779,815,973.73","2,279,361,358.94","5,602,727,723.10","6,777,941,772.55","9,822,649,973.71","868,055,772.01","2,105,659,197.85","3,413,600,529.75","4,829,311,573.56","1,169,254,476.73","2,673,085,411.50","4,275,617,114.39","6,111,873,696.82","1,241,465,172.40","2,410,996,604.05"
其中：代理买卖证券业务净收入,"5,388,346,667.57","3,072,980,457.44","2,120,850,732.16","4,792,755,253.97","859,321,133.76","1,622,474,910.25","2,383,117,867.89","3,578,766,778.75","765,454,580.25","1,365,623,269.64","1,898,615,141.50","2,269,315,421.56","478,031,647.16","943,055,077.14","1,356,249,526.71","1,786,703,592.70","698,992,530.35","1,315,892,050.91","2,150,637,209.34","2,985,027,167.99","736,109,166.93","1,280,807,515.85","2,373,775,888.55","4,362,797,115.43","2,368,115,685.09","7,399,764,334.54","10,068,690,688.42","12,441,013,561.24","1,326,406,116.45","2,458,525,293.14","3,631,944,137.15",,,"1,843,939,444.86",,,,
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,"179,357,531.59","133,736,638.79","51,677,052.60","515,185,621.84","385,893,640.49","693,233,552.87",,"1,224,352,798.97","307,475,692.41",,"915,491,576.35","992,349,288.73","129,400,558.57",,,"340,470,477.68","37,645,258.43","69,824,245.12","101,000,073.02","433,153,366.07","237,294,094.64","406,703,540.89","804,053,782.92","1,357,009,841.84","182,699,585.70","875,164,846.95","1,634,776,726.81","2,566,251,460.81","475,098,338.47","978,906,845.60","1,569,699,176.05",,,"1,013,273,865.86",,,,
资产减值损失,"17,996,010.44","-1,770,406.86","-2,362,027.81","-1,802,535.52","-1,350,000.00","-1,481,483.11","-1,481,483.11","338,050.37",-10.00,"11,011.80","11,011.80","46,245.97",,"-204,303.75","-204,303.75","1,116,698.94",,-800.00,-800.00,"4,145,724.79",,"2,341,463.79","2,341,463.79","670,211,701.21",,"-4,409,462.97","9,681,481.05","228,097,593.32","-76,625,109.26","-79,077,206.32","-67,316,886.66","66,222,470.86","11,659,334.48","35,062,599.62","43,489,722.10","40,653,329.85","15,479,759.45","119,823,830.49"
委托客户管理资产业务净收入,"726,151,979.72","61,053,405.85","20,783,558.83","45,870,830.03","10,424,345.80","28,554,253.71","44,293,499.49","71,660,342.14","22,885,995.41","52,412,027.49","72,979,658.90","87,024,929.73","21,651,363.31",,"62,478,015.71","83,343,691.62","30,406,128.60","64,587,378.41","118,423,857.13","235,944,234.30","79,102,997.49","179,103,637.87","282,860,589.52","427,075,277.87","200,313,160.67","494,580,590.24","792,519,581.27","1,142,117,152.95","280,374,439.39","544,741,711.61","807,084,683.47",,,"537,203,695.45",,,,
