科目,2010年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,
收回投资收到的现金,,,"83,000,000.00",,,"298,228,136.52",,,"371,634,327.06","126,773,657.36","238,253,206.92",,"231,010,357.50"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,
取得投资收益收到的现金,,"7,467,631.16","36,443,070.09",,"74,850,323.19","31,602,788.02",,"58,854,693.11","78,812,648.34","40,731,081.49","216,371,325.52","208,098,310.10","24,164,509.45"
向中央银行借款净增加额,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"686,858.14","946,392.76","501,430.63",,"591,592.60","333,827.59",,"46,719,734.66",,,,"609,023.10","458,324.52"
向其他金融机构拆入资金净增加额,,,,,,,,,,,"910,000,000.00","615,000,000.00","285,000,000.00"
投资活动现金流入小计,"686,858.14","8,414,023.92","119,944,500.72",,"75,441,915.79","330,164,752.13",,"105,574,427.77","450,446,975.40","167,504,738.85","454,624,532.44","208,707,333.20","255,633,191.47"
收取利息、手续费及佣金的现金,"1,443,870,874.23","1,211,537,927.07","1,703,680,477.16",,"4,376,472,945.35","996,936,296.59",,"2,248,941,692.88","436,061,680.05","885,985,289.88","1,374,175,167.34","1,887,309,871.14","372,300,831.12"
投资支付的现金,,"266,275,890.10","383,510,055.57",,"1,842,205,732.47","651,555,743.83",,"186,017,665.63",,"718,676,383.28","1,046,199,794.99","609,949,283.80","535,406,372.40"
处置交易性金融资产净增加额,,,,,,,,,"490,846,148.55",,,,
质押贷款净增加额,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,"450,000,000.00","910,000,000.00","615,000,000.00","285,000,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"136,344,777.01","165,864,244.86","51,703,903.63",,"92,125,002.56","34,072,908.18",,"92,276,469.83","11,391,318.71","38,161,692.86","47,615,578.53","88,889,044.06","6,528,117.85"
回购业务资金净增加额,"250,000,000.00",,"1,358,062,836.20",,,"1,439,385,540.60",,"1,897,800,233.20",,,,,"711,700,393.09"
支付其他与投资活动有关的现金,,,,,,"14,616,100.12",,"14,616,100.12",,"299,089.87","270,489.52",,"398,064.86"
销售商品、提供劳务收到的现金,,,,,,,,,,,,,
投资活动现金流出小计,"136,344,777.01","432,140,134.96","435,213,959.20",,"1,934,330,735.03","700,244,752.13",,"292,910,235.58","11,391,318.71","757,137,166.01","1,094,085,863.04","698,838,327.86","542,332,555.11"
收到的税费返还,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-135,657,918.87","-423,726,111.04","-315,269,458.48","-1,089,055,600.00","-1,858,888,819.24","-370,080,000.00","-495,505,400.00","-187,335,807.81","439,055,656.69","-589,632,427.16","-639,461,330.60","-490,130,994.66","-286,699,363.64"
收到原保险合同保费取得的现金,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,
吸收投资收到的现金,,"122,500,000.00","1,259,448,654.27",,"2,441,880,999.89","92,400,000.00",,"2,906,257,373.49","470,883,816.00","807,977,789.00","807,977,789.00","821,307,789.00",
保户储金及投资款净增加额,,,,,,,,,,,,,
发行债券收到的现金,,"800,000,000.00","6,333,280,000.00",,"14,043,482,000.00","2,501,452,082.36",,"4,013,245,593.85","111,510,000.00","388,180,000.00","2,689,420,000.00","5,000,141,269.63","475,876,000.00"
收到其他与经营活动有关的现金,"121,479,113.25","1,295,063,354.70","6,808,494,478.51",,"6,097,298,163.58","196,339,247.63",,"727,240,285.44","384,176,406.99","1,795,911,992.49","712,398,714.59","1,521,600,286.57","1,205,663,286.79"
取得借款收到的现金,,,,,,,,"664,627,790.04","463,870,275.00","425,247,924.70","1,040,667,513.65","1,468,256,626.13","350,000,000.00"
经营活动现金流入小计,"1,815,349,987.48","2,670,850,955.81","9,870,237,791.82",,"10,473,771,108.93","4,959,031,611.02",,"6,909,113,311.04","1,311,084,235.59","2,681,897,282.37","2,996,573,881.93","4,023,910,157.71","2,574,664,511.00"
收到其他与筹资活动有关的现金,,,,,"51,818,408.77","619,405,646.09",,,,,,,"158,431,871.20"
客户贷款及垫款净增加额,,,,,,,,,,,,,
筹资活动现金流入小计,,"922,500,000.00","7,592,728,654.27",,"16,537,181,408.66","3,213,257,728.45",,"7,584,130,757.38","1,046,264,091.00","1,621,405,713.70","4,538,065,302.65","7,289,705,684.76","984,307,871.20"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,
偿还债务支付的现金,,,"4,200,000,000.00",,"6,579,480,000.00","3,011,960,000.00",,"5,107,230,000.00","1,939,643,205.00","3,937,210,000.00","4,377,680,000.00","4,943,690,000.00","1,370,944,595.20"
支付的手续费及佣金的现金,"204,489,920.54","165,307,522.67","224,164,643.67",,"747,949,451.62","264,226,617.47",,"315,644,037.60","56,016,325.77","147,933,037.65","166,446,899.58","275,954,854.54","230,840,477.73"
分配股利、利润或偿付利息支付的现金,,,"52,770,120.89",,"1,238,940,284.38","1,159,882,693.18",,"1,559,835,777.36","99,573,204.85","960,108,791.55","977,930,590.16","1,337,136,822.86","46,941,521.43"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,"8,317,327.00",,,,,,,"560,836,148.17","560,836,148.17","564,240,388.24",
支付原保险合同赔付款项的现金,,,,,,,,,,,,,
筹资活动现金流出小计,,,"4,261,087,447.89",,"7,818,420,284.38","4,171,842,693.18",,"6,667,065,777.36","2,039,216,409.85","5,458,154,939.72","5,916,446,738.33","6,845,067,211.10","1,417,886,116.63"
支付保单红利的现金,,,,,,,,,,,,,
