科目,2005-06-30
货币资金,"18,646.50"
短期借款,"11,623,464.00"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,
应付账款,"25,687,499.83"
预付款项,"1,647,943.55"
预收款项,"1,901,777.00"
其他应收款,"89,414,968.85"
应付职工薪酬,"5,348,236.59"
应收关联公司款,
应交税费,"11,313,219.15"
应收利息,
应付利息,
应收股利,
应付股利,
存货,"7,824,150.15"
其他应付款,"105,130,079.05"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,"81,000.00"
其他流动负债,"4,059,887.09"
流动资产合计,"98,986,709.05"
流动负债合计,"165,064,162.71"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,"616,846.80"
长期股权投资,"781,554.65"
专项应付款,"101,442.50"
投资性房地产,
预计负债,
固定资产,"13,567,007.33"
递延所得税负债,
在建工程,"28,190,318.14"
其他非流动负债,
工程物资,
非流动负债合计,"718,289.30"
固定资产清理,
负债合计,"165,782,452.01"
生产性生物资产,
实收资本(或股本),"185,400,000.00"
油气资产,
资本公积,"206,273,454.63"
无形资产,"66,704,784.28"
盈余公积,"10,218,880.03"
开发支出,
减:库存股,
商誉,
未分配利润,"-348,633,869.14"
长期待摊费用,"11,594,015.25"
少数股东权益,"1,580,403.04"
递延所得税资产,
外币报表折算价差,
其他非流动资产,"796,931.87"
非正常经营项目收益调整,
非流动资产合计,"121,634,611.52"
所有者权益(或股东权益)合计,"54,838,868.56"
资产总计,"220,621,320.57"
负债和所有者(或股东权益)合计,"220,621,320.57"
