科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"604,004,292.56","644,645,923.79","662,499,098.28","545,079,998.19","697,709,309.50","196,090,721.77","413,465,467.86","626,343,527.53","753,393,760.91","216,655,655.68","485,663,534.59","706,079,463.09"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"2,557,582.08","5,264,519.77","4,737,555.84","5,631,553.50","6,142,538.83",,"2,206,684.00","3,505,797.28","2,704,093.45","2,163,048.62","4,957,636.45","6,364,892.40"
支付其他与投资活动有关的现金,"5,552,310.15","3,037,428.00","6,199,412.14",,,"640,625.00","930,790.00","930,790.00",,,,
收到其他与经营活动有关的现金,"1,672,608.99","13,241,604.15","6,313,513.91","4,207,506.54","7,648,852.39","2,411,735.32","5,245,715.88","9,094,286.39","8,963,414.52","1,270,134.91","6,424,081.03","15,847,859.11"
投资活动现金流出小计,"60,500,341.27","106,548,988.96","141,890,263.58","52,644,686.84","58,374,714.50","1,156,116.24","462,845,038.01","479,068,945.37","501,792,808.56","10,083,919.82","28,554,627.95","53,938,267.08"
经营活动现金流入小计,"608,234,483.63","663,152,047.71","673,550,168.03","554,919,058.23","711,500,700.72","198,502,457.09","420,917,867.74","638,943,611.20","765,061,268.88","220,088,839.21","497,045,252.07","728,292,214.60"
投资活动产生的现金流量净额,"-55,330,473.12","-93,809,843.32","-139,584,635.58","-47,606,828.28","-53,666,336.56","-1,156,116.24","-461,650,716.68","-476,488,414.32","-493,766,564.93","-10,066,652.21","37,977,406.89","14,408,014.34"
购买商品、接受劳务支付的现金,"357,174,922.19","353,674,139.46","348,575,761.58","284,576,794.48","329,128,431.14","72,810,567.42","216,917,764.31","333,714,445.31","357,829,711.58","105,088,734.54","251,568,862.89","380,289,377.88"
吸收投资收到的现金,,,,,,"615,496,902.51","615,496,902.51","615,496,902.51","623,705,000.00",,,
支付给职工以及为职工支付的现金,"92,742,737.12","111,867,025.32","133,576,407.20","112,828,625.04","146,851,549.00","49,282,747.48","85,482,292.68","126,723,873.31","156,342,516.95","49,409,591.46","88,633,307.91","130,370,737.70"
取得借款收到的现金,"55,048,438.40","41,378,979.96","76,783,000.00","15,000,000.00","15,000,000.00",,"13,750,161.24","13,750,161.24","13,750,161.24",,,
支付的各项税费,"33,434,865.08","33,973,252.96","40,519,399.94","34,229,311.48","47,710,637.89","15,518,523.74","26,333,613.29","40,423,210.32","54,855,562.20","14,660,709.68","28,233,013.44","42,898,936.36"
收到其他与筹资活动有关的现金,,"1,780,000.00","2,500,000.00","3,000,000.00","4,200,000.00","8,708,097.49","8,908,097.49","9,908,097.49","2,200,000.00",,,
支付其他与经营活动有关的现金,"38,241,080.04","37,957,370.37","41,667,620.52","35,873,803.75","46,728,480.86","27,720,997.44","24,054,129.07","36,401,183.75","47,061,543.67","10,611,249.54","26,328,013.33","38,868,383.65"
筹资活动现金流入小计,"55,048,438.40","43,158,979.96","79,283,000.00","18,000,000.00","19,200,000.00","624,205,000.00","638,155,161.24","639,155,161.24","639,655,161.24",,,
经营活动现金流出小计,"521,593,604.43","537,471,788.11","564,339,189.24","467,508,534.75","570,419,098.89","165,332,836.08","352,787,799.35","537,262,712.69","616,089,334.40","179,770,285.22","394,763,197.57","592,427,435.59"
偿还债务支付的现金,"55,334,276.90","28,623,568.46","25,000,000.00","20,500,000.00","22,000,000.00",,"107,252,573.00","107,252,573.00","107,252,573.00",,,
经营活动产生的现金流量净额,"86,640,879.20","125,680,259.60","109,210,978.79","87,410,523.48","141,081,601.83","33,169,621.01","68,130,068.39","101,680,898.51","148,971,934.48","40,318,553.99","102,282,054.50","135,864,779.01"
分配股利、利润或偿还利息支付的现金,"17,356,517.86","62,056,622.28","30,012,305.78","29,400,271.14","30,928,975.50","1,845,640.44","50,129,906.13","50,129,906.13","50,129,906.13",,"59,200,000.00","64,000,000.00"
收回投资收到的现金,,,,,,,,,,,"60,000,000.00","60,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"8,208,097.49","8,208,097.49","8,208,097.49",,,
取得投资收益收到的现金,"709,090.00","5,610,259.00",,"835,620.00","475,626.54",,,,"6,241,421.39",,"6,312,034.84","7,446,281.42"
筹资活动现金流出小计,"72,690,794.76","90,680,190.74","55,012,305.78","49,900,271.14","52,928,975.50","1,845,640.44","165,590,576.62","165,590,576.62","165,590,576.62",,"59,200,000.00","64,000,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"43,000.00","1,051,786.64","1,574,000.00","678,587.16","709,100.00",,"494,321.33","880,531.05","1,784,822.24","17,267.61","220,000.00","900,000.00"
筹资活动产生的现金流量净额,"-17,642,356.36","-47,521,210.78","24,270,694.22","-31,900,271.14","-33,728,975.50","622,359,359.56","472,564,584.62","473,564,584.62","474,064,584.62",,"-59,200,000.00","-64,000,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-160,486.77","-1,115,606.96","1,100,655.93","4,722,826.97","6,705,177.43","-885,008.58","1,776,622.95","2,589,535.55","9,766,961.40","-619,807.02","-5,481,330.67","-11,329,867.18"
收到其他与投资活动有关的现金,"4,417,778.15","6,077,100.00","731,628.00","3,523,651.40","3,523,651.40",,"700,000.00","1,700,000.00",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"5,169,868.15","12,739,145.64","2,305,628.00","5,037,858.56","4,708,377.94",,"1,194,321.33","2,580,531.05","8,026,243.63","17,267.61","66,532,034.84","68,346,281.42"
五、现金及现金等价物净增加额,"13,507,562.95","-16,766,401.46","-5,002,306.64","12,626,251.03","60,391,467.20","653,487,855.75","80,820,559.28","101,346,604.36","139,036,915.57","29,632,094.76","75,578,130.72","74,942,926.17"
购建固定资产、无形资产和其他长期资产支付的现金,"54,948,031.12","103,511,560.96","135,690,851.44","52,644,686.84","58,374,714.50","515,491.24","14,914,248.01","31,138,155.37","54,792,808.56","10,083,919.82","28,554,627.95","53,938,267.08"
期初现金及现金等价物余额,"77,476,026.65","90,983,589.60","74,217,188.14","69,214,881.50","69,214,881.50","129,606,348.70","129,606,348.70","129,606,348.70","129,606,348.70","268,643,264.27","268,643,264.27","268,643,264.27"
投资支付的现金,,,,,,,"447,000,000.00","447,000,000.00","447,000,000.00",,,
期末现金及现金等价物余额,"90,983,589.60","74,217,188.14","69,214,881.50","81,841,132.53","129,606,348.70","783,094,204.45","210,426,907.98","230,952,953.06","268,643,264.27","298,275,359.03","344,221,394.99","343,586,190.44"
