科目,2005年1-9月
一、营业收入,"23,129,520,751.00"
二、营业利润,"-23,414,440.00"
减:营业成本,"21,986,180,223.00"
加:补贴收入,"2,683,084.00"
营业税金及附加,"570,554,354.00"
营业外收入,"30,142,169.00"
销售费用,"12,172,237.00"
减:营业外支出,"244,279,365.00"
管理费用,"419,453,674.00"
其中:非流动资产处置净损失,
堪探费用,
加:影响利润总额的其他科目,
财务费用,"82,305,426.00"
三、利润总额,"-234,868,552.00"
资产减值损失,
减:所得税,"-87,648,361.00"
加:公允价值变动净收益,
加:影响净利润的其他科目,
投资收益,"14,712,077.00"
四、净利润,"-147,220,191.00"
其中:对联营企业和合营企业的投资权益,
归属于母公司所有者的净利润,"-151,431,414.00"
影响营业利润的其他科目,"-96,981,354.00"
少数股东损益,"4,211,223.00"
