科目,2005-09-30
货币资金,"13,416,809.72"
短期借款,"288,690,964.00"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,"8,565,306.07"
应付账款,"11,928,735.41"
预付款项,"500,480.80"
预收款项,"9,920,689.60"
其他应收款,"671,057,869.76"
应付职工薪酬,"3,260,388.24"
应收关联公司款,
应交税费,"19,591,763.00"
应收利息,
应付利息,
应收股利,
应付股利,"233,818.00"
存货,"52,272,164.23"
其他应付款,"69,326,929.72"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,"153,570.82"
其他流动负债,"19,315,386.12"
流动资产合计,"745,966,201.40"
流动负债合计,"422,268,674.09"
可供出售金融资产,
长期借款,"75,500,000.00"
持有至到期投资,
应付债券,
长期应收款,
长期应付款,"3,265,280.00"
长期股权投资,"63,767,169.20"
专项应付款,"30,000,000.00"
投资性房地产,
预计负债,
固定资产,"255,986,516.86"
递延所得税负债,
在建工程,"47,171,073.48"
其他非流动负债,
工程物资,"327,508.88"
非流动负债合计,"136,707,542.60"
固定资产清理,
负债合计,"558,976,216.69"
生产性生物资产,
实收资本(或股本),"287,539,200.00"
油气资产,
资本公积,"216,176,564.84"
无形资产,"4,558,333.51"
盈余公积,"43,817,224.02"
开发支出,
减:库存股,
商誉,
未分配利润,"-23,706,051.98"
长期待摊费用,"1,686,722.46"
少数股东权益,"36,660,372.22"
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"373,497,324.39"
所有者权益(或股东权益)合计,"560,487,309.10"
资产总计,"1,119,463,525.79"
负债和所有者(或股东权益)合计,"1,119,463,525.79"
