科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,915,470,465.24","2,119,143,759.92","2,177,305,212.86","1,198,274,394.53","1,783,294,066.11","2,380,542,474.47","656,136,858.04","1,553,885,723.49","2,014,905,440.64","2,982,868,889.25","877,881,317.46","1,870,419,578.76"
取得子公司及其他营业单位支付的现金净额,"37,094,719.64",,,,,,,,,,,
收到的税费返还,"319,286.65","2,380,617.77","2,266,845.00","403,504.01","416,741.21","1,090,606.51",,"2,336,247.94","4,105,530.79","5,598,035.35","449,497.85","452,872.99"
支付其他与投资活动有关的现金,,,,,,,"250,000,000.00",,,"830,000,000.00","409,250,000.00","540,000,000.00"
收到其他与经营活动有关的现金,"15,500,248.06","3,802,117.19","14,700,936.93","12,955,222.16","15,726,151.29","23,797,956.76","4,618,335.02","7,121,101.89","22,093,792.16","12,195,015.38","5,847,574.07","7,067,339.78"
投资活动现金流出小计,"215,770,988.83","166,243,159.37","96,449,570.39","79,175,761.07","110,778,443.98","162,675,665.63","326,380,193.19","1,040,448,005.19","1,081,384,862.76","1,192,981,895.90","472,420,691.63","680,848,065.82"
经营活动现金流入小计,"1,931,289,999.95","2,125,326,494.88","2,194,272,994.79","1,211,633,120.70","1,799,436,958.61","2,405,431,037.74","660,755,193.06","1,563,343,073.32","2,041,104,763.59","3,000,661,939.98","884,178,389.38","1,877,939,791.53"
投资活动产生的现金流量净额,"-215,397,988.83","-165,544,559.94","-93,237,570.39","-77,712,403.80","-109,239,036.71","-160,979,258.36","-325,904,153.19","-940,209,629.91","-899,889,151.52","-344,479,469.34","-472,420,691.63","-133,723,072.38"
购买商品、接受劳务支付的现金,"1,340,300,298.40","1,687,177,384.79","1,613,678,138.27","848,287,648.44","1,238,552,347.89","1,686,318,022.51","651,043,999.06","1,285,114,794.52","1,770,083,023.22","2,444,806,003.50","749,703,489.36","1,451,347,381.67"
吸收投资收到的现金,,,,,,,"1,174,191,100.00","1,155,058,614.41","1,174,191,100.00","1,174,191,100.10",,
支付给职工以及为职工支付的现金,"68,954,665.21","90,213,090.92","113,172,937.93","74,537,714.79","100,174,280.18","128,438,832.64","60,962,075.45","103,329,976.55","122,634,641.76","168,040,599.27","70,394,623.79","117,746,048.97"
取得借款收到的现金,"182,000,000.00","246,000,000.00","168,000,000.00","77,500,000.00","77,500,000.00","77,500,000.00",,,,,,
支付的各项税费,"81,903,673.25","106,739,503.80","113,666,715.71","89,192,400.78","133,255,453.53","162,477,392.51","41,691,426.21","69,199,177.92","128,853,227.48","151,105,788.02","26,726,982.34","60,010,134.43"
收到其他与筹资活动有关的现金,,,,,"2,500,000.00",,,"482,800.00","1,623,609.00","3,593,800.00","172,110.49",
支付其他与经营活动有关的现金,"81,762,809.72","119,113,204.43","107,312,629.98","50,559,545.02","85,134,865.09","117,016,935.46","19,966,007.20","86,978,141.57","87,129,808.08","174,830,600.33","18,386,985.17","92,211,675.30"
筹资活动现金流入小计,"182,000,000.00","246,000,000.00","168,000,000.00","77,500,000.00","80,000,000.00","77,500,000.00","1,174,191,100.00","1,155,541,414.41","1,175,814,709.00","1,177,784,900.10","172,110.49",
