科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"213,285,041.98","225,271,595.84","233,655,025.84","154,211,753.02","235,126,090.14","38,825,851.52","147,782,294.82","189,989,532.99","329,557,343.65","72,830,063.72","236,245,167.17","324,293,285.19","488,013,687.90","96,313,082.90","338,130,861.50","476,141,892.97","811,195,135.40","140,344,506.46","440,008,956.19"
二、营业利润,"52,923,223.45","59,455,174.12","65,714,403.81","33,798,993.84","53,269,843.47","5,606,171.62","35,033,651.17","39,007,108.16","47,188,169.25","7,402,232.00","32,562,093.93","39,813,882.76","61,322,868.32","-1,606,257.18","44,915,743.50","61,838,225.65","115,116,643.99","16,789,436.29","81,762,959.22"
减:营业成本,"114,670,581.18","114,478,688.99","113,942,088.09","69,846,848.16","110,811,470.75","12,622,703.26","70,252,001.74","88,214,807.08","172,251,775.85","38,314,909.02","135,872,272.60","183,084,425.82","280,872,943.29","55,494,153.43","196,160,077.87","274,599,623.50","469,128,303.65","78,566,760.20","241,756,640.33"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,928,258.14","3,329,142.97","3,145,101.55","1,102,689.77","2,042,465.45","163,714.49","858,914.36","1,306,525.55","2,778,277.75","837,378.90","2,398,970.12","3,486,012.41","7,471,236.70","1,436,746.68","4,917,287.78","7,113,288.29","12,246,991.81","1,639,588.52","5,805,223.26"
营业外收入,"1,865,983.00","3,074,000.00","6,267,100.00","5,638,000.00","5,688,950.00","323,150.00","2,292,150.00","2,295,150.00","6,484,479.23","106,468.32","4,918,986.17","9,444,793.21","19,064,307.08","3,271,066.79","3,385,411.22","4,251,907.62","4,451,510.24","130,179.24","644,422.21"
销售费用,"14,060,867.39","16,918,295.51","21,425,255.47","17,570,711.98","26,727,990.73","9,277,549.64","15,881,894.83","24,583,279.64","44,111,818.09","11,733,701.61","23,866,396.89","38,948,486.22","60,269,087.03","13,840,768.44","32,735,710.95","50,898,033.17","90,156,122.00","21,220,711.09","45,199,337.43"
减:营业外支出,"61,826.63","11,218.07","6,962.00","1,152.49","3,928.17",1.78,"64,370.35","164,370.35","122,770.06","11,542.50","54,983.70","212,854.35","245,683.24","1,028,035.46","5,742,917.53","9,675,188.06","6,552,916.44","20,109.57","898,964.64"
管理费用,"23,852,293.06","29,131,853.47","29,484,348.10","23,255,795.58","34,150,541.97","9,543,402.39","18,015,051.10","25,467,788.26","49,369,145.28","13,313,082.31","31,542,980.80","48,848,920.87","69,800,264.88","21,135,093.28","41,444,763.45","64,809,543.85","96,836,820.00","22,669,398.74","49,755,536.77"
其中:非流动资产处置净损失,,,,,"2,765.20",,"64,368.57","64,368.57","64,368.57",,292.50,292.50,"28,475.02",,"4,656,831.31","4,912,044.89",,,
