科目,2010年度,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"996,600,929.16","1,031,723,403.47","1,858,951,780.42","3,010,161,636.37","382,210,787.67","829,993,330.48","1,454,442,289.84","2,027,620,143.44","368,457,928.72","872,445,256.45","1,365,801,585.04"
提取保险责任准备金,,,,,,,,,,,
利息净收入,"45,205,657.82","-21,370,194.53","-105,028,899.78","217,509,615.25","78,862,085.33","184,337,734.13","249,856,631.53","294,067,351.97","48,003,394.96","79,081,379.14","120,819,958.92"
减：摊回保险责任准备金,,,,,,,,,,,
利息收入,,,,,,,,,,,
保单红利支出,,,,,,,,,,,
利息支出,,,,,,,,,,,
分保费用,,,,,,,,,,,
手续费及佣金净收入,"614,647,229.82","743,546,044.91","1,025,178,871.60","1,750,698,564.90","306,845,179.32","636,903,013.65","1,034,946,504.02","1,420,635,157.66","272,395,618.06","623,170,453.19","953,624,489.73"
营业税金及附加,"49,736,371.56","66,356,959.85","112,838,753.44","193,921,988.87","33,927,463.92","40,294,194.77","44,521,105.07","47,593,462.29","2,424,194.25","5,732,183.89","8,950,181.00"
手续费及佣金收入,,,,,,,,,,,
手续费及佣金支出2,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,
业务及管理费,"531,621,583.66","774,405,753.31","1,078,204,793.03","1,454,565,817.91","192,354,806.72","447,227,017.39","786,435,535.53","1,204,248,807.41","282,632,201.01","614,630,770.85","966,684,736.76"
其中：代理买卖证券业务净收入,"261,244,133.57","212,049,361.69","287,227,447.61","757,537,352.44",,"175,351,572.53","249,102,257.03","330,608,909.12","70,841,522.15","133,906,064.83","217,506,069.74"
减：摊回分保费用,,,,,,,,,,,
证券承销业务净收入,"312,871,636.25","292,917,427.99","483,945,189.51","660,239,965.64",,"213,788,644.47","409,527,562.70","504,855,571.59","46,061,347.79","166,278,023.49","246,517,197.81"
资产减值损失,"107,682.37","404,954.05","1,084,585.80","41,827,600.42","5,859,940.72","6,440,550.02","6,480,242.45","7,415,856.88","-44,728.50","4,161,256.41","4,192,860.59"
委托客户管理资产业务净收入,"7,749,377.16","230,173,128.51","235,548,960.55","285,537,078.09",,"206,909,126.20","330,213,929.00","517,447,815.91","152,162,763.08","311,878,670.51","461,811,818.85"
其他业务成本,,,"7,329,959.30","11,516,598.20","2,675,657.04","5,351,314.08","8,026,971.12","10,702,628.16","2,675,657.04","5,332,474.49","7,951,612.76"
已赚保费,,,,,,,,,,,
三、营业利润,"415,135,291.57","190,555,736.26","659,493,688.85","1,308,329,630.97","147,392,919.27","330,680,254.22","608,978,435.67","757,659,388.70","80,770,604.92","242,588,570.81","378,022,193.93"
保险业务收入,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,
营业外收入,"8,229,056.72","10,402,448.73","6,412,251.22","13,021,503.53","718,837.43","4,777,859.40","10,664,513.59","17,318,360.31","1,549,311.97","3,469,457.51","7,608,046.79"
减：分出保费,,,,,,,,,,,
减：营业外支出,"444,041.39","477,468.52","4,350,900.21","453,884.44","573,256.79","1,379,236.70","2,316,756.99","2,321,135.69","55,068.59","71,783.47","87,302.65"
提取未到期责任准备金,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,
投资收益,"360,233,086.45","389,899,110.87","845,320,572.43","1,183,149,154.68","90,095,571.26","186,686,959.38","401,753,933.75","731,878,834.15","77,589,491.30","199,259,334.13","335,555,695.77"
