科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"269,687,053.55","268,470,264.29","250,371,308.76","58,551,605.06","131,127,462.70","197,551,498.20","270,960,726.36","60,024,448.10","148,776,913.64","287,731,671.95"
二、营业利润,"57,808,728.10","45,908,174.50","47,637,550.40","9,918,221.11","25,110,766.10","36,579,172.04","50,557,207.76","9,025,393.49","24,943,669.46","52,963,925.38"
减:营业成本,"138,829,811.52","153,983,777.96","141,661,597.15","32,473,956.62","71,656,548.22","108,770,452.76","147,826,451.45","35,662,152.71","87,398,191.71","160,431,323.22"
加:补贴收入,,,,,,,,,,
营业税金及附加,"2,611,034.50","2,539,558.26","1,925,598.10","491,542.54","1,118,429.45","1,535,966.88","2,738,104.34","625,128.57","1,588,353.24","2,734,256.98"
营业外收入,"1,133,234.41","1,511,631.15","1,694,586.20","145,116.09","223,877.46","313,715.44","376,768.02","1,092,430.42","3,019,804.65","3,296,238.04"
销售费用,"39,192,993.02","36,487,076.84","33,005,026.52","7,625,744.09","17,245,243.85","25,884,316.74","36,930,481.52","8,226,398.08","18,445,729.99","33,379,017.80"
减:营业外支出,"249,933.61","68,301.69","95,102.91","8,000.00","19,284.95","29,526.90","56,176.28","32,833.47","104,168.00","140,345.50"
管理费用,"25,249,029.93","25,443,523.09","21,620,616.35","5,971,255.63","12,225,924.38","19,063,880.52","25,911,001.99","5,710,389.67","15,762,653.33","33,921,053.91"
其中:非流动资产处置净损失,"214,827.16","35,576.69","21,957.49",,,,"9,497.38",,"2,171.27",
堪探费用,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,
财务费用,"-657,904.41","-300,871.78","-117,059.32","-12,791.31","74,646.10","-79,523.11","-224,126.33","-174,899.14","-64,316.79","185,429.70"
三、利润总额,"58,692,028.90","47,351,503.96","49,237,033.69","10,055,337.20","25,315,358.61","36,863,360.58","50,877,799.50","10,084,990.44","27,859,306.11","56,119,817.92"
资产减值损失,"6,653,360.89","4,409,025.42","4,637,979.56","2,083,676.38","3,695,904.60","5,797,232.37","8,042,043.99","1,579,692.93","2,506,819.91","6,873,167.62"
减:所得税,"9,861,609.79","7,186,665.72","7,651,236.22","1,791,423.87","4,267,939.34","6,448,774.09","8,464,810.26","1,641,546.42","3,977,660.28","8,872,126.27"
加:公允价值变动净收益,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,
投资收益,,,,,,,"820,438.36","629,808.21","1,804,187.21","2,756,502.66"
四、净利润,"48,830,419.11","40,164,838.24","41,585,797.47","8,263,913.33","21,047,419.27","30,414,586.49","42,412,989.24","8,443,444.02","23,881,645.83","47,247,691.65"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,
归属于母公司所有者的净利润,"48,830,419.11","40,164,838.24","41,585,797.47","8,263,913.33","21,047,419.27","30,414,586.49","42,412,989.24","8,443,444.02","23,881,645.83","47,247,691.65"
影响营业利润的其他科目,,,,,,,,,,
少数股东损益,,,,,,,,,,
