科目,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"3,774,910,700.00","707,017,444.86","1,189,029,355.06","502,729,283.96","109,984,447.80",,"1,013,851,219.98","2,996,239,583.33","16,450,979,355.67",,,"12,098,102,138.69","3,752,358.21",,,,,,"693,034,655.81"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"540,816,200.00","365,285,737.15","163,211,748.90","501,563,498.75","1,552,823,694.46","1,024,901,318.41","161,007,433.91","528,519,700.94","1,028,430,928.83","1,063,948,478.09","107,953,357.76","850,461,032.91","1,315,992,289.66","2,011,385,851.18","405,334,061.65","1,149,930,572.86","1,911,375,158.36","2,546,197,911.59","559,851,239.84"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"1,451,100.00","6,719,795.30","1,223,138,894.34","1,828,632.63","1,692,336,052.47","6,518,721.36","14,292,064.31","403,185.31","8,919,773.96","4,141,464.60","56,286,858.81",,"11,527,853.75","6,092,424.60","96,387,053.14","7,929,270.99","98,672,733.94",,
向其他金融机构拆入资金净增加额,"2,058,000,000.00",,,,,,,,,,,"2,700,000,000.00","4,000,000,000.00","4,900,000,000.00","3,400,000,000.00",,,,
投资活动现金流入小计,"4,317,178,000.00","1,079,022,977.31","2,575,379,998.30","1,006,121,415.34","3,355,144,194.73","1,031,420,039.77","1,189,150,718.20","3,525,162,469.58","17,488,330,058.46","1,068,089,942.69","164,240,216.57","12,948,563,171.60","1,331,272,501.62","2,017,478,275.78","501,721,114.79","1,157,859,843.85","2,010,047,892.30","2,551,906,956.08","1,252,885,895.65"
收取利息、手续费及佣金的现金,"10,258,628,000.00","9,644,385,599.91","5,760,029,674.96","17,537,029,720.15","24,127,647,939.52","33,553,201,616.14","4,398,235,960.32","9,107,717,714.70","13,699,328,192.47","18,880,519,166.67","3,131,607,144.44","7,609,720,012.11","10,634,757,007.06","18,652,061,598.79","3,207,964,512.61","9,485,642,158.06","11,873,698,837.45","16,886,099,616.47","4,161,352,397.92"
投资支付的现金,"9,752,129,900.00",,"991,518,440.06",,"8,672,852,494.53","18,172,048,150.64","4,626,170,263.90","5,677,338,185.30","14,353,880,572.32","9,012,732,919.11","168,854,281.98","4,771,912,068.03",,"9,786,088,024.91","9,920,506,517.63","10,395,432,086.55","10,493,448,523.84","5,900,466,148.47",
处置交易性金融资产净增加额,"6,299,369,700.00",,"-1,659,026,999.48",,"-60,597,657,575.61",,,"9,313,952,572.82","21,956,934,641.40","24,744,354,714.83",,,,,"7,130,050,767.10",,,,
质押贷款净增加额,,,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,"3,000,000,000.00",,"2,700,000,000.00","4,000,000,000.00","4,900,000,000.00","3,400,000,000.00","400,000,000.00","900,000,000.00","3,718,940,965.75",
购建固定资产、无形资产和其他长期资产支付的现金,"209,550,500.00","135,431,837.49","21,757,137.81","107,345,810.77","99,793,107.90","244,754,075.35","69,785,983.13","95,087,298.61","183,366,261.82","245,428,901.19","15,454,634.20","82,259,984.29","115,826,934.68","294,937,918.33","41,604,602.07","115,076,441.81","153,065,079.61","260,694,089.09","46,796,923.31"
回购业务资金净增加额,,"15,202,504,202.74","35,182,592,134.53","47,742,499,405.24","35,228,995,863.27","27,890,106,824.43",,,"-41,313,921,108.81",,,"3,888,731,632.91","8,242,128,670.29","3,716,433,840.16",,,,"5,460,274,181.07","933,418,217.82"
支付其他与投资活动有关的现金,,,"13,835.65",,,,"40,100,000.00",,"73,700,000.00",,,,"24,588.00",,"48,721.54",,"20,204,751.91",,
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"9,961,680,400.00","135,431,837.49","1,013,289,413.52","107,345,810.77","8,772,645,602.43","18,416,802,225.99","4,736,056,247.03","5,772,425,483.91","14,610,946,834.14","9,258,161,820.30","184,308,916.18","4,854,172,052.32","115,851,522.68","10,081,025,943.24","9,962,159,841.24","10,510,508,528.36","10,666,718,355.36","6,161,160,237.56","46,796,923.31"
收到的税费返还,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-5,644,502,400.00","943,591,139.82","1,562,090,584.78","898,775,604.57","-5,417,501,407.70","-17,385,382,186.22","-3,546,905,528.83","-2,247,263,014.33","2,877,383,224.32","-8,190,071,877.61","-20,068,699.61","8,094,391,119.28","1,215,420,978.94","-8,063,547,667.46","-9,460,438,726.45","-9,352,648,684.51","-8,656,670,463.06","-3,609,253,281.48","1,206,088,972.34"
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,"4,000,000.00",,,"271,158,861.12",,"242,338,905.95",,,"40,338,502.74","23,925,000.00",,,,"8,918,006.01","12,005,879,995.28","12,005,879,995.28","12,013,229,995.28","11,995,564,722.62",
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,,,
发行债券收到的现金,"19,500,000,000.00","35,403,423,000.00","6,244,316,317.23","44,097,587,000.00","44,654,885,000.00","49,495,359,927.07","10,276,722,000.00","15,665,050,036.89","19,781,906,081.25","49,755,241,730.89","13,131,149,000.00","25,448,421,000.00","27,653,904,330.27","45,663,686,647.81","13,331,542,284.85","42,403,574,169.32","65,340,574,846.72","78,442,727,028.94","14,144,287,000.00"
收到其他与经营活动有关的现金,"821,439,000.00","35,554,295,223.24","33,571,089,333.96","133,506,023,680.88","72,590,426,345.26","65,599,934,262.88","23,344,928,705.46","27,083,055,166.16","29,675,877,904.14","19,191,956,349.49","2,956,301,536.26","6,545,394,366.90","4,001,749,847.62","392,354,582.68","16,283,300,218.13","6,082,760,680.91","3,029,965,072.13","3,409,979,540.98","2,495,708,341.16"
取得借款收到的现金,"143,562,200.00","801,074,092.92","4,970,000.00","848,468,318.95","848,468,318.95",,"200,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00",,"500,000,000.00","1,477,287,828.18","2,757,343,950.00","1,000,000.00","400,583,720.00","560,125,000.00","717,585,184.00",
