科目,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"14,114,513,495.51","20,962,142,417.31","30,603,660,510.08","9,488,719,724.10","15,619,592,361.94","22,403,763,434.49","30,246,421,889.99","6,567,701,748.14","12,571,493,344.31"
提取保险责任准备金,"174,633,942.87","166,468,249.12","121,899,207.41","54,716,982.55","173,846,128.60","253,312,295.32","104,429,015.27","197,566,245.53","476,782,558.32"
利息净收入,,,,,,,,,
减：摊回保险责任准备金,"-72,440,322.55","-135,595,960.40","-465,023,595.32","-12,247,168.74","-11,607,293.43","42,038,685.12","-16,872,942.13","11,259,786.02","8,713,893.92"
利息收入,,,,,,,,,
保单红利支出,,,,,,,,,
利息支出,,,,,,,,,
分保费用,"6,182,471.06","8,027,303.66","9,042,384.35","6,240,275.92","8,657,565.53","11,850,574.00","16,917,733.15","4,803,810.78","7,959,118.26"
手续费及佣金净收入,,,,,,,,,
营业税金及附加,"462,192,185.03","498,441,481.16","599,961,930.51","78,908,149.56","71,719,140.57","100,156,640.67","133,263,021.89","42,964,236.95","75,176,562.11"
手续费及佣金收入,,,,,,,,,
手续费及佣金支出2,"903,242,136.70","1,463,793,530.33","2,133,129,087.96","737,705,376.72","1,319,742,908.16","1,999,292,303.06","2,881,403,864.78","1,147,027,188.06","2,173,394,613.58"
手续费及佣金支出,"903,242,136.70",,,,,,,,
业务及管理费,"1,503,933,912.14","2,418,941,033.63","3,506,606,246.44","1,133,111,392.75","1,972,228,954.11","2,951,418,634.07","4,060,804,678.83","866,298,713.45","1,786,300,069.60"
其中：代理买卖证券业务净收入,,,,,,,,,
减：摊回分保费用,"183,567,864.78","233,397,891.94","264,530,916.73","56,934,979.02","66,981,146.18","71,616,205.87","97,886,958.01","43,930,900.69","82,883,924.52"
证券承销业务净收入,,,,,,,,,
资产减值损失,"3,349,828.43","6,894,857.36","1,406,073,625.26","4,465,051.06","14,740,041.39","4,069,166.61","1,195,833,620.02","9,988,966.58","273,891,091.31"
委托客户管理资产业务净收入,,,,,,,,,
其他业务成本,"8,454,119,439.59","12,214,434,552.37","16,880,566,990.21","3,315,032,802.47","6,606,524,687.69","9,539,270,729.89","12,183,586,365.53","2,122,063,883.64","3,642,280,157.57"
