科目,2012-12-31,2013-12-31,2014-03-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"138,280,030.01","172,754,103.50",,"111,138,702.91",,"144,815,726.29","182,139,623.05","740,994,378.22","719,557,334.83","516,366,972.35","566,390,544.63","453,266,826.56","289,672,033.88","468,761,768.47","508,389,180.67","1,359,732,778.45","1,465,238,108.29","1,196,363,588.82"
短期借款,"30,000,000.00",,,"20,000,000.00",,"70,000,000.00","70,000,000.00","50,000,000.00",,"20,000,000.00",,,,"90,000,000.00",,,,
交易性金融资产,,,,,,,,,,,,,"5,147,433.00",,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,,,,"80,000.00",,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,
应收账款,"132,359,217.81","146,374,972.03",,"192,126,072.60",,"212,363,853.03","250,129,170.78","232,505,549.21","224,512,723.77","236,490,757.86","290,496,894.94","280,436,836.27","271,986,048.27","298,550,130.57","351,793,495.11","332,497,326.27","321,443,535.73","360,517,722.85"
应付账款,"81,084,179.82","90,906,438.34",,"121,113,744.09",,"128,764,001.02","163,621,722.23","148,083,003.60","142,774,802.56","164,308,173.85","254,180,655.56","210,553,660.59","195,009,817.36","222,162,591.09","261,772,870.58","243,623,218.56","236,891,328.69","288,110,401.10"
预付款项,"7,829,941.79","7,262,532.00",,"8,800,385.53",,"11,693,496.18","16,663,724.04","11,597,611.32","10,655,197.89","17,692,614.91","26,367,791.51","19,906,671.47","26,335,511.32","54,140,754.82","41,124,461.48","33,783,782.37","30,788,648.88","35,069,372.28"
预收款项,"209,102.10","195,854.01",,"275,548.58",,"884,559.14","120,332.47","641,502.71","1,005,907.84","1,205,995.44","1,455,225.43","604,005.32","2,627,006.51","897,955.32","1,028,129.74","1,217,684.60","1,774,394.95","1,468,473.69"
其他应收款,"3,974,444.03","2,362,938.80",,"10,690,555.16",,"11,476,961.12","12,335,347.60","10,319,604.17","12,361,358.83","14,874,698.15","14,428,883.57","10,504,824.15","10,649,261.77","11,206,623.46","10,597,657.03","10,141,179.28","9,671,326.20","11,517,622.61"
应付职工薪酬,"1,080,638.82","1,221,747.34",,"1,261,989.84",,"1,352,564.00","2,717,397.50","1,153,824.81","1,513,964.82","1,521,344.45","1,665,335.69","1,479,388.94","1,777,537.36","1,686,157.67","1,331,860.17","1,340,572.28","2,126,230.61","985,033.18"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"20,627,156.70","29,814,494.68",,"32,978,420.26",,"31,753,321.11","43,098,105.31","38,038,583.06","47,161,296.72","42,053,521.74","56,874,642.81","48,377,551.16","53,821,419.37","58,409,071.16","89,366,676.45","74,000,028.70","75,294,272.77","72,916,031.50"
应收利息,,,,,,,,,,,,"360,131.51","1,648,726.03",,,"793,273.97","471,150.68",
应付利息,,,,,,,"2,089,104.75","1,446,044.46",,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,
存货,"46,679,028.35","51,405,245.53",,"55,485,250.44",,"52,483,897.57","67,909,850.77","64,554,184.53","62,584,213.88","62,686,772.58","73,548,077.93","83,461,657.24","84,058,404.59","82,798,954.55","110,282,085.28","98,042,779.54","93,507,032.67","97,821,759.25"
其他应付款,"12,939,738.79","14,847,997.69",,"21,509,516.65",,"27,357,798.34","31,470,402.83","30,212,491.50","30,824,429.80","37,494,645.69","39,897,723.04","34,554,526.67","44,295,099.14","39,796,968.07","43,790,460.52","37,317,646.92","52,378,859.67","46,625,661.22"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,
其他流动资产,,"2,807,209.05",,"585,620.36",,"2,483,910.60","90,927.84","368,724.57","124,816.59","1,525,082.45","5,705,155.85","94,701,163.50","236,894,107.62","18,764,935.79","23,361,961.84","33,508,361.04","31,371,371.96","30,076,376.52"
其他流动负债,,,,,,,,,,,,"22,054.00","22,054.00","22,054.00","22,054.00","22,054.00","22,054.00","22,054.00"
流动资产合计,"329,122,661.99","382,967,000.91",,"378,906,587.00",,"435,317,844.79","529,268,644.08","1,060,340,052.02","1,029,795,645.79","849,636,898.30","976,937,348.43","942,638,110.70","926,391,526.48","934,223,167.66","1,045,548,841.41","1,868,499,480.92","1,952,491,174.41","1,731,366,442.33"
流动负债合计,"145,940,816.23","136,986,532.06",,"197,139,219.42",,"260,112,243.61","313,117,065.09","269,575,450.14","223,280,401.74","266,583,681.17","354,073,582.53","295,591,186.68","297,552,933.74","412,974,797.31","397,312,051.46","357,521,205.06","368,487,140.69","410,127,654.69"
可供出售金融资产,,,,,,,,,,,,,,,,,,
长期借款,,"3,890,066.43",,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,
固定资产,"437,124,802.61","452,511,347.48",,"482,866,947.02",,"600,229,278.74","628,758,707.42","768,812,839.19","778,577,018.35","784,424,603.70","808,020,065.19","983,550,410.57","978,932,322.85","992,387,299.79","1,001,407,691.21","1,104,255,327.86","1,286,695,292.30","1,286,010,726.06"
递延所得税负债,,,,,,,,,,,,,,,,,,
