科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"648,066,822.86","720,056,199.52","849,667,324.05","716,814,822.58","961,038,745.77","373,302,869.43","591,235,486.61","909,929,540.65","1,279,029,574.59","439,026,045.44","773,655,503.00","1,214,226,815.89","1,695,433,743.96","561,584,981.49"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,"30,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","50,000,000.00","180,000,000.00","180,000,000.00","510,000,000.00","100,000,000.00","100,000,000.00","450,000,000.00","671,020,000.00","400,000,000.00"
收到其他与经营活动有关的现金,"5,669,783.87","3,216,889.80","6,521,342.31","1,808,868.46","7,869,400.81","3,551,319.02","5,759,292.66","15,407,140.17","17,578,699.25","2,558,655.02","12,744,522.21","17,062,581.05","29,729,127.45","4,071,042.18"
投资活动现金流出小计,"19,572,706.87","48,671,412.77","233,467,212.73","232,091,828.56","239,375,079.50","100,383,944.15","230,737,673.73","282,396,615.87","657,259,813.56","127,845,691.96","201,780,324.76","621,289,390.98","786,410,615.19","430,705,491.33"
经营活动现金流入小计,"653,736,606.73","723,273,089.32","856,188,666.36","718,623,691.04","968,908,146.58","376,854,188.45","596,994,779.27","925,336,680.82","1,296,608,273.84","441,584,700.46","786,400,025.21","1,231,289,396.94","1,725,162,871.41","565,656,023.67"
投资活动产生的现金流量净额,"-19,572,706.87","-18,349,960.72","-32,217,662.10","-130,924,406.23","-87,457,657.17","-49,646,444.15","-179,877,173.73","-230,427,135.29","-372,537,573.31","-76,795,691.96","84,480,728.66","-232,354,946.69","-215,932,395.94","-44,757,770.29"
购买商品、接受劳务支付的现金,"310,800,199.44","305,807,211.36","356,608,180.90","343,629,725.28","452,240,476.91","142,554,554.43","238,676,226.51","435,331,124.18","620,873,078.08","252,302,408.48","413,693,205.24","622,496,885.49","874,098,528.62","256,232,892.57"
吸收投资收到的现金,,,,,"632,286,900.00",,,,,,"1,000,000.00","1,000,000.00","1,000,000.00",
支付给职工以及为职工支付的现金,"81,312,252.91","110,771,173.99","141,523,708.65","111,730,202.57","163,391,780.34","36,937,778.96","86,543,512.09","124,179,707.49","197,173,104.61","53,142,742.97","111,961,325.34","165,641,373.81","266,090,020.93","53,550,890.00"
取得借款收到的现金,,,,,,,,,,,,,,
支付的各项税费,"98,998,304.71","103,217,370.46","115,431,675.37","91,972,009.19","126,940,370.68","39,925,778.43","88,811,829.73","118,646,477.61","158,690,762.60","42,709,317.22","106,744,043.16","154,481,032.31","196,378,867.24","36,503,499.27"
收到其他与筹资活动有关的现金,,,,,,,,,,,"3,275,747.60","3,275,747.60",,"497,996.76"
支付其他与经营活动有关的现金,"60,429,204.62","86,059,847.27","104,397,667.04","81,678,551.64","121,838,605.16","30,339,955.51","68,249,215.67","152,881,311.32","193,373,022.12","58,006,528.15","113,037,442.45","202,451,906.88","217,781,619.57","96,214,015.18"
筹资活动现金流入小计,,,,,"632,286,900.00",,,,,,"4,275,747.60","4,275,747.60","1,000,000.00","497,996.76"
经营活动现金流出小计,"551,539,961.68","605,855,603.08","717,961,231.96","629,010,488.68","864,411,233.09","249,758,067.33","482,280,784.00","831,038,620.60","1,170,109,967.41","406,160,996.82","745,436,016.19","1,145,071,198.49","1,554,349,036.36","442,501,297.02"
偿还债务支付的现金,"10,000,000.00","20,000,000.00",,,,,,,,,,,,
