科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"192,657,513.69","193,148,892.19","236,469,291.81","60,486,824.70","109,416,934.22","165,629,063.40","256,121,431.36","57,368,211.93","115,582,902.80","177,584,096.28","251,076,963.46","85,975,161.66"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,"2,764,101.84","99,211.71",,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,"5,000,000.00",
收到其他与经营活动有关的现金,"27,764,405.98","23,416,591.58","28,225,717.56","9,360,539.46","15,941,093.99","22,941,205.92","36,974,993.59","10,205,859.96","23,150,452.31","36,983,492.38","53,683,143.65","17,871,588.75"
投资活动现金流出小计,"15,346,676.02","14,078,417.55","34,692,485.39","15,153,570.44","31,516,220.89","39,256,620.94","264,940,945.21","8,240,953.29","100,693,155.86","212,267,479.97","436,297,059.59","331,444,097.63"
经营活动现金流入小计,"220,421,919.67","219,329,585.61","264,794,221.08","69,847,364.16","125,358,028.21","188,570,269.32","293,096,424.95","67,574,071.89","138,733,355.11","214,567,588.66","304,760,107.11","103,846,750.41"
投资活动产生的现金流量净额,"-15,114,381.02","-13,797,125.55","-34,583,045.39","-15,077,238.44","-31,342,196.85","-38,825,138.46","-164,184,632.05","-8,240,650.57","1,081,883.30","-24,531,908.67","-37,748,040.08","-189,970,757.21"
购买商品、接受劳务支付的现金,"44,718,829.84","38,440,641.08","47,008,133.17","19,159,981.21","32,361,151.63","45,395,469.56","63,876,872.73","24,154,995.44","40,083,184.44","54,703,240.57","74,489,476.12","33,274,446.88"
吸收投资收到的现金,,,,,"234,800,000.00","226,140,429.50","234,800,000.00","1,470,000.00","3,470,000.00","3,470,000.00","4,450,000.00","40,500,000.00"
支付给职工以及为职工支付的现金,"96,688,680.70","98,305,336.77","111,721,646.33","35,626,564.74","62,885,279.01","92,575,390.59","123,228,431.06","41,293,316.50","71,773,488.37","105,498,097.60","137,678,549.22","52,629,816.87"
取得借款收到的现金,,"13,700,000.00","21,775,503.07","10,562,278.75","12,224,496.93","12,224,496.93","12,224,496.93",,,,,"172,000,000.00"
支付的各项税费,"30,731,790.64","22,983,001.45","23,434,549.42","8,390,966.20","15,770,741.21","20,881,483.19","26,718,525.79","7,879,074.70","14,808,503.66","21,414,821.23","27,434,567.89","11,172,060.71"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"31,527,568.56","31,717,764.09","36,488,803.20","9,686,530.32","20,056,646.00","31,761,181.69","45,091,845.64","10,440,608.90","29,813,912.47","50,085,452.57","66,423,659.04","29,478,467.38"
筹资活动现金流入小计,,"13,700,000.00","21,775,503.07","10,562,278.75","247,024,496.93","238,364,926.43","247,024,496.93","1,470,000.00","3,470,000.00","3,470,000.00","4,450,000.00","212,500,000.00"
经营活动现金流出小计,"203,666,869.74","191,446,743.39","218,653,132.12","72,864,042.47","131,073,817.85","190,613,525.03","258,915,675.22","83,767,995.54","156,479,088.94","231,701,611.97","306,026,252.27","126,554,791.84"
偿还债务支付的现金,"2,625,999.78","663,000.12","14,177,666.32","1,096,249.96","1,192,499.92","1,300,111.13","34,384,999.84","96,249.96","192,499.92","288,749.88","479,791.62","26,250.00"
经营活动产生的现金流量净额,"16,755,049.93","27,882,842.22","46,141,088.96","-3,016,678.31","-5,715,789.64","-2,043,255.71","34,180,749.73","-16,193,923.65","-17,745,733.83","-17,134,023.31","-1,266,145.16","-22,708,041.43"
分配股利、利润或偿还利息支付的现金,"4,096,104.99","4,040,442.19","6,999,968.24","440,544.92","953,430.47","4,027,220.53","4,486,111.04","5,620.19","8,810,096.15","8,813,427.89","8,815,652.19","200,160.79"
收回投资收到的现金,,,,,,,"100,000,000.00",,"100,000,000.00","185,000,000.00","395,000,000.00","101,011,142.47"
支付其他与筹资活动有关的现金,,,,,,"1,824,669.35","12,133,239.85",,,,,
取得投资收益收到的现金,,,,,,,"288,767.13",,"1,735,616.44","2,689,246.58","3,477,054.79","406,849.32"
筹资活动现金流出小计,"6,722,104.77","4,703,442.31","21,177,634.56","1,536,794.88","2,145,930.39","7,152,001.01","51,004,350.73","101,870.15","9,002,596.07","9,102,177.77","9,295,443.81","226,410.79"
处置固定资产、无形资产和其他长期资产收回的现金净额,"232,295.00","281,292.00","109,440.00","76,332.00","174,024.04","431,482.48","467,546.03",302.72,"39,422.72","46,324.72","71,964.72","125,755.00"
筹资活动产生的现金流量净额,"-6,722,104.77","8,996,557.69","597,868.51","9,025,483.87","244,878,566.54","231,212,925.42","196,020,146.20","1,368,129.85","-5,532,596.07","-5,632,177.77","-4,845,443.81","212,273,589.21"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,"39,929,593.63"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"232,295.00","281,292.00","109,440.00","76,332.00","174,024.04","431,482.48","100,756,313.16",302.72,"101,775,039.16","187,735,571.30","398,549,019.51","141,473,340.42"
五、现金及现金等价物净增加额,"-5,081,435.86","23,082,274.36","12,155,912.08","-9,068,432.88","207,820,580.05","190,344,531.25","66,016,263.88","-23,066,444.37","-22,196,446.60","-47,298,109.75","-43,859,629.05","-405,209.43"
