科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"4,778,888,788.70","1,336,391,033.37","3,084,956,634.62","1,109,845,349.76","1,893,224,045.80","2,737,505,892.10","761,156,429.98","1,387,354,948.10","1,792,924,631.15","2,315,086,741.48","665,592,370.19","1,401,031,707.38","1,926,169,215.35","2,539,445,287.30","830,934,096.86","1,582,368,394.68","2,328,090,584.17","3,103,553,412.45","809,596,956.57","1,965,462,680.86","3,398,397,223.08","5,609,064,896.32","2,741,970,471.26","7,108,485,922.68","8,985,622,100.17","11,540,612,657.75","1,740,412,801.72","3,534,626,491.57","5,876,283,930.57","7,589,066,883.90","1,964,632,036.51","4,056,753,044.52","6,205,669,926.71","8,818,781,467.80"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"183,114,158.26","227,700,135.01","210,028,089.17","124,519,482.90","185,322,315.38","264,303,531.18","78,751,318.14","154,477,615.61","240,603,668.15","314,068,707.46","70,809,864.26","138,385,696.75","191,023,167.13","237,592,543.12","49,357,795.82","121,741,466.40","213,388,873.68","345,695,315.23","137,462,990.83","285,641,446.21","453,465,369.91","688,716,601.62","262,973,148.53","715,030,974.65","980,500,587.28","1,222,040,944.74","220,096,797.13","455,140,309.39","724,938,112.56","957,324,917.95","192,397,065.94","311,556,345.97","411,578,779.70","418,862,437.51"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,"390,661,621.17",,,,,,,,,,,,,,,,"2,936,999,028.76",,"1,722,776,236.45",,"3,703,023,384.59"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,"153,069,078.05",,,,,,,,,,,,,,,,"1,979,674,110.81",,"1,411,219,890.48",,"3,284,160,947.08"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"2,517,053,175.83","1,655,024,682.51","2,296,359,064.60","941,715,657.10","1,502,241,278.88","2,170,901,378.86","562,864,699.04","1,000,590,952.49","1,423,146,123.06","1,770,879,144.94","371,531,033.17","725,471,773.66","1,126,592,909.56","1,559,428,645.69","509,497,406.92","1,011,778,138.24","1,545,258,046.25","2,123,372,128.81","564,914,886.36","1,085,654,452.96","1,862,668,270.74","3,024,181,550.74","1,393,405,631.68","3,969,758,017.41","5,600,588,004.44","7,259,442,441.27","1,407,221,414.30","2,530,576,708.25","3,823,498,195.09","5,096,736,129.84","921,438,286.77","1,984,793,893.18","3,293,285,000.06","4,559,055,982.16"
营业税金及附加,"232,976,001.47","115,834,180.20","146,608,369.68","61,615,538.33","98,108,548.69","143,645,311.79","40,897,621.53","72,735,616.30","105,872,819.23","132,426,966.36","31,847,772.00","63,879,387.39","96,802,763.11","130,233,862.20","46,388,002.26","94,815,097.13","143,197,206.13","200,037,555.42","51,696,667.16","115,137,506.43","204,366,628.37","341,498,181.91","157,799,251.23","419,271,364.17","579,907,231.93","743,693,036.22","129,926,324.04","181,018,319.04","196,315,755.88","215,888,300.06","10,694,016.19","28,084,515.37","45,919,385.17","67,344,855.34"
手续费及佣金收入,,,,,,,,,,,,,,"1,863,771,643.59",,,,,,,,,,,,,,,,"5,905,057,570.48",,"2,326,722,314.15",,"5,372,476,438.89"
手续费及佣金支出2,,,,,,,,,,,,,,"304,342,997.90",,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"808,321,440.64",,"341,928,420.97",,"813,420,456.73"
业务及管理费,"1,176,328,259.69","731,469,754.69","1,292,003,455.52","544,388,108.47","913,079,581.54","1,402,178,912.29","374,743,211.58","717,236,809.51","1,018,789,676.97","1,482,491,127.99","385,797,063.90","857,577,858.11","1,207,311,759.82","1,709,020,605.06","463,351,104.14","898,815,762.43","1,346,706,230.94","1,912,927,413.18","448,541,635.05","1,009,245,328.19","1,624,071,699.14","2,721,166,856.36","1,035,547,837.57","2,557,757,998.65","3,463,073,564.79","4,888,842,480.04","924,836,440.82","1,915,988,465.74","3,038,906,485.93","4,444,257,421.63","1,087,162,743.88","2,205,113,863.46","3,381,926,493.08","5,249,325,241.91"
其中：代理买卖证券业务净收入,"2,128,282,267.03","1,131,897,977.83","1,684,839,077.35","565,162,735.68","871,275,099.68","1,234,636,659.03","254,076,290.13","473,806,883.28","718,899,617.84","811,884,232.66","169,280,923.81","338,344,251.85","499,219,535.08","647,403,573.36","232,932,405.88","446,606,027.91","735,008,352.06","1,125,693,451.85","269,526,129.39","477,812,732.93","872,289,267.45","1,539,207,586.04","691,503,913.22","2,220,290,631.69","3,057,751,091.93","3,782,139,435.85","435,619,673.30","857,061,930.75","1,239,201,505.76",,,,,
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,"57,943,017.89","37,507,261.76","61,736,950.20","54,888,255.58","169,521,682.98","234,837,519.30","121,613,689.49",,"272,103,769.42",,"16,358,794.22","29,589,559.90","72,182,861.96","182,236,281.72","92,624,319.52","167,144,368.91","202,851,547.24","364,755,804.29","123,406,557.30","258,268,305.69","390,348,863.58","552,301,390.23","226,432,719.11","447,383,225.92","694,996,788.68","1,130,092,924.48","376,219,979.92","621,942,062.39","1,108,521,366.57",,,,,
资产减值损失,"-4,249,108.08","64,024,676.71","15,005.31","-2,331,984.75","-2,230,351.28","-2,993,729.42","-137,736.22","-974,407.84","-3,125,679.46","-1,364,560.68","20,549.17","-3,689,478.61","-3,145,677.93","-2,684,635.60","4,411,163.15","5,993,845.11","5,895,449.36","2,777,247.27","878,841.07","1,398,882.73","19,276,051.11","28,647,186.69","4,531,036.05","15,223,673.52","-4,396,217.09","37,786,996.99","-4,345,903.83","-3,428,148.85","-2,979,791.92","9,710,389.18","10,771,320.84","108,893,937.81","162,954,222.22","335,631,719.65"
委托客户管理资产业务净收入,"10,877,391.74","12,594,151.11","28,887,437.51","18,733,182.03","36,957,950.29","55,928,589.47","18,624,154.25","32,807,116.39","50,892,094.73",,"13,418,706.55","26,831,075.28","43,807,787.90","84,370,181.79","20,832,631.41","50,060,867.81","76,766,438.92","107,591,714.02","35,959,757.61","76,136,198.09","121,307,691.58","230,758,261.82","97,211,597.25","450,719,281.44","624,410,777.38","779,237,847.71","156,567,678.93","310,813,721.54","388,458,835.87",,,,,
其他业务成本,"49,196.40","743,184.90","303,967.60","482,848.52","1,208,421.49","1,579,774.13","463,239.97","2,016,159.95","2,918,686.44","6,377,963.52","1,096,802.13","2,129,717.33","3,027,390.68","4,154,824.92","1,104,503.94","2,196,165.55","3,186,487.97","4,243,541.82","1,104,319.19","2,224,628.79","3,437,075.24","4,547,401.11","1,172,545.32","2,139,840.50","3,234,741.86","4,328,441.12","1,051,067.05","2,248,594.10","3,932,480.87","10,242,056.81","2,445,228.59","6,675,303.27","13,134,010.92","18,000,815.73"
已赚保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、营业利润,"3,373,784,439.22","424,319,236.87","1,646,025,836.51","505,690,839.19","883,057,845.36","1,193,095,623.31","345,190,093.12","596,340,770.18","668,469,127.97","695,155,244.29","246,830,182.99","481,134,223.16","622,172,979.67","698,720,630.72","315,679,323.37","580,547,524.46","829,105,209.77","983,567,654.76","307,375,494.10","837,456,334.72","1,547,245,769.22","2,513,205,270.25","1,542,919,801.09","4,114,093,045.84","4,943,802,778.68","5,865,961,703.38","688,944,873.64","1,438,799,261.54","2,640,108,999.81","2,908,968,716.22","853,558,727.01","1,707,985,424.61","2,601,735,815.32","3,148,478,835.17"
保险业务收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,"13,744,342.64","50,543,750.07","47,172,042.84","27,863,070.34","39,627,808.92","42,247,929.31","94,144.74","472,176.73","7,880,942.35","57,695,020.73","4,078,490.32","48,892,831.29","51,431,919.46","59,852,219.19","16,949,357.64","49,058,551.25","58,761,144.87","65,816,226.73","919,480.52","52,971,186.84","59,231,859.94","68,146,008.25","1,127,464.83","63,367,522.01","78,404,344.29","81,882,452.19","78,707,961.33","238,394,910.85","286,905,546.10","307,256,875.94","121,182,202.50","129,507,377.66","195,428,880.92","195,930,546.89"
减：分出保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：营业外支出,"13,483,009.33","4,570,677.91","7,924,193.50","3,921,744.57","5,545,526.96","13,519,411.86","860,168.99","2,313,008.59","9,599,731.02","11,079,655.87","1,019,062.42","2,546,653.45","4,066,318.17","11,000,210.49","807,625.01","3,275,234.55","5,397,089.39","13,876,232.05","1,004,942.51","3,118,834.18","4,869,798.97","15,728,907.43","662,241.01","1,366,499.17","1,580,849.77","28,363,939.07","2,696,590.20","36,972,525.33","40,157,593.63","307,920,909.25","7,598,439.85","19,797,070.42","25,367,483.16","56,042,388.49"
提取未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"1,575,998,359.45","146,451,765.90","372,170,678.28","170,120,775.93","250,005,307.19","362,856,594.80","128,684,552.30","231,862,565.83","329,588,863.40","339,450,734.04","116,583,928.94","320,971,203.08","488,012,899.74","535,612,869.13","228,408,724.23","489,840,613.70","651,351,190.15","890,412,852.22","113,850,488.27","390,279,465.47","789,488,780.05","1,627,709,715.40","1,088,297,915.36","2,123,292,035.27","2,541,527,265.15","2,859,001,485.96","256,653,587.82","689,867,981.04","1,755,659,877.04","1,863,496,738.86","668,057,633.17","1,619,048,265.35","2,477,755,331.82","3,590,355,427.54"
四、利润总额,"3,374,045,772.53","470,292,309.03","1,685,273,685.85","529,632,164.96","917,140,127.32","1,221,824,140.76","344,424,068.87","594,499,938.32","666,750,339.30","741,770,609.15","249,889,610.89","527,480,401.00","669,538,580.96","747,572,639.42","331,821,056.00","626,330,841.16","882,469,265.25","1,035,507,649.44","307,290,032.11","887,308,687.38","1,601,607,830.19","2,565,622,371.07","1,543,385,024.91","4,176,094,068.68","5,020,626,273.20","5,919,480,216.50","764,956,244.77","1,640,221,647.06","2,886,856,952.28","2,908,304,682.91","967,142,489.66","1,817,695,731.85","2,771,797,213.08","3,288,366,993.57"
其中：对联营企业和合营企业的投资收益,,,,,,,,,,,,,,,"53,881.50","-251,995.83","-784,211.04","-99,399.64","-253,683.14","-2,373,225.43","-2,985,961.88","-2,045,842.22","-985,678.30","-514,156.85","-744,886.06","2,306,846.50","408,919.62","2,543,330.16","3,583,236.21","10,972,102.29","800,911.62","550,016.14","6,023,259.20","13,527,496.12"
减：所得税,"1,268,032,789.36","108,189,429.41","408,633,779.03","125,896,336.40","219,237,847.62","298,921,414.00","87,815,094.83","145,347,315.47","168,119,506.46","195,614,670.97","61,163,760.77","134,320,293.03","154,028,506.97","173,683,431.35","84,657,560.14","142,985,616.03","206,048,189.26","251,764,043.70","77,554,134.50","209,475,714.81","390,309,869.67","619,749,428.73","376,755,886.65","1,001,499,620.42","1,203,379,781.16","1,420,496,888.19","171,017,655.54","362,623,507.43","586,429,269.62","564,665,658.67","180,499,367.86","354,839,700.21","539,011,977.41","653,324,360.22"
公允价值变动收益,"502,384,959.82","-690,618,111.19","206,140,757.09","-129,252,948.98","-48,954,616.28","-67,262,845.94","-12,434,571.99","-2,825,030.30","-207,214,075.98","-122,836,528.45","103,125,571.24","211,675,818.87","112,630,235.39","198,690,610.22","42,572,739.20","-44,917,675.31","-90,254,425.55","-264,684,974.87","-8,459,422.46","208,089,050.36","286,030,162.17","256,796,671.43","-6,038,825.36","287,435,313.49","-154,401,164.04","181,612,591.14","-148,667,335.80","-145,775,238.41","-436,558,119.14","-330,602,143.92","152,078,249.11","87,096,351.34","-45,575,097.09","162,444,366.72"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益,"-800,217.59","-3,436,063.46","-16,820.27","-140,463.09","-99,072.25","-353,300.27","6,442.61","-273,411.68","-318,724.88","-571,674.62","-10,716.15","38,328.99","71,640.49","-24,942.85","-17,131.92","-152,010.19","-70,258.41","-54,660.83","232,051.46","-9,033,813.75","1,121,348.91","1,847,156.17","2,446,080.67","7,636,255.73","8,887,865.28","9,507,198.17","1,537,054.91","-237,572.68","965,604.22","-12,982,285.69","25,309,620.95","45,087,890.11","52,818,415.06","68,616,739.66"
五、净利润,"2,106,012,983.17","362,102,879.62","1,276,639,906.82","403,735,828.56","697,902,279.70","922,902,726.76","256,608,974.04","449,152,622.85","498,630,832.84","546,155,938.18","188,725,850.12","393,160,107.97","515,510,073.99","573,889,208.07","247,163,495.86","483,345,225.13","676,421,075.99","783,743,605.74","229,735,897.61","677,832,972.57","1,211,297,960.52","1,945,872,942.34","1,166,629,138.26","3,174,594,448.26","3,817,246,492.04","4,498,983,328.31","593,938,589.23","1,277,598,139.63","2,300,427,682.66","2,343,639,024.24","786,643,121.80","1,462,856,031.64","2,232,785,235.67","2,635,042,633.35"
其他业务收入,"1,138,352.93","1,268,624.60","274,865.75","2,882,845.90","4,708,832.88","7,060,533.47","3,283,989.88","3,522,256.15","7,118,777.40","14,096,358.11","3,552,688.73","4,488,886.03","7,838,363.04","8,145,561.99","1,114,562.61","4,077,861.84","8,417,158.05","8,812,751.89","1,595,962.11","4,832,079.61","5,623,291.30","9,813,200.96","886,520.38","5,333,326.13","8,519,542.06","9,007,996.47","3,571,283.36","5,054,303.98","7,780,260.80","15,093,526.86","5,351,180.57","9,170,298.57","15,807,497.16","20,720,885.89"
（一）归属于母公司所有者的净利润,"2,037,847,213.44","266,595,561.55","1,155,348,227.47","336,147,643.11","594,386,407.89","787,215,964.17","210,958,376.12","381,656,378.31","409,591,281.68","435,339,610.68","167,540,650.27","346,316,211.65","417,696,352.92","476,350,275.72","220,529,838.71","408,673,810.45","585,439,511.64","672,940,673.83","187,730,862.67","605,943,361.18","1,083,786,268.46","1,781,589,789.14","1,073,189,874.56","2,957,755,437.25","3,519,000,090.09","4,167,150,649.35","503,716,487.17","1,111,631,183.11","2,044,803,328.62","2,046,321,431.54","681,984,801.92","1,309,346,644.20","1,982,705,226.55","2,284,896,126.79"
二、营业支出,"1,405,104,349.48","912,071,796.50","1,438,930,798.11","604,154,510.57","1,010,166,200.44","1,544,410,268.79","415,966,336.86","791,014,177.92","1,124,455,503.18","1,619,931,497.19","418,762,187.20","919,897,484.22","1,303,996,235.68","1,840,724,656.58","515,254,773.49","1,001,820,870.22","1,498,985,374.40","2,119,985,757.69","502,221,462.47","1,128,006,346.14","1,851,151,453.86","3,095,859,626.07","1,199,050,670.17","2,994,392,876.84","4,041,819,321.49","5,674,650,954.37","1,051,467,928.08","2,095,827,230.03","3,236,174,930.76","4,680,098,167.68","1,111,073,309.50","2,348,767,619.91","3,603,934,111.39","5,670,302,632.63"
（二）少数股东损益,"68,165,769.73","95,507,318.07","121,291,679.35","67,588,185.45","103,515,871.81","135,686,762.59","45,650,597.92","67,496,244.54","89,039,551.16","110,816,327.50","21,185,199.85","46,843,896.32","97,813,721.07","97,538,932.35","26,633,657.15","74,671,414.68","90,981,564.35","110,802,931.91","42,005,034.94","71,889,611.39","127,511,692.06","164,283,153.20","93,439,263.70","216,839,011.01","298,246,401.95","331,832,678.96","90,222,102.06","165,966,956.52","255,624,354.04","297,317,592.70","104,658,319.88","153,509,387.44","250,080,009.12","350,146,506.56"
退保金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
