科目,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、经营活动产生的现金流量,,,,,,,,,
收回投资收到的现金,"1,046,390,331,439.04","1,434,543,116,677.91","1,737,745,084,428.34","296,208,176,298.38","381,119,361,651.01","470,499,944,394.47","621,209,665,891.70","414,086,076,915.63","496,409,571,391.13"
客户存款和同业存放款项净增加额,,,,,,,,,
取得投资收益收到的现金,"8,404,291,846.45","21,338,676,745.91","12,240,629,429.35","3,918,471,200.37","6,246,239,492.21","7,223,239,062.04","10,732,849,413.11","1,282,828,204.11","2,320,854,101.83"
向中央银行借款净增加额,,,,,,,,,
收到其他与投资活动有关的现金,"606,389,753,296.95","928,022,986,511.74","1,189,476,818,769.05","298,025,564,187.08","538,118,944,016.15","720,061,797,456.64","910,423,593,745.00","236,634,738,759.46","474,609,327,558.76"
向其他金融机构拆入资金净增加额,,,,,,,,,
投资活动现金流入小计,"1,661,184,399,082.44","2,383,904,802,435.56","2,939,462,555,126.74","598,152,211,685.83","925,484,545,159.37","1,197,784,980,913.15","1,542,366,109,049.81","652,003,643,879.20","973,339,753,051.72"
收取利息、手续费及佣金的现金,,,,,,,,,
投资支付的现金,"1,187,915,688,619.16","1,595,510,430,822.22","1,872,433,573,979.55","279,815,023,703.41","354,168,995,629.17","437,572,670,485.23","568,875,538,888.12","357,664,664,016.50","429,089,395,707.30"
处置交易性金融资产净增加额,,,,,,,,,
质押贷款净增加额,,,,,,,,,
拆入资金净增加额,,,,,,,,,
购建固定资产、无形资产和其他长期资产支付的现金,"169,808,535.46","291,828,849.51","879,882,033.45","55,322,024.83","465,039,587.49","516,914,280.91","1,177,632,385.27","115,922,924.28","126,954,809.43"
回购业务资金净增加额,,,,,,,,,
支付其他与投资活动有关的现金,"601,660,183,423.21","915,401,132,365.58","1,185,164,690,644.84","292,589,969,721.34","527,176,832,549.71","708,192,903,710.89","904,965,444,107.27","229,692,035,788.58","466,939,187,139.18"
销售商品、提供劳务收到的现金,"2,755,681.24",,"123,733,490.63","64,748,051.39","160,881,480.91","215,015,757.59","310,706,622.19","64,200,229.21","114,620,676.39"
投资活动现金流出小计,"1,789,745,680,577.83","2,511,203,392,037.31","3,058,478,146,657.84","572,460,315,449.58","881,810,867,766.37","1,146,282,488,477.03","1,475,018,615,380.66","587,472,622,729.36","896,155,537,655.91"
收到的税费返还,,,,,,,,,
投资活动产生的现金流量净额,"-128,561,281,495.39","-127,298,589,601.75","-119,015,591,531.10","25,691,896,236.25","43,673,677,393.00","51,502,492,436.12","67,347,493,669.15","64,531,021,149.84","77,184,215,395.81"
收到原保险合同保费取得的现金,"7,648,282,758.97","11,256,226,393.54","14,348,933,625.30","4,192,337,352.66","7,921,011,457.71","11,537,904,872.68","15,101,819,344.66","4,689,103,604.83","8,195,411,061.34"
三、筹资活动产生的现金流量,,,,,,,,,
收到再保业务现金净额,"6,266,464.51","51,742,423.33","77,837,314.70","5,859,901.60","-1,950,441.11","-47,451,020.44",,"45,318,176.88","8,202,527.24"
吸收投资收到的现金,"13,501,669,609.05","13,501,669,609.05","6,819,745,609.05",,,"40,000,000.00",,,
保户储金及投资款净增加额,"106,871,466,570.87","106,882,896,143.94","111,354,380,496.25","-42,050,976,760.00","-56,779,425,198.00","-76,517,221,873.00",,,
发行债券收到的现金,,,,,,,,,
收到其他与经营活动有关的现金,"312,498,890.45","825,023,966.19","551,671,650.16","522,595,120.61","754,760,752.73","1,005,508,993.30","856,137,050.84","185,621,121.40","191,082,030.84"
取得借款收到的现金,"580,000,000.00",,"580,000,000.00","310,000,000.00","310,000,000.00","310,000,000.00","310,000,000.00","310,000,000.00","310,000,000.00"
经营活动现金流入小计,"114,841,270,366.04","119,043,665,098.46","126,332,823,086.41","-37,330,184,385.13","-48,105,603,428.67","-64,021,259,027.46","15,957,956,395.50","4,920,042,903.11","8,509,316,295.81"
收到其他与筹资活动有关的现金,"2,529,949.30","2,529,949.30","11,154,784,000.00","7,710,250,000.00","9,444,340,000.00","21,682,165,000.00","38,622,243,916.67","895,170,000.00","895,170,000.00"
客户贷款及垫款净增加额,,,,,,,,,
筹资活动现金流入小计,"14,084,199,558.35","14,084,199,558.35","18,554,529,609.05","8,020,250,000.00","9,754,340,000.00","22,032,165,000.00","38,932,243,916.67","1,205,170,000.00","1,205,170,000.00"
存放中央银行和同业款项净增加额,,,,,,,,,
偿还债务支付的现金,"530,000,000.00","580,000,000.00","630,000,000.00","490,000,000.00","490,000,000.00","490,000,000.00","1,220,000,000.00","310,000,000.00","310,000,000.00"
支付的手续费及佣金的现金,"3,968,851,091.94","4,650,217,303.40","5,204,215,545.91","1,021,285,602.11","1,782,192,766.95","2,428,586,507.71","3,352,842,641.16","1,172,413,425.98","2,278,228,815.06"
分配股利、利润或偿付利息支付的现金,"54,935,468.09","60,464,349.35","465,951,122.07","18,176,056.00","32,570,850.14","37,241,957.47","404,899,301.49","50,274,602.74","54,911,863.01"
购买商品、提供劳务支付的现金,"41,331,986.66",,"9,831,165.92","22,333,212.80","44,265,860.69","64,405,254.55","118,546,480.52","68,141,227.40","127,464,330.54"
