科目,2005年1-9月
销售商品、提供劳务收到的现金,"38,627,196.63"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,
支付其他与投资活动有关的现金,"1,295,048.01"
收到其他与经营活动有关的现金,"44,592,493.78"
投资活动现金流出小计,"5,859,767.02"
经营活动现金流入小计,"83,219,690.41"
投资活动产生的现金流量净额,"-5,657,767.02"
购买商品、接受劳务支付的现金,"16,590,770.15"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"4,010,594.82"
取得借款收到的现金,
支付的各项税费,"6,188,079.79"
收到其他与筹资活动有关的现金,"72,302.38"
支付其他与经营活动有关的现金,"33,537,902.48"
筹资活动现金流入小计,"72,302.38"
经营活动现金流出小计,"60,327,347.24"
偿还债务支付的现金,"22,751,036.00"
经营活动产生的现金流量净额,"22,892,343.17"
分配股利、利润或偿还利息支付的现金,"4,083,406.02"
收回投资收到的现金,"202,000.00"
支付其他与筹资活动有关的现金,"2,119.70"
取得投资收益收到的现金,
筹资活动现金流出小计,"26,836,561.72"
处置固定资产、无形资产和其他长期资产收回的现金净额,
筹资活动产生的现金流量净额,"-26,764,259.34"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,
收到其他与投资活动有关的现金,
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"202,000.00"
五、现金及现金等价物净增加额,"-9,529,683.19"
购建固定资产、无形资产和其他长期资产支付的现金,"4,564,719.01"
期初现金及现金等价物余额,"22,946,492.91"
投资支付的现金,
期末现金及现金等价物余额,"13,416,809.72"
