科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
一、营业收入,,,,,,,,,,,,,,,"850,000.00",,"500,000.00","500,000.00",,"2,000,000.00","332,409.00","1,032,346.18","6,488,034.19","563,760.68","1,016,581.19","1,016,581.19","8,046,432.19",,"35,103,124.00"
二、营业利润,,"-872,994.27",,"-2,087,667.01",,"-371,355.12","-607,091.52","-1,926,286.86","-406,844.40","-1,143,628.00","-1,577,122.81","-2,093,728.22","-498,546.81","-1,025,174.26","-844,898.99","-2,372,037.18","51,999.84","-437,176.92","-813,598.45","39,537.02","7,139.69","-180,471.90","1,684,032.06","-1,018,997.51","-2,097,504.44","-3,436,546.34","891,873.57","-562,473.71","29,594,340.06"
减:营业成本,,,,,,,,,,,,,,,,,,,,,,"299,658.11","1,155,394.15",,"829,958.41","829,958.41","3,404,521.49",,"60,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,,,,,,,,,,,,"112,000.00",,"44,246.97","325,391.84",,"4,221.06","4,221.06","397,892.72",,"1,965,775.95"
营业外收入,,,,,"16,000.00","16,000.00","16,000.00","16,000.00",,,,"2,531,834.38",,"8,980,724.17","8,380,724.17","9,751,556.19",,"969,446.49","1,544,895.08","1,687,446.49","20,530.23","194,982.62","848,238.40",,,,"3,103.14",,"1,352.65"
销售费用,,,,,,,,,,,,,,,,,,,,,,"6,805.00","85,089.04",,"130,569.38","130,569.38","130,569.38",,
减:营业外支出,,,,,,,,,,,,,,,,,,"104,887.50",,"210,867.41",,"10,117.44","26,784.04",,"1,055.81","1,055.81","209,161.55",,"9,701.81"
管理费用,"101,990.13","301,363.13","918,212.67","946,393.15","203,370.42","371,355.12","607,091.52","810,354.48","123,303.32","576,504.41","726,416.71","959,439.61","214,964.30","457,990.70","844,072.92","1,237,611.61","430,367.78","856,970.51","1,167,374.01","1,609,451.06","308,340.06","861,719.68","2,517,078.23","1,017,153.01","2,147,319.15","3,486,148.22","2,953,478.05","560,404.00","1,930,729.45"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"286,073.00","571,631.14","857,189.28","1,141,273.86",,,,"1,003,639.05","283,541.08","567,123.59","850,706.10","1,134,288.61","283,582.51","567,183.56","850,826.07","1,134,425.57","17,632.38","80,206.41","146,224.44","181,743.79",129.25,388.32,"462,519.54",728.11,"2,017.63","2,230.46","249,257.38","2,069.71","1,188,790.97"
三、利润总额,"-388,063.13","-872,994.27","-1,775,401.95","-2,087,667.01","-187,370.42","-355,355.12","-591,091.52","-1,910,286.86","-406,844.40","-1,143,628.00","-1,577,122.81","438,106.16","-498,546.81","7,955,549.91","7,535,825.18","7,379,519.01","51,999.84","427,382.07","731,296.63","1,516,116.10","27,669.92","4,393.28","2,505,486.42","-1,018,997.51","-2,098,560.25","-3,437,602.15","685,815.16","-562,473.71","29,585,990.90"
资产减值损失,,,,,,,,"112,293.33",,,,,,,,,,,,"57,268.13",,,"258,529.33",,,,"18,839.60",,"363,487.57"
减:所得税,,,,,,,,,,,,,,,,,,,,,,,"622,613.12",,,,"28,330.66",,"7,249,991.91"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、净利润,"-388,063.13","-872,994.27","-1,775,401.95","-2,087,667.01","-187,370.42","-355,355.12","-591,091.52","-1,910,286.86","-406,844.40","-1,143,628.00","-1,577,122.81","438,106.16","-498,546.81","7,955,549.91","7,535,825.18","7,379,519.01","51,999.84","427,382.07","731,296.63","1,516,116.10","27,669.92","4,393.28","1,882,873.30","-1,018,997.51","-2,098,560.25","-3,437,602.15","657,484.50","-562,473.71","22,335,998.99"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"-388,063.13","-872,994.27","-1,775,401.95","-2,087,667.01","-187,370.42","-355,355.12","-591,091.52","-1,910,286.86","-406,844.40","-1,143,628.00","-1,577,122.81","438,106.16","-498,546.81","7,955,549.91","7,535,825.18","7,379,519.01","51,999.84","427,382.07","731,296.63","1,516,116.10","27,669.92","4,393.28","1,882,873.30","-1,018,997.51","-2,098,560.25","-3,437,602.15","657,484.50","-562,473.71","22,335,998.99"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,"500,000.00",,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
