科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
一、营业收入,,,,"153,200.00","36,000.00","36,000.00",,"100,000.00","18,000.00",,"51,000.00","18,000.00",,,,,,,,,,,,,,,,,,
二、营业利润,"-7,189,281.15","-14,454,240.37","-21,777,932.19","-23,502,675.22","-7,647,836.26","-15,253,109.50","-23,192,345.19","-26,415,812.04","-8,181,423.97","-16,519,762.67","-25,019,352.50","-33,613,233.15","-8,839,934.26","-17,413,497.51","-26,293,537.36","-32,260,885.60","-9,088,248.74","-18,258,880.10","-27,695,583.45","-35,429,539.31","-9,757,904.32","-19,647,766.43","-29,803,971.66","-39,893,644.50","-10,528,464.92","-21,166,587.20","-32,085,452.39","-41,210,406.93","-11,345,432.71","-53,762,022.13"
减:营业成本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,,,,,,,,,,,,"33,000.00",,,"4,000.00","4,000.00",,,,,,,,,,,,,,
销售费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:营业外支出,,,,,,,,,,,,,,,150.00,150.00,,,,,,,,,,,,,,
管理费用,"585,637.18","1,114,517.88","1,628,922.53","1,816,974.07","519,243.67","959,924.32","1,483,154.48","2,036,617.63","477,617.06","948,213.33","1,464,361.40","1,935,461.58","517,618.96","611,580.96","851,727.79","290,965.61","118,720.96","150,273.96","275,197.37","275,197.37","90,769.34","130,831.94","251,076.45","250,812.89","109,484.94","131,784.94","234,188.80","235,415.20","116,213.40","298,207.69"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"6,647,643.97","13,420,922.49","20,322,209.66","21,838,901.15","7,164,592.59","14,329,185.18","21,767,190.71","24,479,194.41","7,721,806.91","15,589,549.34","23,605,991.10","31,695,771.57","8,322,315.30","16,801,916.55","25,441,809.57","31,969,919.99","8,969,527.78","18,108,606.14","27,420,386.08","35,154,341.94","9,667,134.98","19,516,934.49","29,552,895.21","39,642,831.61","10,418,979.98","21,034,802.26","31,851,263.59","40,974,991.73","11,229,219.31","53,463,814.44"
三、利润总额,"-7,189,281.15","-14,454,240.37","-21,777,932.19","-23,502,675.22","-7,647,836.26","-15,253,109.50","-23,192,345.19","-26,415,812.04","-8,181,423.97","-16,519,762.67","-25,019,352.50","-33,580,233.15","-8,839,934.26","-17,413,497.51","-26,289,687.36","-32,257,035.60","-9,088,248.74","-18,258,880.10","-27,695,583.45","-35,429,539.31","-9,757,904.32","-19,647,766.43","-29,803,971.66","-39,893,644.50","-10,528,464.92","-21,166,587.20","-32,085,452.39","-41,210,406.93","-11,345,432.71","-53,762,022.13"
资产减值损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:所得税,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、净利润,"-7,189,281.15","-14,454,240.37","-21,777,932.19","-23,502,675.22","-7,647,836.26","-15,253,109.50","-23,192,345.19","-26,415,812.04","-8,181,423.97","-16,519,762.67","-25,019,352.50","-33,580,233.15","-8,839,934.26","-17,413,497.51","-26,289,687.36","-32,257,035.60","-9,088,248.74","-18,258,880.10","-27,695,583.45","-35,429,539.31","-9,757,904.32","-19,647,766.43","-29,803,971.66","-39,893,644.50","-10,528,464.92","-21,166,587.20","-32,085,452.39","-41,210,406.93","-11,345,432.71","-53,762,022.13"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"-7,189,281.15","-14,454,240.37","-21,777,932.19","-23,502,675.22","-7,647,836.26","-15,253,109.50","-23,192,345.19","-26,415,812.04","-8,181,423.97","-16,519,762.67","-25,019,352.50","-33,580,233.15","-8,839,934.26","-17,413,497.51","-26,289,687.36","-32,257,035.60","-9,088,248.74","-18,258,880.10","-27,695,583.45","-35,429,539.31","-9,757,904.32","-19,647,766.43","-29,803,971.66","-39,893,644.50","-10,528,464.92","-21,166,587.20","-32,085,452.39","-41,210,406.93","-11,345,432.71","-53,762,022.13"
影响营业利润的其他科目,,"81,200.00",,,,,"58,000.00",,,"18,000.00",,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
