科目,2010年度,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"7,805,459,621.32","6,056,311,831.38","6,079,415,257.48","6,775,987,291.91","4,258,523,792.86","7,191,442,984.38","11,792,322,619.69","6,381,584,569.48","17,472,017,372.02","22,043,035,590.68","29,139,131,599.01","2,880,358,328.68","6,150,523,408.63","9,677,865,275.57","12,748,903,313.78","2,602,497,399.83","5,435,239,315.33","8,745,518,621.93","11,923,610,192.94","2,337,176,580.54","4,059,951,228.89"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,
利息净收入,"661,401,246.39","784,167,415.58","688,864,055.49","924,558,427.81","596,725,467.48","941,823,525.20","1,488,294,980.18","851,548,363.11","2,363,244,133.08","2,896,414,941.86","3,547,881,783.97","486,389,815.97","889,855,904.69","1,343,530,804.84","1,913,672,753.07","554,481,522.53","1,155,248,141.05","1,780,503,575.25","2,338,300,601.73","498,521,739.72","936,781,739.22"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,
保单红利支出,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,
分保费用,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"6,855,126,576.90","5,178,832,135.90","4,312,636,374.60","4,922,272,600.23","2,700,600,903.48","4,538,287,537.92","7,482,443,052.39","3,574,964,597.75","10,913,689,454.97","14,896,931,502.97","18,713,463,728.10","2,159,286,074.05","4,345,823,001.56","6,512,742,028.51","8,911,186,667.64","1,615,691,189.62","3,311,881,388.23","5,294,072,934.10","7,202,228,044.60","1,517,173,818.50","2,785,844,882.54"
营业税金及附加,"402,927,756.13","340,486,884.20","305,852,288.50","392,859,514.56","231,771,214.95","390,427,857.87","646,671,373.50","362,502,925.10","991,920,587.99","1,428,450,050.32","1,782,926,764.91","217,850,106.49","310,625,534.98","335,987,831.29","369,932,152.34","21,238,726.52","50,508,146.17","76,578,456.74","101,544,856.97","24,303,749.58","50,306,322.00"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,
业务及管理费,"3,354,035,720.29","3,375,946,454.62","3,411,408,739.97","3,198,872,759.74","1,836,854,375.27","2,912,638,095.58","4,236,977,710.48","1,542,101,852.17","4,083,261,944.41","5,492,711,441.50","7,978,742,285.68","1,321,408,040.00","2,741,368,880.65","4,227,070,277.83","5,891,615,844.22","1,218,307,037.69","2,449,592,364.14","3,873,824,582.86","5,153,576,899.61","1,249,683,779.93","2,142,057,387.03"
其中：代理买卖证券业务净收入,"5,010,752,983.53","3,367,124,329.85","2,563,440,783.18","3,898,087,605.20","1,677,851,915.40","3,086,754,435.47","5,626,678,076.66","2,920,579,686.30","9,500,637,090.66","12,971,594,968.95","15,780,397,730.00","1,503,054,768.50","2,923,049,350.71","4,294,393,898.47","5,594,977,936.65","1,031,506,224.81","2,029,053,060.10","3,332,131,208.00","4,392,565,171.63","1,030,800,224.53","1,928,600,905.71"
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,"1,737,539,864.03","1,725,563,865.89","1,677,548,185.51","852,004,958.09","879,327,865.04","1,263,614,984.75","1,522,972,687.35","495,011,588.47","1,146,801,116.69","1,520,712,842.26","2,159,202,084.30","529,741,668.30","1,150,960,173.64","1,796,976,942.90","2,683,446,200.15","384,997,804.62","924,442,403.17","1,455,369,563.88","2,129,949,154.89","338,232,542.79","558,329,892.47"
资产减值损失,"3,483,590.07","7,637,358.03","11,759,816.25","409,289,150.39","202,607,892.45","262,954,523.61","388,817,651.72","141,500,696.28","419,745,421.54","436,035,945.53","846,892,912.97","132,073,752.31","149,017,997.98","203,964,534.71","445,475,316.76","30,508,327.24","162,390,387.47","250,232,870.11","532,288,490.76","137,854,636.85","386,877,016.39"
委托客户管理资产业务净收入,"75,438,044.02","54,656,679.24","50,974,005.13","112,783,272.71","93,600,243.38","123,729,342.44","192,007,989.47","66,147,441.56","139,580,587.05","216,719,755.15","445,164,999.82","61,194,682.70","135,164,479.02","181,853,933.72","246,944,690.85","60,892,694.86","125,969,747.77","183,434,634.11","247,905,211.35","62,969,517.72","123,282,343.24"
其他业务成本,"4,150,071.47","8,348,834.18","10,888,948.02","13,285,865.95","4,597,508.08","7,309,705.50","10,786,764.00","3,239,294.89","8,134,639.89","11,836,399.28","13,982,558.15","1,665,594.85","5,021,239.97","8,122,378.74","11,947,603.62","3,514,097.72","7,115,166.16","11,202,344.27","14,644,779.00","2,796,742.39","5,470,937.64"
已赚保费,,,,,,,,,,,,,,,,,,,,,
