科目,2007年1-3月
销售商品、提供劳务收到的现金,"3,690,638.80"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,"3,762.29"
支付其他与投资活动有关的现金,"11,199,644.12"
收到其他与经营活动有关的现金,"13,461,901.77"
投资活动现金流出小计,"11,704,314.12"
经营活动现金流入小计,"17,156,302.86"
投资活动产生的现金流量净额,"-11,549,314.12"
购买商品、接受劳务支付的现金,"5,197,024.68"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"3,301,198.74"
取得借款收到的现金,
支付的各项税费,"238,221.72"
收到其他与筹资活动有关的现金,
支付其他与经营活动有关的现金,"3,192,649.54"
筹资活动现金流入小计,
经营活动现金流出小计,"11,929,094.68"
偿还债务支付的现金,"11,970,000.00"
经营活动产生的现金流量净额,"5,227,208.18"
分配股利、利润或偿还利息支付的现金,"1,070,318.40"
收回投资收到的现金,
支付其他与筹资活动有关的现金,
取得投资收益收到的现金,
筹资活动现金流出小计,"13,040,318.40"
处置固定资产、无形资产和其他长期资产收回的现金净额,"155,000.00"
筹资活动产生的现金流量净额,"-13,040,318.40"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,
收到其他与投资活动有关的现金,
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"155,000.00"
五、现金及现金等价物净增加额,"-19,362,424.34"
购建固定资产、无形资产和其他长期资产支付的现金,"504,670.00"
期初现金及现金等价物余额,"41,009,190.51"
投资支付的现金,
期末现金及现金等价物余额,"21,646,766.17"
