科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"390,606,566.95","454,569,124.85","485,914,126.19","147,601,794.14","265,654,882.92","394,458,548.64","536,151,736.51","150,310,862.84","314,278,524.94","495,668,431.13","674,179,918.43","167,862,870.99","317,149,196.96"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"229,740.49","102,321.89",,,,"1,446.78","134,530.33",,,,"1,142,903.55",,"8,237.79"
支付其他与投资活动有关的现金,,,"203,421.00",,"183,990,000.00","330,990,000.00","150,076.23",,,,,,
收到其他与经营活动有关的现金,"7,872,721.34","4,154,239.79","4,256,741.04","1,022,049.95","6,224,539.47","9,595,690.49","9,194,324.66","1,870,564.41","10,316,296.27","14,773,466.85","8,979,303.69","3,423,392.84","9,177,351.49"
投资活动现金流出小计,"26,482,899.83","20,412,191.98","23,756,468.57","8,521,088.75","199,776,375.89","361,750,204.13","690,971,434.14","196,569,452.52","503,514,117.41","873,898,585.19","248,606,228.09","412,932,209.88","687,633,999.00"
经营活动现金流入小计,"398,709,028.78","458,825,686.53","490,170,867.23","148,623,844.09","271,879,422.39","404,055,685.91","545,480,591.50","152,181,427.25","324,594,821.21","510,441,897.98","684,302,125.67","171,286,263.83","326,334,786.24"
投资活动产生的现金流量净额,"-23,532,899.83","-20,377,591.98","-20,556,468.57","-8,463,088.75","-199,718,375.89","-286,692,204.13","-366,987,435.45","48,819,154.71","-28,875,022.51","-66,226,813.58","135,541,125.72","-164,443,050.98","-264,243,130.59"
购买商品、接受劳务支付的现金,"295,033,752.33","325,111,929.72","317,005,682.06","92,284,286.76","177,904,378.88","273,631,254.05","367,088,871.99","119,452,462.64","242,884,614.32","347,363,962.80","448,524,483.42","147,744,505.82","263,460,633.94"
吸收投资收到的现金,,,,,"361,891,300.00","361,891,300.00","361,891,300.00",,"125,000.00","1,125,000.00","1,125,000.00",,"29,227,380.00"
支付给职工以及为职工支付的现金,"20,351,074.99","27,590,332.29","34,863,253.78","12,079,350.87","21,390,894.19","30,464,023.48","41,577,515.51","15,796,630.26","26,467,405.20","37,230,958.38","51,048,919.98","17,195,949.67","29,418,038.98"
取得借款收到的现金,"11,850,000.00","3,000,000.00",,,,,,,,,,,
支付的各项税费,"24,016,879.95","32,179,941.68","42,455,302.36","11,300,687.17","24,466,954.68","35,087,041.79","48,976,858.40","13,293,260.92","25,402,879.11","39,509,427.94","50,124,917.21","11,423,095.65","28,737,897.67"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"19,413,441.95","21,940,649.19","21,193,761.18","7,825,001.34","15,910,064.49","22,122,444.75","37,456,862.78","20,217,763.08","17,471,682.17","33,640,416.96","42,276,217.97","5,281,246.06","24,795,128.69"
筹资活动现金流入小计,"11,850,000.00","3,000,000.00",,,"361,891,300.00","361,891,300.00","361,891,300.00",,"125,000.00","1,125,000.00","1,125,000.00",,"29,227,380.00"
经营活动现金流出小计,"358,815,149.22","406,822,852.88","415,517,999.38","123,489,326.14","239,672,292.24","361,304,764.07","495,100,108.68","168,760,116.90","312,226,580.80","457,744,766.08","591,974,538.58","181,644,797.20","346,411,699.28"
偿还债务支付的现金,"15,000,000.00","14,850,000.00",,,,,,,,,,,
经营活动产生的现金流量净额,"39,893,879.56","52,002,833.65","74,652,867.85","25,134,517.95","32,207,130.15","42,750,921.84","50,380,482.82","-16,578,689.65","12,368,240.41","52,697,131.90","92,327,587.09","-10,358,533.37","-20,076,913.04"
分配股利、利润或偿还利息支付的现金,"887,499.93","6,304,990.01","6,000,000.00",,,,,,"19,999,657.26","19,999,657.26","19,999,657.26",,"20,400,825.63"
收回投资收到的现金,,,,,,,"318,990,000.00","243,990,000.00","470,990,000.00","800,990,000.00","366,990,000.00","246,000,000.00","419,000,000.00"
支付其他与筹资活动有关的现金,"1,252,452.07",,"700,000.00",,"7,483,300.00","7,483,300.00","6,783,300.00",,,,,,
