科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"163,645,572.42","175,432,005.46","185,867,133.07","143,575,639.45","240,410,956.92","44,711,428.67","101,404,690.40","167,780,595.59","249,540,269.16","78,802,107.02","222,112,581.12"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"131,037,680.57","153,465,572.54"
收到的税费返还,"4,475,011.00","7,039,733.00",,,,,,,,,
支付其他与投资活动有关的现金,,"2,000,000.00","22,000,000.00",,,,,,"10,000,000.00",,
收到其他与经营活动有关的现金,"21,767,460.36","7,516,118.32","5,054,965.23","11,892,388.65","14,110,820.75","8,550,407.74","21,593,305.45","40,964,804.11","39,462,719.23","3,722,638.62","12,015,504.03"
投资活动现金流出小计,"69,120,732.99","57,749,725.56","47,948,138.70","12,865,581.52","16,693,158.69","288,742,052.63","552,671,207.49","1,041,609,020.19","1,601,742,328.55","383,619,539.39","667,020,117.92"
经营活动现金流入小计,"189,888,043.78","189,987,856.78","190,922,098.30","155,468,028.10","254,521,777.67","53,261,836.41","122,997,995.85","208,745,399.70","289,002,988.39","82,524,745.64","234,128,085.15"
投资活动产生的现金流量净额,"-67,564,945.82","-57,549,801.54","-19,537,329.59","-12,838,581.52","-16,628,018.00","-171,821,884.23","-305,274,416.09","-349,956,525.38","-332,964,070.12","-3,315,858.04","-36,202,056.79"
购买商品、接受劳务支付的现金,"91,993,212.28","89,349,814.69","94,864,595.32","83,083,697.70","117,113,351.80","18,598,557.99","54,121,792.62","78,017,577.16","103,736,384.97","33,578,292.48","99,058,056.00"
吸收投资收到的现金,"4,000,000.00",,,"46,598.00","512,498.00","236,750,000.00","236,750,000.00","236,750,000.00","236,750,000.00",,
支付给职工以及为职工支付的现金,"9,142,698.11","11,678,817.39","15,925,343.71","15,307,522.08","21,053,922.63","6,724,395.34","13,474,971.98","20,052,570.09","26,486,987.50","12,643,070.84","23,645,417.54"
取得借款收到的现金,"44,650,000.00","27,200,000.00","31,000,000.00",,"18,000,000.00",,,,,,
支付的各项税费,"21,750,392.74","24,885,664.87","13,556,965.34","21,692,550.65","33,207,307.21","9,147,623.60","19,497,092.08","30,086,600.40","44,053,864.19","7,608,424.98","24,519,672.36"
收到其他与筹资活动有关的现金,"5,000,000.00","11,000,000.00",,"18,000,000.00","18,000,000.00",,,,,,
支付其他与经营活动有关的现金,"9,461,173.91","9,809,292.21","16,542,233.70","7,293,280.10","10,096,777.66","6,158,288.83","8,796,318.26","10,863,612.45","15,198,069.24","9,584,943.15","12,620,178.97"
筹资活动现金流入小计,"53,650,000.00","38,200,000.00","31,000,000.00","18,046,598.00","36,512,498.00","236,750,000.00","236,750,000.00","236,750,000.00","236,750,000.00",,
经营活动现金流出小计,"132,347,477.04","135,723,589.16","140,889,138.07","127,377,050.53","181,471,359.30","40,628,865.76","95,890,174.94","139,020,360.10","189,475,305.90","63,414,731.45","159,843,324.87"
偿还债务支付的现金,"22,000,000.00","51,850,000.00","20,000,000.00","31,000,000.00","49,000,000.00","5,000,000.00",,,,,
经营活动产生的现金流量净额,"57,540,566.74","54,264,267.62","50,032,960.23","28,090,977.57","73,050,418.37","12,632,970.65","27,107,820.91","69,725,039.60","99,527,682.49","19,110,014.19","74,284,760.28"
分配股利、利润或偿还利息支付的现金,"1,714,756.44","2,181,788.16","24,776,499.32","6,442,633.75","6,442,633.75",,,,,,"25,160,000.00"
收回投资收到的现金,,,,,,"116,771,720.00","246,771,720.00","687,211,720.00","1,261,585,720.00","378,271,000.00","626,366,000.00"
支付其他与筹资活动有关的现金,,"10,000,000.00","5,000,000.00",,,"7,747,000.00","12,810,379.65","12,810,379.65","30,810,379.65",,
取得投资收益收到的现金,"49,369.86","104,547.95",,,,"148,448.40","554,071.40","4,369,774.81","7,121,538.43","1,946,681.35","3,421,660.31"
筹资活动现金流出小计,"23,714,756.44","64,031,788.16","49,776,499.32","37,442,633.75","55,442,633.75","12,747,000.00","12,810,379.65","12,810,379.65","30,810,379.65",,"25,160,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"206,417.31","95,376.07","4,410,809.11","27,000.00","65,140.69",,"71,000.00","71,000.00","71,000.00","86,000.00","1,030,400.82"
筹资活动产生的现金流量净额,"29,935,243.56","-25,831,788.16","-18,776,499.32","-19,396,035.75","-18,930,135.75","224,003,000.00","223,939,620.35","223,939,620.35","205,939,620.35",,"-25,160,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,"-12,314.50",,,,,,,,
收到其他与投资活动有关的现金,"1,300,000.00",,"24,000,000.00",,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"1,555,787.17","199,924.02","28,410,809.11","27,000.00","65,140.69","116,920,168.40","247,396,791.40","691,652,494.81","1,268,778,258.43","380,303,681.35","630,818,061.13"
五、现金及现金等价物净增加额,"19,910,864.48","-29,117,322.08","11,706,816.82","-4,143,639.70","37,492,264.62","64,814,086.42","-54,226,974.83","-56,291,865.43","-27,496,767.28","15,794,156.15","12,922,703.49"
购建固定资产、无形资产和其他长期资产支付的现金,"69,120,732.99","55,749,725.56","25,948,138.70","12,865,581.52","16,693,158.69","1,970,332.63","5,525,487.49","8,122,300.19","55,320,608.55","45,231,858.82","123,104,545.38"
期初现金及现金等价物余额,"24,828,708.37","44,739,572.85","15,622,250.77","27,329,067.59","27,329,067.59","64,821,332.21","64,821,332.21","64,821,332.21","64,821,332.21","37,324,564.93","37,324,564.93"
投资支付的现金,,,,,,"286,771,720.00","547,145,720.00","1,033,486,720.00","1,536,421,720.00","207,350,000.00","390,450,000.00"
期末现金及现金等价物余额,"44,739,572.85","15,622,250.77","27,329,067.59","23,185,427.89","64,821,332.21","129,635,418.63","10,594,357.38","8,529,466.78","37,324,564.93","53,118,721.08","50,247,268.42"
