科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"3,821,793,000.00","5,742,986,000.00","7,705,192,000.00","2,192,140,000.00","4,370,585,000.00","7,063,653,000.00","10,159,448,000.00","2,893,182,000.00","5,681,218,000.00","8,975,954,000.00","12,477,022,000.00","3,232,266,000.00","6,041,638,000.00","9,124,527,000.00","12,645,284,000.00","3,531,935,000.00"
提取保险责任准备金,,,,,,,,,,,,,,"167,443,000,000.00",,
利息净收入,"4,026,028,000.00","5,216,300,000.00","6,826,049,000.00","1,815,030,000.00","3,744,206,000.00","5,936,266,000.00","8,400,599,000.00","2,571,702,000.00","5,052,989,000.00","7,856,937,000.00","10,861,148,000.00","2,958,209,000.00","5,344,952,000.00","8,022,062,000.00","11,066,188,000.00","2,886,873,000.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,"291,000,000.00",,
利息收入,"5,973,842,000.00","7,602,405,000.00","10,296,017,000.00","2,873,557,000.00","5,884,282,000.00","9,263,661,000.00","13,146,221,000.00","4,299,775,000.00","8,854,814,000.00","13,964,619,000.00","19,430,610,000.00","5,702,946,000.00","11,147,817,000.00","16,967,792,000.00","23,262,678,000.00","5,926,763,000.00"
保单红利支出,,,,,,,,,,,,,,"13,251,000,000.00",,
利息支出,"1,947,814,000.00","2,386,105,000.00","3,469,968,000.00","1,058,527,000.00","2,140,076,000.00","3,327,395,000.00","4,745,622,000.00","1,728,073,000.00","3,801,825,000.00","6,107,682,000.00","8,569,462,000.00","2,744,737,000.00","5,802,865,000.00","8,945,730,000.00","12,196,490,000.00","-3,039,890,000.00"
分保费用,,,,,,,,,,,,,,"5,000,000.00",,
手续费及佣金净收入,"107,154,000.00","292,576,000.00","674,112,000.00","273,105,000.00","471,390,000.00","789,044,000.00","1,419,957,000.00","289,862,000.00","626,621,000.00","1,037,624,000.00","1,413,686,000.00","217,713,000.00","582,665,000.00","901,199,000.00","1,218,967,000.00","206,049,000.00"
营业税金及附加,"267,618,000.00","404,345,000.00","570,194,000.00","155,408,000.00","212,252,000.00","232,514,000.00","245,676,000.00","14,067,000.00","45,094,000.00","60,803,000.00","91,408,000.00","14,442,000.00","41,705,000.00","68,199,000.00","115,971,000.00","28,355,000.00"
手续费及佣金收入,"116,973,000.00","323,489,000.00","735,864,000.00","289,651,000.00","505,051,000.00","841,746,000.00","1,518,161,000.00","322,429,000.00","697,251,000.00","1,164,833,000.00","1,603,696,000.00","283,692,000.00","701,878,000.00","1,111,606,000.00","1,533,790,000.00","292,112,000.00"
手续费及佣金支出2,,,,,,,,,,,,,,"102,926,000,000.00",,
手续费及佣金支出,"9,819,000.00","30,913,000.00","61,752,000.00","16,546,000.00","33,661,000.00","52,702,000.00","98,204,000.00","32,567,000.00","70,630,000.00","127,209,000.00","190,010,000.00","65,979,000.00","119,213,000.00","210,407,000.00","314,823,000.00","-86,063,000.00"
业务及管理费,"1,186,650,000.00","1,561,573,000.00","2,036,485,000.00","490,252,000.00","1,062,252,000.00","1,685,299,000.00","2,600,774,000.00","766,721,000.00","1,507,361,000.00","2,271,092,000.00","3,506,126,000.00","743,726,000.00","1,579,762,000.00","2,303,279,000.00","3,379,543,000.00","858,302,000.00"
其中：代理买卖证券业务净收入,,,,,,,,,,,,,,,,
减：摊回分保费用,,,,,,,,,,,,,,"5,472,000,000.00",,
证券承销业务净收入,,,,,,,,,,,,,,,,
资产减值损失,"145,815,000.00","773,097,000.00","1,197,871,000.00","639,784,000.00","1,326,176,000.00","2,039,361,000.00","3,112,861,000.00","997,000,000.00","1,929,841,000.00","2,936,180,000.00","3,752,071,000.00","1,134,688,000.00","1,944,800,000.00","2,635,887,000.00","3,618,674,000.00",
委托客户管理资产业务净收入,,,,,,,,,,,,,,,,
其他业务成本,"1,822,000.00","32,221,000.00","8,138,000.00",,"2,194,000.00","2,194,000.00","2,677,000.00","2,725,000.00","2,725,000.00","2,725,000.00","2,725,000.00",,,,,
已赚保费,,,,,,,,,,,,,,"530,265,000,000.00",,
三、营业利润,"2,219,888,000.00","2,971,750,000.00","3,892,504,000.00","906,696,000.00","1,767,711,000.00","3,104,285,000.00","4,197,460,000.00","1,112,669,000.00","2,196,197,000.00","3,705,154,000.00","5,124,692,000.00","1,339,410,000.00","2,475,371,000.00","4,117,162,000.00","5,531,096,000.00","1,475,403,000.00"
保险业务收入,,,,,,,,,,,,,,"561,835,000,000.00",,
加：补贴收入,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,"70,000,000.00",,
营业外收入,"17,545,000.00","39,322,000.00","39,656,000.00","2,885,000.00","5,538,000.00","8,072,000.00","64,047,000.00","7,011,000.00","1,813,000.00","3,393,000.00","17,766,000.00","1,260,000.00","8,987,000.00","9,628,000.00","22,320,000.00","1,469,000.00"
减：分出保费,,,,,,,,,,,,,,"14,727,000,000.00",,
减：营业外支出,"5,127,000.00","14,281,000.00","7,231,000.00","651,000.00","4,723,000.00","6,224,000.00","9,128,000.00","1,684,000.00","8,016,000.00","10,793,000.00","15,768,000.00","1,249,000.00","2,985,000.00","4,431,000.00","8,023,000.00","442,000.00"
提取未到期责任准备金,,,,,,,,,,,,,,"16,843,000,000.00",,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,
