科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"20,044,365,000.00","24,700,998,000.00","24,258,653,000.00","17,314,701,000.00","26,385,009,000.00","35,529,985,000.00","11,153,456,000.00","22,929,864,000.00","33,864,644,000.00","46,072,553,000.00","15,094,827,000.00","30,479,420,000.00","44,378,389,000.00","59,916,000,000.00","16,782,000,000.00","33,782,000,000.00","48,768,000,000.00","65,306,000,000.00","17,939,000,000.00","37,460,000,000.00","57,930,000,000.00","78,531,000,000.00","22,263,000,000.00","45,538,000,000.00","70,047,000,000.00","93,159,000,000.00","23,540,000,000.00","46,968,000,000.00","70,754,000,000.00","94,037,000,000.00","23,657,000,000.00","46,334,000,000.00","68,791,000,000.00","91,850,000,000.00","25,344,000,000.00","52,231,000,000.00","81,355,000,000.00","110,244,000,000.00","33,843,000,000.00"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"17,772,420,000.00","22,335,737,000.00","19,602,061,000.00","14,237,331,000.00","22,180,415,000.00","30,422,069,000.00","9,248,392,000.00","18,877,502,000.00","28,984,290,000.00","39,440,236,000.00","12,168,207,000.00","25,307,739,000.00","37,931,200,000.00","50,263,000,000.00","13,041,000,000.00","26,054,000,000.00","38,538,000,000.00","50,862,000,000.00","13,079,000,000.00","27,838,000,000.00","43,469,000,000.00","58,259,000,000.00","15,574,000,000.00","32,105,000,000.00","49,658,000,000.00","66,459,000,000.00","16,424,000,000.00","32,625,000,000.00","48,832,000,000.00","65,288,000,000.00","15,203,000,000.00","30,383,000,000.00","45,100,000,000.00","60,950,000,000.00","12,616,000,000.00","27,339,000,000.00","43,886,000,000.00","61,043,000,000.00","24,233,000,000.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,"31,105,886,000.00","43,104,885,000.00","37,424,127,000.00","25,294,458,000.00","39,589,909,000.00","54,155,529,000.00","17,243,132,000.00","36,083,821,000.00","56,215,890,000.00","77,884,593,000.00","24,405,517,000.00","50,735,500,000.00","76,629,355,000.00","103,971,000,000.00","28,573,000,000.00","58,368,000,000.00","89,015,000,000.00","120,082,000,000.00","32,795,000,000.00","66,142,000,000.00","100,103,000,000.00","133,926,000,000.00","35,798,000,000.00","71,149,000,000.00","106,875,000,000.00","141,907,000,000.00","34,717,000,000.00","69,610,000,000.00","105,839,000,000.00","143,450,000,000.00","38,671,000,000.00","78,699,000,000.00","118,562,000,000.00","160,343,000,000.00","39,437,000,000.00","81,094,000,000.00","125,268,000,000.00","168,567,000,000.00","51,049,000,000.00"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,"13,333,466,000.00","20,769,148,000.00","17,822,066,000.00","11,057,127,000.00","17,409,494,000.00","23,733,460,000.00","7,994,740,000.00","17,206,319,000.00","27,231,600,000.00","38,444,357,000.00","12,237,310,000.00","25,427,761,000.00","38,698,155,000.00","53,708,000,000.00","15,532,000,000.00","32,314,000,000.00","50,477,000,000.00","69,220,000,000.00","19,716,000,000.00","38,304,000,000.00","56,634,000,000.00","75,667,000,000.00","20,224,000,000.00","39,044,000,000.00","57,217,000,000.00","75,448,000,000.00","18,293,000,000.00","36,985,000,000.00","57,007,000,000.00","78,162,000,000.00","23,468,000,000.00","48,316,000,000.00","73,462,000,000.00","99,393,000,000.00","26,821,000,000.00","53,755,000,000.00","81,382,000,000.00","107,524,000,000.00","26,816,000,000.00"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"1,189,623,000.00","2,174,315,000.00","3,156,624,000.00","2,543,778,000.00","3,719,126,000.00","4,708,528,000.00","1,912,614,000.00","3,801,402,000.00","5,349,668,000.00","6,973,119,000.00","2,475,340,000.00","4,937,923,000.00","6,677,010,000.00","9,479,000,000.00","3,450,000,000.00","7,349,000,000.00","11,106,000,000.00","14,952,000,000.00","4,097,000,000.00","8,632,000,000.00","13,443,000,000.00","19,157,000,000.00","6,653,000,000.00","13,558,000,000.00","20,261,000,000.00","26,301,000,000.00","6,902,000,000.00","13,898,000,000.00","21,225,000,000.00","28,112,000,000.00","8,208,000,000.00","15,992,000,000.00","23,543,000,000.00","30,774,000,000.00","9,314,000,000.00","18,376,000,000.00","27,721,000,000.00","36,894,000,000.00","6,955,000,000.00"
营业税金及附加,"1,466,355,000.00","1,959,545,000.00","1,810,088,000.00","1,160,074,000.00","1,787,257,000.00","2,430,757,000.00","778,386,000.00","1,623,473,000.00","2,500,606,000.00","3,448,134,000.00","1,077,851,000.00","2,186,703,000.00","3,278,496,000.00","4,551,000,000.00","1,223,000,000.00","2,709,000,000.00","4,167,000,000.00","5,607,000,000.00","1,431,000,000.00","3,002,000,000.00","4,679,000,000.00","6,361,000,000.00","1,759,000,000.00","3,543,000,000.00","5,293,000,000.00","7,096,000,000.00","1,721,000,000.00","2,472,000,000.00","2,683,000,000.00","2,885,000,000.00","249,000,000.00","543,000,000.00","777,000,000.00","1,025,000,000.00","265,000,000.00","561,000,000.00","911,000,000.00","1,165,000,000.00","341,000,000.00"
