科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"104,256,034.64","129,323,356.50","134,227,802.80","71,723,474.92","109,953,906.75","48,842,484.78","95,787,072.73","134,511,294.62","231,541,492.83","98,450,024.26","356,037,022.88","389,377,367.81","449,615,385.17","74,815,810.31","199,426,381.64","283,273,874.19","454,726,224.98","75,394,151.64"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,
收到的税费返还,"8,815,663.71","10,278,104.93","12,120,077.76","8,799,569.04","12,655,119.98","8,113,633.65","9,370,084.75","9,370,084.75","25,752,661.10","6,219,999.46","17,783,380.96","24,623,220.56","36,305,646.85",,"5,721,134.67","5,721,134.67","16,676,228.60",
支付其他与投资活动有关的现金,"22,000,000.00",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,143,604.60","2,877,251.66","2,389,818.92","656,871.11","824,071.02","312,989.16","1,586,828.50","2,504,462.27","5,303,794.21","7,655,153.05","4,041,135.65","5,119,662.15","7,025,207.60","3,881,470.99","7,523,215.75","7,905,422.98","9,240,517.49","10,299,988.40"
投资活动现金流出小计,"24,249,413.29","4,056,148.26","1,930,832.44","11,826,224.24","19,205,596.69","1,519,223.71","2,435,990.70","2,716,057.06","11,378,961.29","1,090,041.50","76,449,234.41","78,747,385.53","86,620,173.45","10,878,507.91","14,727,945.18","15,846,373.41","26,857,603.58","1,030,739.99"
经营活动现金流入小计,"114,215,302.95","142,478,713.09","148,737,699.48","81,179,915.07","123,433,097.75","57,269,107.59","106,743,985.98","146,385,841.64","262,597,948.14","112,325,176.77","377,861,539.49","419,120,250.52","492,946,239.62","78,697,281.30","212,670,732.06","296,900,431.84","480,642,971.07","85,694,140.04"
投资活动产生的现金流量净额,"-2,073,898.21","-4,056,148.26","-1,929,037.56","-11,825,834.24","-19,205,206.69","-1,519,223.71","-2,435,990.70","-2,716,057.06","-11,378,961.29","-1,090,041.50","-76,447,984.41","-78,746,135.53","-86,619,016.96","-10,878,107.91","-14,727,545.18","-15,845,973.41","-26,857,261.70","-1,030,739.99"
购买商品、接受劳务支付的现金,"37,921,056.89","34,780,038.57","30,314,829.84","34,933,071.12","51,705,120.35","16,444,853.48","25,903,553.05","43,865,802.96","56,666,214.44","38,000,280.34","128,755,402.06","181,041,611.66","225,435,163.00","67,912,410.88","232,213,008.07","277,251,824.28","336,532,786.58","59,534,228.63"
吸收投资收到的现金,,,,,,"222,350,000.00","222,350,000.00","222,350,000.00","222,350,000.00",,,,,,,,,
支付给职工以及为职工支付的现金,"20,600,792.44","31,301,741.00","35,055,983.27","29,277,667.99","38,616,695.72","14,405,209.20","24,863,369.09","37,578,764.21","56,219,691.41","22,321,055.56","35,783,480.23","51,166,513.25","67,469,226.89","23,528,761.68","38,808,401.69","54,384,603.15","75,093,171.14","15,233,244.14"
取得借款收到的现金,,,,,,,,,,,,,"10,000,000.00","20,000,000.00","67,545,400.00","67,545,400.00","67,545,400.00",
支付的各项税费,"16,696,131.59","28,990,411.16","27,201,607.47","23,430,439.36","37,452,582.23","13,152,853.23","29,807,308.54","51,852,990.48","68,113,507.64","25,038,406.10","42,718,457.16","64,831,022.88","79,552,943.11","8,953,000.78","14,277,826.47","24,228,518.53","27,830,991.85","4,530,862.14"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"14,553,804.11","15,967,097.03","16,840,845.35","16,527,595.84","23,212,300.77","8,704,686.92","18,971,187.85","30,404,610.75","35,722,971.05","28,260,984.91","28,766,995.41","37,535,189.11","44,402,663.00","10,414,895.73","23,944,313.24","35,356,272.27","47,158,358.09","11,714,243.43"
筹资活动现金流入小计,,,,,,"222,350,000.00","222,350,000.00","222,350,000.00","222,350,000.00",,,,"10,000,000.00","20,000,000.00","67,545,400.00","67,545,400.00","67,545,400.00",
经营活动现金流出小计,"89,771,785.03","111,039,287.76","109,413,265.93","104,168,774.31","150,986,699.07","52,707,602.83","99,545,418.53","163,702,168.40","216,722,384.54","113,620,726.91","236,024,334.86","334,574,336.90","416,859,996.00","110,809,069.07","309,243,549.47","391,221,218.23","486,615,307.66","91,012,578.34"
偿还债务支付的现金,,,,,,,,,,,,,,,,,"50,000,000.00","7,886,504.00"
经营活动产生的现金流量净额,"24,443,517.92","31,439,425.33","39,324,433.55","-22,988,859.24","-27,553,601.32","4,561,504.76","7,198,567.45","-17,316,326.76","45,875,563.60","-1,295,550.14","141,837,204.63","84,545,913.62","76,086,243.62","-32,111,787.77","-96,572,817.41","-94,320,786.39","-5,972,336.59","-5,318,438.30"
分配股利、利润或偿还利息支付的现金,"9,510,000.00","4,500,000.00","6,000,000.00","5,000,000.00","5,000,000.00",,"15,600,000.00","15,600,000.00","15,600,000.00",,"31,200,000.00","31,200,000.00","31,242,291.67",,"20,629,876.37","21,262,457.37","22,037,233.90",
收回投资收到的现金,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"300,000.00","1,128,301.89",,,,,"7,940,000.00","7,940,000.00","7,940,000.00",,,,,,,"4,906,690.34","19,994,180.38","4,726,746.26"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"9,810,000.00","5,628,301.89","6,000,000.00","5,000,000.00","5,000,000.00",,"23,540,000.00","23,540,000.00","23,540,000.00",,"31,200,000.00","31,200,000.00","31,242,291.67",,"20,629,876.37","26,169,147.71","92,031,414.28","12,613,250.26"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"1,794.88",390.00,390.00,,,,,,"1,250.00","1,250.00","1,156.49",400.00,400.00,400.00,341.88,
筹资活动产生的现金流量净额,"-9,810,000.00","-5,628,301.89","-6,000,000.00","-5,000,000.00","-5,000,000.00","222,350,000.00","198,810,000.00","198,810,000.00","198,810,000.00",,"-31,200,000.00","-31,200,000.00","-21,242,291.67","20,000,000.00","46,915,523.63","41,376,252.29","-24,486,014.28","-12,613,250.26"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,"-4,625.94",,,,"107,663.33",
收到其他与投资活动有关的现金,"22,175,515.08",,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"22,175,515.08",,"1,794.88",390.00,390.00,,,,,,"1,250.00","1,250.00","1,156.49",400.00,400.00,400.00,341.88,
五、现金及现金等价物净增加额,"12,559,619.71","21,754,975.18","31,395,395.99","-39,814,693.48","-51,758,808.01","225,392,281.05","203,572,576.75","178,777,616.18","233,306,602.31","-2,385,591.64","34,189,220.22","-25,400,221.91","-31,779,690.95","-22,989,895.68","-64,384,838.96","-68,790,507.51","-57,207,949.24","-18,962,428.55"
购建固定资产、无形资产和其他长期资产支付的现金,"2,249,413.29","4,056,148.26","1,930,832.44","11,826,224.24","19,205,596.69","1,519,223.71","2,435,990.70","2,716,057.06","11,378,961.29","1,090,041.50","1,449,234.41","3,747,385.53","11,620,173.45","878,507.91","4,727,945.18","5,846,373.41","16,857,603.58","1,030,739.99"
