科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"908,599,122.54","934,259,829.45","1,012,022,498.75","545,037,803.95","742,297,587.30","1,144,302,103.68","278,627,616.12","586,917,545.67","857,768,244.44","1,309,133,144.25","281,942,484.31","669,592,063.95","1,007,976,377.43","1,339,271,468.44","363,826,529.20"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"-4,516,104.32",
收到的税费返还,"17,971,699.99","33,705,438.13","39,361,459.28","13,081,689.10","24,884,472.51","34,586,800.50","7,434,347.09","16,827,905.48","24,408,201.65","34,620,827.04","5,900,810.13","15,546,464.74","29,504,645.44","36,065,392.00","8,040,205.23"
支付其他与投资活动有关的现金,"7,739,371.23","14,743,842.43",,,,,,,"3,000,000.00",,,,,"21,098,424.21","3,561,064.00"
收到其他与经营活动有关的现金,"25,549,385.63","34,171,982.09","19,846,386.52","6,374,211.08","8,967,993.93","10,987,781.97","2,518,568.73","6,898,317.50","11,779,716.67","24,260,105.06","4,699,187.97","78,997,306.19","115,523,229.57","97,168,487.79","5,211,952.58"
投资活动现金流出小计,"157,433,370.51","131,358,914.94","104,836,438.99","58,996,057.98","56,051,583.09","75,663,069.31","28,731,176.21","48,783,775.22","77,337,350.62","124,545,167.38","26,201,860.97","69,799,573.33","106,203,262.56","456,398,037.16","362,014,775.00"
经营活动现金流入小计,"952,120,208.16","1,002,137,249.67","1,071,230,344.55","564,493,704.13","776,150,053.74","1,189,876,686.15","288,580,531.94","610,643,768.65","893,956,162.76","1,368,014,076.35","292,542,482.41","764,135,834.88","1,153,004,252.44","1,472,505,348.23","377,078,687.01"
投资活动产生的现金流量净额,"-39,284,065.76","-102,662,456.77","-103,010,793.01","-58,844,239.70","-55,888,360.54","-75,150,216.36","-28,612,138.17","-48,608,237.18","-77,161,346.95","-120,894,686.17","-25,854,574.77","-69,259,412.31","-98,186,649.11","-197,104,911.76","-314,565,453.36"
购买商品、接受劳务支付的现金,"489,976,087.83","540,310,319.81","529,136,561.66","261,038,118.56","303,705,319.52","508,282,460.30","145,256,373.26","276,140,842.13","355,751,927.34","600,043,319.92","137,797,606.17","318,639,546.79","462,375,239.46","534,582,045.58","172,658,569.94"
吸收投资收到的现金,,"32,070,000.00","15,600,000.00",,,"469,718,000.00",,,,,,"3,980,000.00",,"190,480,000.00","7,950,000.00"
支付给职工以及为职工支付的现金,"209,232,761.01","222,842,472.79","259,373,271.08","146,963,421.81","215,965,268.94","291,719,891.63","72,577,930.94","158,518,838.66","235,348,780.41","330,028,066.56","94,885,627.29","188,224,189.78","271,561,861.83","376,044,677.95","107,365,598.01"
取得借款收到的现金,"404,230,000.00","483,820,000.00","326,220,000.00","180,530,000.00","269,250,000.00","346,000,000.00",,,"5,000,000.00","5,000,000.00",,,"3,980,000.00","202,000,000.00",
支付的各项税费,"48,086,736.07","52,093,518.13","72,884,888.38","35,054,856.88","56,479,441.45","80,052,913.37","19,169,465.76","50,322,664.48","64,196,790.76","89,704,987.19","20,877,921.07","49,682,292.99","73,408,655.70","97,564,302.25","22,417,536.36"
收到其他与筹资活动有关的现金,,,,,"234,000.00","135,267.07",,,,"4,344,151.88","32,466.43",,,,
支付其他与经营活动有关的现金,"58,463,265.70","62,199,139.68","62,679,454.87","22,187,123.39","50,370,320.64","75,114,763.38","11,656,876.01","39,407,429.10","61,810,669.83","164,963,631.36","22,651,134.44","83,329,581.92","179,606,564.17","150,143,267.85","33,722,996.41"
筹资活动现金流入小计,"404,230,000.00","515,890,000.00","341,820,000.00","180,530,000.00","269,484,000.00","815,853,267.07",,,"5,000,000.00","9,344,151.88","32,466.43","3,980,000.00","3,980,000.00","392,480,000.00","7,950,000.00"
