科目,2005-12-31
货币资金,"267,715,000.00"
短期借款,
交易性金融资产,"300,000,000.00"
交易性金融负债,
应收票据,"824,909,000.00"
应付票据,
应收账款,"10,949,000.00"
应付账款,"229,265,000.00"
预付款项,"36,671,000.00"
预收款项,"408,627,000.00"
其他应收款,"34,497,000.00"
应付职工薪酬,"171,731,000.00"
应收关联公司款,
应交税费,"45,341,000.00"
应收利息,
应付利息,
应收股利,
应付股利,
存货,"780,348,000.00"
其他应付款,"210,797,000.00"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,"284,606,000.00"
其他流动资产,
其他流动负债,
流动资产合计,"2,255,089,000.00"
流动负债合计,"1,350,367,000.00"
可供出售金融资产,
长期借款,"1,336,883,000.00"
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,
专项应付款,"49,665,000.00"
投资性房地产,
预计负债,
固定资产,"7,511,389,000.00"
递延所得税负债,
在建工程,"121,872,000.00"
其他非流动负债,
工程物资,
非流动负债合计,"1,386,548,000.00"
固定资产清理,
负债合计,"2,736,915,000.00"
生产性生物资产,
实收资本(或股本),"1,950,000,000.00"
油气资产,
资本公积,"2,264,211,000.00"
无形资产,"308,570,000.00"
盈余公积,"982,575,000.00"
开发支出,
减:库存股,
商誉,
未分配利润,"2,448,537,000.00"
长期待摊费用,"40,755,000.00"
少数股东权益,
递延所得税资产,"144,543,000.00"
外币报表折算价差,
其他非流动资产,"20,000.00"
非正常经营项目收益调整,
非流动资产合计,"8,127,149,000.00"
所有者权益(或股东权益)合计,"7,645,323,000.00"
资产总计,"10,382,238,000.00"
负债和所有者(或股东权益)合计,"10,382,238,000.00"
